# vx_mps,ax_max_machines_mps2
0.750000,6.084410
1.250000,6.067495
1.750000,5.830591
2.250000,5.847194
2.750000,5.956367
3.250000,5.869095
3.750000,6.039103
4.250000,6.033022
4.750000,5.975700
5.250000,5.951123
5.750000,5.690219
6.250000,5.601807
6.750000,5.418302
7.250000,5.626956
7.750000,5.673553
8.250000,5.932766
8.750000,6.064796
9.250000,5.869725
9.750000,6.277720
10.250000,5.068525
10.750000,4.096634
11.250000,3.412808
11.750000,2.599924
12.250000,2.599924
12.750000,2.599924
13.250000,2.599924
13.750000,2.599924
14.250000,2.599924
14.750000,2.599924
