# vx_mps,ax_max_machines_mps2
0.750000,6.597068
1.250000,7.546566
1.750000,6.705677
2.250000,6.725645
2.750000,7.372840
3.250000,6.909319
3.750000,7.138127
4.250000,7.609708
4.750000,6.953520
5.250000,6.893181
5.750000,6.689794
6.250000,6.568053
6.750000,6.849897
7.250000,6.646215
7.750000,6.823374
8.250000,6.515776
8.750000,6.456698
9.250000,6.550372
9.750000,6.897561
10.250000,6.145707
10.750000,5.918934
11.250000,4.762799
11.750000,3.474750
12.250000,3.474750
12.750000,3.474750
13.250000,3.474750
13.750000,3.474750
14.250000,3.474750
14.750000,3.474750
