# v_mps,ax_max_mps2,ay_max_mps2
0.750000,6.084410,2.693948
1.250000,6.067495,3.634679
1.750000,5.830591,5.713293
2.250000,5.847194,6.824654
2.750000,5.956367,8.116857
3.250000,5.869095,7.497112
3.750000,6.039103,8.764378
4.250000,6.033022,9.315146
4.750000,5.975700,9.438207
5.250000,5.951123,9.999670
5.750000,5.690219,9.531014
6.250000,5.601807,9.957638
6.750000,5.418302,9.933097
7.250000,5.626956,10.181575
7.750000,5.673553,10.660726
8.250000,5.932766,11.493523
8.750000,6.064796,10.078735
9.250000,5.869725,9.810982
9.750000,6.277720,11.103985
10.250000,5.068525,11.320767
10.750000,4.096634,10.353492
11.250000,3.412808,6.037996
11.750000,2.599924,6.261321
12.250000,2.599924,6.261321
12.750000,2.599924,6.261321
13.250000,2.599924,6.261321
13.750000,2.599924,6.261321
14.250000,2.599924,6.261321
14.750000,2.599924,6.261321
20.000000,2.599924,6.261321
24.000000,2.599924,6.261321
28.000000,2.599924,6.261321
32.000000,2.599924,6.261321
36.000000,2.599924,6.261321
40.000000,2.599924,6.261321
44.000000,2.599924,6.261321
48.000000,2.599924,6.261321
52.000000,2.599924,6.261321
56.000000,2.599924,6.261321
60.000000,2.599924,6.261321
66.000000,2.599924,6.261321
72.000000,2.599924,6.261321
