# vx_mps,ax_max_machines_mps2
0.750000,1.797251
1.250000,1.797251
1.750000,3.388967
2.250000,4.099079
2.750000,4.219771
3.250000,4.392288
3.750000,4.641428
4.250000,4.821789
4.750000,4.779357
5.250000,4.864064
5.750000,4.771661
6.250000,5.482051
6.750000,5.159228
7.250000,4.424619
7.750000,3.810212
8.250000,3.810212
8.750000,3.810212
9.250000,3.810212
9.750000,3.810212
10.250000,3.810212
10.750000,3.810212
11.250000,3.810212
11.750000,3.810212
12.250000,3.810212
12.750000,3.810212
13.250000,3.810212
13.750000,3.810212
14.250000,3.810212
14.750000,3.810212
