# vx_mps,ax_max_machines_mps2
0.750000,1.519234
1.250000,1.519234
1.750000,2.780157
2.250000,4.297956
2.750000,4.764120
3.250000,5.745887
3.750000,5.694759
4.250000,5.925468
4.750000,5.907256
5.250000,5.987010
5.750000,6.662722
6.250000,6.387060
6.750000,5.232351
7.250000,4.924904
7.750000,3.465466
8.250000,3.465466
8.750000,3.465466
9.250000,3.465466
9.750000,3.465466
10.250000,3.465466
10.750000,3.465466
11.250000,3.465466
11.750000,3.465466
12.250000,3.465466
12.750000,3.465466
13.250000,3.465466
13.750000,3.465466
14.250000,3.465466
14.750000,3.465466
