# v_mps,gg_exponent
0.750000,2.000000
1.250000,3.402628
1.750000,3.916759
2.250000,3.279027
2.750000,3.271275
3.250000,3.775279
3.750000,3.738125
4.250000,3.745535
4.750000,3.827213
5.250000,3.857832
5.750000,3.906665
6.250000,3.729496
6.750000,3.521699
7.250000,3.291800
7.750000,3.270197
8.250000,2.000000
8.750000,2.000000
9.250000,2.000000
9.750000,2.000000
10.250000,2.000000
10.750000,2.000000
11.250000,2.000000
11.750000,2.000000
12.250000,2.000000
12.750000,2.000000
13.250000,2.000000
13.750000,2.000000
14.250000,2.000000
14.750000,2.000000
