# v_mps,ax_max_mps2,ay_max_mps2
0.750000,1.797251,3.518083
1.250000,1.797251,3.518083
1.750000,3.388967,4.496409
2.250000,4.099079,4.695927
2.750000,4.219771,4.342028
3.250000,4.392288,4.394591
3.750000,4.641428,4.192424
4.250000,4.821789,4.109698
4.750000,4.779357,3.936933
5.250000,4.864064,3.332243
5.750000,4.771661,2.906138
6.250000,5.482051,2.658741
6.750000,5.159228,2.541140
7.250000,4.424619,2.863926
7.750000,3.810212,2.035305
8.250000,3.810212,2.035305
8.750000,3.810212,2.035305
9.250000,3.810212,2.035305
9.750000,3.810212,2.035305
10.250000,3.810212,2.035305
10.750000,3.810212,2.035305
11.250000,3.810212,2.035305
11.750000,3.810212,2.035305
12.250000,3.810212,2.035305
12.750000,3.810212,2.035305
13.250000,3.810212,2.035305
13.750000,3.810212,2.035305
14.250000,3.810212,2.035305
14.750000,3.810212,2.035305
20.000000,3.810212,2.035305
24.000000,3.810212,2.035305
28.000000,3.810212,2.035305
32.000000,3.810212,2.035305
36.000000,3.810212,2.035305
40.000000,3.810212,2.035305
44.000000,3.810212,2.035305
48.000000,3.810212,2.035305
52.000000,3.810212,2.035305
56.000000,3.810212,2.035305
60.000000,3.810212,2.035305
66.000000,3.810212,2.035305
72.000000,3.810212,2.035305
