t,v,delta_cmd,kappa,yaw_rate,ax,lat_error,s_position
1775755374.2028,0.3507,0.081583,0.052223,0.060735,-0.747517,-0.028945,14.2122
1775755374.2257,0.4072,0.070155,0.052223,0.078054,-1.153266,-0.026723,14.2199
1775755374.2488,0.4788,0.068686,0.052223,0.082772,-0.803734,-0.026659,14.2253
1775755374.2788,0.6799,0.029437,0.052223,0.131623,-1.379536,-0.026131,14.2450
1775755374.2977,0.8549,0.029437,0.048702,0.161173,-0.883792,-0.025556,14.2638
1775755374.3217,1.0154,0.011649,0.048702,0.226835,-0.531997,-0.024745,14.2862
1775755374.3448,1.0154,0.005242,0.048702,0.257393,-1.350841,-0.024745,14.2862
1775755374.3688,1.2540,-0.009973,0.048702,0.187027,4.447058,-0.022667,14.3384
1775755374.3927,1.3276,-0.016347,0.045265,0.098825,-0.407658,-0.022184,14.3538
1775755374.4178,1.5854,-0.021198,0.045265,0.161797,4.685684,-0.015537,14.4105
1775755374.4427,1.6776,-0.029083,0.045265,-0.133429,-2.227923,-0.013000,14.4462
1775755374.4657,1.6776,-0.026593,0.045265,-0.111764,-0.153572,-0.013000,14.4462
1775755374.4898,1.9087,-0.025682,0.041833,-0.078243,-0.129453,-0.010194,14.5037
1775755374.5188,2.0073,-0.026410,0.041833,-0.088484,3.221515,-0.013509,14.5436
1775755374.5428,2.2953,-0.025543,0.038569,-0.128417,8.536060,-0.010636,14.6423
1775755374.5617,2.2953,-0.017834,0.038569,-0.331242,-0.881023,-0.010636,14.6423
1775755374.5848,2.3396,-0.015728,0.035316,-0.226525,7.237242,-0.009744,14.6701
1775755374.6089,2.6608,-0.015508,0.032139,-0.371594,-3.252337,-0.008820,14.6990
1775755374.6328,2.7348,-0.008043,0.032139,-0.370020,-3.255085,-0.008820,14.6990
1775755374.6578,2.8902,-0.005793,0.028966,-0.344197,0.654919,0.002033,14.8935
1775755374.6817,3.0116,0.010286,0.025959,-0.394204,-6.550774,0.002033,14.8935
1775755374.7058,3.2018,0.007932,0.022961,-0.543600,6.888445,0.004380,15.0253
1775755374.7297,3.3080,0.023566,0.022961,-0.274623,-17.250761,0.004380,15.0253
1775755374.7588,3.5448,0.029885,0.016888,0.003513,6.800834,0.004628,15.2096
1775755374.7828,3.6298,0.031681,0.016888,-0.274989,8.592440,0.004628,15.2096
1775755374.8018,3.6298,0.034184,0.016888,-0.152870,-13.038484,0.003332,15.3304
1775755374.8247,3.9478,0.027410,0.010566,-0.035753,-3.111027,0.016600,15.4158
1775755374.8488,4.0164,0.031436,0.010566,-0.236851,5.926171,0.016600,15.4158
1775755374.8738,4.1562,0.030586,0.004678,-0.075433,2.057630,0.010104,15.6868
1775755374.8978,4.2704,0.027728,0.001305,0.045945,3.237548,0.012819,15.7773
1775755374.9217,4.2704,0.024579,0.001305,0.055312,-3.126675,0.012819,15.7773
1775755374.9457,4.5576,0.014684,-0.005212,0.324690,5.223983,0.004351,16.0252
1775755374.9697,4.5576,0.010133,-0.005212,0.021612,5.650363,0.004351,16.0252
1775755374.9988,4.6800,0.010516,-0.012080,0.116001,-3.403841,-0.001422,16.1728
1775755375.0228,4.7406,-0.001420,-0.015837,0.400144,7.090144,-0.004996,16.2678
1775755375.0417,4.7406,-0.000769,-0.015837,-0.072891,10.598355,-0.004996,16.2678
1775755375.0648,4.8115,-0.026670,-0.027384,0.054003,-5.269881,-0.014886,16.5929
1775755375.0888,4.8115,-0.027450,-0.027384,0.168635,2.787105,-0.014886,16.5929
1775755375.1127,4.7998,-0.026526,-0.035696,0.086700,0.809017,-0.024278,16.8130
1775755375.1372,4.7884,-0.045220,-0.039914,-0.288410,-4.250009,-0.025334,16.8706
1775755375.1619,4.7634,-0.044561,-0.039914,-0.222252,-10.070669,-0.026905,17.0238
1775755375.1867,4.7481,-0.059004,-0.048718,-0.251022,0.471942,-0.026896,17.0810
1775755375.2099,4.7181,-0.056948,-0.048718,-0.618972,-7.422270,-0.035871,17.1308
1775755375.2337,4.7181,-0.059285,-0.048718,-0.436763,-9.511889,-0.035871,17.1308
1775755375.2628,4.4933,-0.051265,-0.069379,-0.543836,-0.555322,-0.039472,17.5000
