ts,lap_count,lap_time,valid,infeasible_count,mean_abs_n,max_abs_n,p95_abs_n,max_ay_usage,mean_ay_usage,max_abs_slip_f,max_abs_slip_r,u_steer_rate_rms,omega_oscillation_hz,solve_p50_ms,solve_p99_ms,vx_mean,vx_max,applied_diff_json,state
1777356883.616,2,27.5882,1,0,0.2429,0.6703,0.5173,0.000,0.000,0.0000,0.0000,0.4447,0.00,0.45,0.76,2.844,3.215,{},WARMUP
1777356911.220,3,27.5971,1,0,0.2428,0.6749,0.5047,0.000,0.000,0.0000,0.0000,0.4379,0.00,0.46,0.70,2.843,3.214,{},ACTIVE
1777356938.904,4,27.6276,1,0,0.2433,0.6685,0.5119,0.000,0.000,0.0000,0.0000,0.4355,0.00,0.46,0.70,2.845,3.215,"{""w_d"":{""old"":3.0,""new"":3.6,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":false}}",ACTIVE
1777356966.506,5,27.5955,1,0,0.2431,0.6858,0.5210,0.000,0.000,0.0000,0.0000,0.4515,0.00,0.44,0.67,2.832,3.214,"{""w_d"":{""old"":3.6,""new"":4.32,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":false}}",ACTIVE
1777357050.790,8,27.6370,1,0,0.2395,0.6870,0.5165,0.000,0.000,0.0000,0.0000,0.4637,0.00,0.40,0.67,2.825,3.214,{},WARMUP
1777357078.921,9,28.1264,1,0,0.2379,0.6831,0.5225,0.000,0.000,0.0000,0.0000,0.4642,0.00,0.40,0.65,2.772,3.216,{},ACTIVE
1777357107.394,10,28.4265,1,0,0.2382,0.6941,0.5210,0.000,0.000,0.0000,0.0000,0.4740,0.00,0.39,0.62,2.745,3.213,"{""w_d"":{""old"":4.32,""new"":5.184,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":false}}",ACTIVE
1777357135.715,11,28.3170,1,0,0.2362,0.6904,0.5213,0.000,0.000,0.0000,0.0000,0.4744,0.00,0.39,0.65,2.750,3.214,"{""w_d"":{""old"":5.184,""new"":6.2208,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":false}}",ACTIVE
1777357163.947,12,28.2168,1,0,0.2337,0.6985,0.5192,0.000,0.000,0.0000,0.0000,0.4789,0.00,0.40,0.61,2.757,3.215,"{""w_d"":{""old"":6.2208,""new"":7.46496,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":false}}",ACTIVE
1777357192.636,13,28.6860,1,0,0.2308,0.7051,0.5217,0.000,0.000,0.0000,0.0000,0.4954,0.00,0.40,0.61,2.698,3.215,"{""w_d"":{""old"":7.46496,""new"":8.957952,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":false}}",ACTIVE
1777357221.437,14,28.7867,1,0,0.2286,0.7040,0.5124,0.000,0.000,0.0000,0.0000,0.4895,0.00,0.40,0.61,2.693,3.214,"{""w_d"":{""old"":8.957952,""new"":10,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":true}}",ACTIVE
1777357250.472,15,28.9967,1,0,0.2268,0.6953,0.5123,0.000,0.000,0.0000,0.0000,0.4995,0.00,0.40,0.64,2.665,3.213,"{""w_d"":{""old"":10.0,""new"":10,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":true}}",ACTIVE
1777357278.988,16,28.5012,1,0,0.2274,0.6945,0.5156,0.000,0.000,0.0000,0.0000,0.4929,0.00,0.40,0.63,2.712,3.214,"{""w_d"":{""old"":10.0,""new"":10,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":true}}",ACTIVE
1777357307.611,17,28.6169,1,0,0.2274,0.6974,0.5179,0.000,0.000,0.0000,0.0000,0.5136,0.00,0.40,0.62,2.704,3.215,"{""w_d"":{""old"":10.0,""new"":10,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":true}}",ACTIVE
1777357336.415,18,28.7872,1,0,0.2265,0.7022,0.5135,0.000,0.000,0.0000,0.0000,0.5035,0.00,0.40,0.60,2.688,3.214,"{""w_d"":{""old"":10.0,""new"":10,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":true}}",ACTIVE
1777357365.199,19,28.7767,1,0,0.2265,0.6971,0.5171,0.000,0.000,0.0000,0.0000,0.5241,0.00,0.40,0.62,2.688,3.214,"{""w_d"":{""old"":10.0,""new"":10,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":true}}",ACTIVE
1777357393.593,20,28.3667,1,0,0.2270,0.6981,0.5206,0.000,0.000,0.0000,0.0000,0.5175,0.00,0.40,0.64,2.724,3.215,"{""w_d"":{""old"":10.0,""new"":10,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":true}}",ACTIVE
1777357422.201,21,28.6078,1,0,0.2251,0.6966,0.5139,0.000,0.000,0.0000,0.0000,0.5001,0.00,0.40,0.62,2.706,3.215,"{""w_d"":{""old"":10.0,""new"":10,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":true}}",ACTIVE
1777357450.790,22,28.5658,1,0,0.2281,0.7017,0.5185,0.000,0.000,0.0000,0.0000,0.4995,0.00,0.39,0.65,2.708,3.215,"{""w_d"":{""old"":10.0,""new"":10,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":true}}",ACTIVE
1777357479.708,23,28.9170,1,0,0.2269,0.7007,0.5149,0.000,0.000,0.0000,0.0000,0.5007,0.00,0.40,0.64,2.673,3.215,"{""w_d"":{""old"":10.0,""new"":10,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":true}}",ACTIVE
1777357508.574,24,28.8570,1,0,0.2285,0.7000,0.5158,0.000,0.000,0.0000,0.0000,0.4991,0.00,0.40,0.66,2.681,3.214,"{""w_d"":{""old"":10.0,""new"":10,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":true}}",ACTIVE
1777357536.897,25,28.3364,1,0,0.2258,0.6945,0.5170,0.000,0.000,0.0000,0.0000,0.5019,0.00,0.42,0.66,2.729,3.215,"{""w_d"":{""old"":10.0,""new"":10,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":true}}",ACTIVE
