ts,lap_count,lap_time,valid,infeasible_count,mean_abs_n,max_abs_n,p95_abs_n,max_ay_usage,mean_ay_usage,max_abs_slip_f,max_abs_slip_r,u_steer_rate_rms,omega_oscillation_hz,solve_p50_ms,solve_p99_ms,vx_mean,vx_max,applied_diff_json,state
1777456661.113,-1,90.0000,1,0,0.6172,1.4740,1.2609,0.000,0.000,0.0000,0.0000,0.1552,0.00,0.00,0.00,1.886,2.408,{},WARMUP
1777456687.702,2,44.4590,1,0,0.6091,1.4740,1.2607,0.000,0.000,0.0000,0.0000,0.1550,0.00,0.00,0.00,1.886,2.405,{},ACTIVE
1777456732.229,3,44.4752,1,0,0.6071,1.4724,1.2587,0.000,0.000,0.0000,0.0000,0.1449,0.00,0.00,0.00,1.884,2.394,"{""qV"":{""old"":0.2,""new"":0.216,""mult"":1.08,""rules"":[""speed_headroom""],""clamped"":false},""v_max"":{""old"":3.0,""new"":3.15,""mult"":1.05,""rules"":[""speed_headroom""],""clamped"":false},""qC"":{""old"":0.1,""new"":0.1,""mult"":0.8,""rules"":[""corner_exit_understeer"",""corner_explore_lower_qC""],""clamped"":true},""qMu"":{""old"":0.5,""new"":0.6,""mult"":1.2,""rules"":[""corner_exit_understeer"",""corner_late_turn_in""],""clamped"":false},""qC_term"":{""old"":10.0,""new"":9.2,""mult"":0.92,""rules"":[""preview_leak_early_turnin""],""clamped"":false},""qL_term"":{""old"":1.0,""new"":0.92,""mult"":0.92,""rules"":[""preview_leak_early_turnin""],""clamped"":false}}",ACTIVE
1777456776.688,4,44.4472,1,0,0.6088,1.4895,1.2761,0.000,0.000,0.0000,0.0000,0.1472,0.00,0.00,0.00,1.889,2.396,"{""qV"":{""old"":0.216,""new"":0.23328,""mult"":1.08,""rules"":[""speed_headroom""],""clamped"":false},""v_max"":{""old"":3.15,""new"":3.3075,""mult"":1.05,""rules"":[""speed_headroom""],""clamped"":false},""qC"":{""old"":0.1,""new"":0.1,""mult"":0.8,""rules"":[""corner_exit_understeer"",""corner_explore_lower_qC""],""clamped"":true},""qMu"":{""old"":0.6,""new"":0.72,""mult"":1.2,""rules"":[""corner_exit_understeer"",""corner_late_turn_in""],""clamped"":false},""qC_term"":{""old"":9.2,""new"":8.464,""mult"":0.92,""rules"":[""preview_leak_early_turnin""],""clamped"":false},""qL_term"":{""old"":0.92,""new"":0.8464,""mult"":0.92,""rules"":[""preview_leak_early_turnin""],""clamped"":false}}",ACTIVE
1777456821.046,5,44.3464,1,0,0.6113,1.5112,1.2960,0.000,0.000,0.0000,0.0000,0.1514,0.00,0.00,0.00,1.897,2.437,"{""track_slack_penalty"":{""old"":1000.0,""new"":1200.0,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":false},""v_max"":{""old"":3.3075,""new"":3.142125,""mult"":0.95,""rules"":[""safety_offtrack""],""clamped"":false}}",ACTIVE
1777457894.414,2,44.2985,1,0,0.6229,1.5015,1.3030,0.000,0.000,0.0000,0.0000,0.1456,0.00,0.00,0.00,1.902,2.443,{},WARMUP
1777457938.697,3,44.2644,1,0,0.6272,1.4981,1.3030,0.000,0.000,0.0000,0.0000,0.1429,0.00,0.00,0.00,1.903,2.434,{},ACTIVE
1777457983.051,4,44.3162,1,0,0.6284,1.5078,1.3087,0.000,0.000,0.0000,0.0000,0.1501,0.00,0.00,0.00,1.900,2.427,"{""track_slack_penalty"":{""old"":1200.0,""new"":1440.0,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":false},""v_max"":{""old"":3.14213,""new"":2.985023,""mult"":0.95,""rules"":[""safety_offtrack""],""clamped"":false}}",ACTIVE
1777458027.305,5,44.2354,1,0,0.6286,1.5045,1.3054,0.000,0.000,0.0000,0.0000,0.1481,0.00,0.00,0.00,1.904,2.408,"{""track_slack_penalty"":{""old"":1440.0,""new"":1728.0,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":false},""v_max"":{""old"":2.985023,""new"":2.835772,""mult"":0.95,""rules"":[""safety_offtrack""],""clamped"":false}}",ACTIVE
1777458071.624,6,44.3158,1,0,0.6265,1.5067,1.3014,0.000,0.000,0.0000,0.0000,0.1461,0.00,0.00,0.00,1.900,2.396,"{""track_slack_penalty"":{""old"":1728.0,""new"":2073.6,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":false},""v_max"":{""old"":2.835772,""new"":2.693984,""mult"":0.95,""rules"":[""safety_offtrack""],""clamped"":false}}",ACTIVE
1777458115.902,7,44.2657,1,0,0.6315,1.5110,1.3054,0.000,0.000,0.0000,0.0000,0.1454,0.00,0.00,0.00,1.903,2.355,"{""track_slack_penalty"":{""old"":2073.6,""new"":2488.32,""mult"":1.2,""rules"":[""safety_offtrack""],""clamped"":false},""v_max"":{""old"":2.693984,""new"":2.559285,""mult"":0.95,""rules"":[""safety_offtrack""],""clamped"":false}}",ACTIVE
