s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-0.368137,-11.370684,0.128991,-2.913829,-0.000000,-0.000000,-0.007384,0.000000,0.000000,-0.683812,0.683812,0.000000,0.000000,-0.007384
0.160127,-0.524847,-11.403583,0.129029,-2.915011,-0.000000,-0.000000,-0.013638,0.000000,0.000000,-0.684196,0.684196,0.000000,0.000000,-0.013638
0.397255,-0.755869,-11.457050,0.128984,-2.918245,-0.000000,-0.000000,-0.050118,0.000000,0.000000,-0.683475,0.683475,0.000000,0.000000,-0.050118
0.649153,-1.001583,-11.512525,0.128999,-2.930870,-0.000000,-0.000000,-0.198976,0.000000,0.000000,-0.684107,0.684107,0.000000,0.000000,-0.198976
0.893754,-1.241205,-11.561623,0.128993,-2.979539,-0.000000,-0.000000,-0.206507,0.000000,0.000000,-0.682113,0.682113,0.000000,0.000000,-0.206507
1.144599,-1.489847,-11.594794,0.128992,-3.031341,-0.000000,-0.000000,-0.210274,0.000000,0.000000,-0.681272,0.681272,0.000000,0.000000,-0.210274
1.388770,-1.733451,-11.611424,0.128984,-3.082683,-0.000000,-0.000000,-0.106825,0.000000,0.000000,-0.679555,0.679555,0.000000,0.000000,-0.106825
1.640980,-1.985376,-11.623406,0.129009,-3.109626,-0.000000,-0.000000,-0.089190,0.000000,0.000000,-0.677281,0.677281,0.000000,0.000000,-0.089190
1.889864,-2.234188,-11.629414,0.128981,-3.131824,-0.000000,-0.000000,-0.003116,0.000000,0.000000,-0.674279,0.674279,0.000000,0.000000,-0.003116
2.142892,-2.487208,-11.631376,0.128992,-3.132612,-0.000000,-0.000000,0.003038,0.000000,0.000000,-0.673621,0.673621,0.000000,0.000000,0.003038
2.389644,-2.733954,-11.633139,0.129002,-3.131862,-0.000000,-0.000000,-0.049602,0.000000,0.000000,-0.674557,0.674557,0.000000,0.000000,-0.049602
