,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,3.482372,0.456914,-0.190943,0.994083,9.001252,5.694050,1.591533,15.510823
1,0.199722,3.530251,0.427578,-0.198376,1.238326,9.069520,5.509821,0.754499,15.510823
2,0.399445,3.590250,0.396778,-0.196686,1.481424,9.102809,5.722304,0.647162,15.510823
3,0.599167,3.660718,0.365486,-0.201547,1.732368,9.131190,5.887127,0.425941,15.510823
4,0.798890,3.741567,0.332274,-0.215610,1.988224,9.149701,5.909183,0.108287,15.510823
5,0.998612,3.833737,0.295511,-0.234490,2.245513,9.154416,5.756850,-0.349473,15.510823
6,1.198334,3.937865,0.254148,-0.255614,2.498245,9.139074,5.419105,-0.924605,15.510823
7,1.398057,4.054314,0.207390,-0.276569,2.739220,9.097959,4.822691,-1.668823,15.510823
8,1.597779,4.183087,0.154974,-0.292913,2.957262,9.022508,4.297656,-2.216074,15.510823
9,1.797501,4.323268,0.097817,-0.299832,3.154409,8.920850,4.124991,-2.366267,15.510823
10,1.997224,4.473027,0.038355,-0.293189,3.344518,8.811796,3.771287,-2.733922,15.510823
11,2.196946,4.629336,-0.019773,-0.273315,3.516358,8.687224,3.141101,-3.360820,15.510823
12,2.396669,4.789013,-0.073997,-0.250956,3.656213,8.537585,2.471896,-3.936171,15.510823
13,2.596391,4.950889,-0.125300,-0.239442,3.764064,8.365847,1.771650,-4.452348,15.510823
14,2.796113,5.114224,-0.176307,-0.237557,3.840173,8.174578,1.075451,-4.977349,15.510823
15,2.995836,5.276003,-0.227082,-0.231551,3.885215,7.966116,0.380967,-5.560201,15.510823
16,3.195558,5.432430,-0.274748,-0.212987,3.900523,7.742691,-0.329490,-6.152102,15.510823
17,3.395281,5.582053,-0.316733,-0.185771,3.887864,7.506313,-1.049750,-6.690294,15.510823
18,3.595003,5.725231,-0.352392,-0.156768,3.849010,7.258693,-1.769772,-7.187605,15.510823
19,3.794725,5.861968,-0.381860,-0.128217,3.785617,7.001231,-2.483118,-7.652591,15.510823
20,3.994448,5.992123,-0.405382,-0.100776,3.699258,6.735088,-3.176882,-8.068135,15.510823
21,4.194170,6.115856,-0.423445,-0.075772,3.591427,6.461235,-3.848854,-8.448876,15.510823
22,4.393892,6.233068,-0.436654,-0.053434,3.463536,6.180493,-4.509768,-8.829158,15.510823
23,4.593615,6.343242,-0.445411,-0.032312,3.316981,5.893570,-5.163760,-9.220020,15.510823
24,4.793337,6.445868,-0.449797,-0.010707,3.153172,5.601085,-5.799379,-9.603198,15.510823
25,4.993060,6.540770,-0.449682,0.012083,2.973507,5.303577,-6.393658,-9.945906,15.510823
26,5.192782,6.628131,-0.444935,0.035377,2.779321,5.001504,-6.924283,-10.221697,15.510823
27,5.392504,6.708297,-0.435625,0.057472,2.571858,4.695244,-7.400126,-10.452207,15.510823
28,5.592227,6.781349,-0.422094,0.077538,2.352286,4.385114,-7.849318,-10.682173,15.510823
29,5.791949,6.847051,-0.404688,0.096574,2.121752,4.071378,-8.272271,-10.914025,15.510823
30,5.991672,6.905207,-0.383525,0.115764,1.881398,3.754267,-8.652311,-11.127671,15.510823
31,6.191394,6.955776,-0.358534,0.135547,1.632357,3.433978,-8.942069,-11.265364,15.510823
32,6.391116,6.998941,-0.329617,0.153515,1.375725,3.110668,-9.139293,-11.328791,15.510823
33,6.590839,7.034766,-0.297335,0.166371,1.112559,2.784456,-9.306678,-11.398781,15.510823
34,6.790561,7.063003,-0.262783,0.174193,0.843922,2.455431,-9.463221,-11.499521,15.510823
35,6.990283,7.083412,-0.226919,0.178690,0.570908,2.123670,-9.609413,-11.632222,15.510823
36,7.190006,7.095854,-0.190305,0.182794,0.294637,1.789243,-9.718333,-11.765051,15.510823
37,7.389728,7.100307,-0.152791,0.188537,0.016235,1.452207,-9.760062,-11.862614,15.510823
38,7.589451,7.096772,-0.114027,0.195396,-0.263175,1.112606,-9.735698,-11.926706,15.510823
39,7.789173,7.085216,-0.073824,0.202382,-0.542464,0.770464,-9.650724,-11.964164,15.510823
40,7.988895,7.065584,-0.032288,0.207430,-0.820490,0.425790,-9.521358,-11.995107,15.510823
41,8.188618,7.037846,0.010001,0.209495,-1.096091,0.078585,-9.351697,-12.024918,15.510823
42,8.388340,7.002010,0.052479,0.209282,-1.368085,-0.271159,-9.138117,-12.049112,15.510823
43,8.588063,6.958104,0.094690,0.206992,-1.635265,-0.623451,-8.880592,-12.067523,15.510823
44,8.787785,6.906179,0.136178,0.202522,-1.896404,-0.978304,-8.578917,-12.079544,15.510823
45,8.987507,6.846310,0.176476,0.195827,-2.150250,-1.335731,-8.223603,-12.071005,15.510823
46,9.187230,6.778522,0.215225,0.187860,-2.395515,-1.695744,-7.807864,-12.029727,15.510823
47,9.386952,6.702767,0.252359,0.179681,-2.630867,-2.058355,-7.348705,-11.978956,15.510823
48,9.586674,6.619140,0.287765,0.170415,-2.854919,-2.423577,-6.863600,-11.946487,15.510823
49,9.786397,6.527984,0.320930,0.158079,-3.066249,-2.791409,-6.346323,-11.923125,15.510823
50,9.986119,6.429660,0.351061,0.141748,-3.263413,-3.161830,-5.778504,-11.873758,15.510823
51,10.185842,6.324300,0.377459,0.122112,-3.444926,-3.534804,-5.168972,-11.811612,15.510823
52,10.385564,6.212178,0.399513,0.098928,-3.609241,-3.910282,-4.542749,-11.793566,15.510823
53,10.585286,6.094196,0.416244,0.069609,-3.754804,-4.288182,-3.892386,-11.811023,15.510823
54,10.785009,5.971311,0.426257,0.032007,-3.880101,-4.668381,-3.180233,-11.744691,15.510823
55,10.984731,5.843386,0.428224,-0.012376,-3.983572,-5.050505,-2.388207,-11.450635,15.510823
56,11.184454,5.708893,0.421344,-0.058634,-4.063403,-5.433263,-1.548500,-10.950840,15.510823
57,11.384176,5.566304,0.405440,-0.102695,-4.117382,-5.815003,-0.700280,-10.364816,15.510823
58,11.583898,5.415369,0.380692,-0.144166,-4.142974,-6.193780,0.142640,-9.761361,15.510823
59,11.783621,5.256969,0.347222,-0.185348,-4.137516,-6.567238,0.978235,-9.133906,15.510823
60,11.983343,5.092273,0.304714,-0.228928,-4.098393,-6.932543,1.796886,-8.437852,15.510823
61,12.183065,4.922025,0.252349,-0.275732,-4.023057,-7.286305,2.581185,-7.654130,15.510823
62,12.382788,4.746823,0.189228,-0.324478,-3.909032,-7.624430,3.320407,-6.802926,15.510823
63,12.582510,4.567998,0.114965,-0.372468,-3.754063,-7.941934,4.021944,-5.924096,15.510823
64,12.782233,4.388498,0.030451,-0.415274,-3.556558,-8.232848,4.724032,-5.065144,15.510823
65,12.981955,4.213766,-0.061131,-0.446757,-3.316359,-8.490391,5.494680,-4.253367,15.510823
66,13.181677,4.051524,-0.153939,-0.460518,-3.035670,-8.707669,6.404967,-3.468325,15.510823
67,13.381400,3.909480,-0.240821,-0.451615,-2.719506,-8.878873,7.482129,-2.638829,15.510823
68,13.581122,3.792203,-0.315894,-0.418774,-2.375026,-9.000366,8.654650,-1.669517,15.510823
69,13.780845,3.699751,-0.376512,-0.365426,-2.010095,-9.070763,9.389739,-1.269982,15.510823
