,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,3.416777,0.418696,-0.159423,0.842675,8.839852,5.305829,1.010603,18.697270
1,0.199722,3.459829,0.393847,-0.161566,1.080258,8.885105,4.932437,-0.248141,18.697270
2,0.399445,3.514475,0.368697,-0.155228,1.306153,8.873740,4.571157,-1.390432,18.697270
3,0.599167,3.578385,0.343882,-0.157047,1.513378,8.810708,4.095202,-2.431799,18.697270
4,0.798890,3.650185,0.317670,-0.170143,1.696581,8.701919,3.474095,-3.337736,18.697270
5,0.998612,3.729373,0.288228,-0.190102,1.851648,8.552938,2.758132,-4.103376,18.697270
6,1.198334,3.815242,0.254282,-0.214233,1.975418,8.368800,1.985437,-4.725211,18.697270
7,1.398057,3.907009,0.214789,-0.239885,2.065592,8.154193,1.189765,-5.199471,18.697270
8,1.597779,4.003891,0.169211,-0.262129,2.120662,7.913529,0.408323,-5.553733,18.697270
9,1.797501,4.104572,0.118144,-0.275419,2.139959,7.651053,-0.335290,-5.838752,18.697270
10,1.997224,4.206841,0.063726,-0.274873,2.123876,7.370968,-1.036446,-6.109648,18.697270
11,2.196946,4.307680,0.009443,-0.260428,2.074083,7.077449,-1.694831,-6.369896,18.697270
12,2.396669,4.404412,-0.042079,-0.243202,1.993472,6.774479,-2.284034,-6.544626,18.697270
13,2.596391,4.495945,-0.091770,-0.237249,1.885682,6.465621,-2.779175,-6.612917,18.697270
14,2.796113,4.581722,-0.142397,-0.241187,1.754714,6.153987,-3.204749,-6.669693,18.697270
15,2.995836,4.660222,-0.194110,-0.240203,1.604955,5.842310,-3.587593,-6.778212,18.697270
16,3.195558,4.729740,-0.243799,-0.225242,1.441204,5.532927,-3.894452,-6.876638,18.697270
17,3.395281,4.789872,-0.288533,-0.200606,1.268350,5.227710,-4.079788,-6.895110,18.697270
18,3.595003,4.841121,-0.327466,-0.173765,1.091117,4.928175,-4.146995,-6.852206,18.697270
19,3.794725,4.883934,-0.360642,-0.147118,0.914027,4.635563,-4.099783,-6.762340,18.697270
20,3.994448,4.918780,-0.388230,-0.121292,0.741435,4.350885,-3.928750,-6.615293,18.697270
21,4.194170,4.946286,-0.410659,-0.097658,0.577578,4.074979,-3.642809,-6.428692,18.697270
22,4.393892,4.967095,-0.428490,-0.076472,0.426608,3.808553,-3.258653,-6.233519,18.697270
23,4.593615,4.981884,-0.442060,-0.056233,0.292585,3.552179,-2.779787,-6.039788,18.697270
24,4.793337,4.991492,-0.451366,-0.035177,0.179412,3.306280,-2.199300,-5.836364,18.697270
25,4.993060,4.996936,-0.456201,-0.012603,0.090809,3.071153,-1.511042,-5.605014,18.697270
26,5.192782,4.999359,-0.456390,0.010724,0.030382,2.847006,-0.717447,-5.338807,18.697270
27,5.392504,5.000000,-0.451992,0.032977,0.001739,2.633865,-0.087012,-5.071317,18.697270
28,5.592227,5.000000,-0.443345,0.053272,-0.001739,2.431122,0.061974,-4.833988,18.697270
29,5.791949,4.999980,-0.430773,0.072669,0.000737,2.237955,-0.014672,-4.629181,18.697270
30,5.991672,4.999998,-0.414353,0.092455,0.000152,2.053461,-0.004765,-4.447740,18.697270
31,6.191394,5.000000,-0.393979,0.113116,-0.000037,1.876674,0.001845,-4.264090,18.697270
32,6.391116,5.000000,-0.369514,0.132120,0.000037,1.706600,-0.001809,-4.080890,18.697270
33,6.590839,5.000000,-0.341498,0.145995,-0.000036,1.542230,0.001784,-3.934071,18.697270
34,6.790561,5.000000,-0.311009,0.154818,0.000036,1.382496,-0.001774,-3.834286,18.697270
35,6.990283,5.000000,-0.278990,0.160387,-0.000036,1.226252,0.001774,-3.783382,18.697270
36,7.190006,5.000000,-0.245990,0.165759,0.000036,1.072291,-0.001778,-3.770221,18.697270
37,7.389728,5.000000,-0.211829,0.173038,-0.000036,0.919361,0.001781,-3.780840,18.697270
38,7.589451,5.000000,-0.176109,0.181658,0.000036,0.766195,-0.001781,-3.815720,18.697270
39,7.789173,5.000000,-0.138595,0.190561,-0.000036,0.611502,0.001779,-3.875944,18.697270
40,7.988895,5.000000,-0.099345,0.197583,0.000036,0.453966,-0.001780,-3.969766,18.697270
41,8.188618,5.000000,-0.058914,0.201644,-0.000036,0.292246,0.001787,-4.101904,18.697270
42,8.388340,5.000000,-0.017861,0.203508,0.000037,0.124978,-0.005854,-4.270620,18.697270
43,8.588063,4.999997,0.023377,0.203386,-0.000202,-0.049205,-0.012757,-4.475914,18.697270
44,8.787785,4.999978,0.064361,0.201138,-0.000722,-0.231674,0.062286,-4.718236,18.697270
45,8.987507,5.000000,0.104628,0.196687,0.001814,-0.423794,-0.316835,-4.993965,18.697270
46,9.187230,4.999812,0.143810,0.191035,-0.011073,-0.626917,-1.149214,-5.297121,18.697270
47,9.386952,4.998411,0.181851,0.185318,-0.057821,-0.842393,-1.895939,-5.632667,18.697270
48,9.586674,4.994489,0.218676,0.178618,-0.134962,-1.071573,-2.559013,-6.011221,18.697270
49,9.786397,4.986894,0.253794,0.168837,-0.238924,-1.315785,-3.136736,-6.430550,18.697270
50,9.986119,4.974639,0.286397,0.155021,-0.366010,-1.576320,-3.618541,-6.873695,18.697270
51,10.185842,4.956867,0.315773,0.137960,-0.512430,-1.854457,-4.002707,-7.344461,18.697270
52,10.385564,4.932871,0.341316,0.117427,-0.674301,-2.151469,-4.303692,-7.875592,18.697270
53,10.585286,4.902231,0.362018,0.090630,-0.847589,-2.468579,-4.518513,-8.468205,18.697270
54,10.785009,4.864763,0.376389,0.055189,-1.028111,-2.806899,-4.604236,-9.033455,18.697270
55,10.984731,4.820135,0.383017,0.012611,-1.211598,-3.166897,-4.511835,-9.409629,18.697270
56,11.184454,4.767557,0.381121,-0.031933,-1.393705,-3.546690,-4.249265,-9.577729,18.697270
57,11.384176,4.706104,0.370637,-0.074131,-1.569927,-3.943888,-3.863816,-9.619749,18.697270
58,11.583898,4.635310,0.351840,-0.113597,-1.735437,-4.355960,-3.385892,-9.593097,18.697270
59,11.783621,4.555302,0.324881,-0.152810,-1.885084,-4.779946,-2.819457,-9.493584,18.697270
60,11.983343,4.466525,0.289425,-0.194637,-2.013491,-5.212316,-2.159716,-9.275312,18.697270
61,12.183065,4.369360,0.244639,-0.239945,-2.115146,-5.648893,-1.416531,-8.910843,18.697270
62,12.382788,4.264212,0.189619,-0.287381,-2.184430,-6.084730,-0.614098,-8.414190,18.697270
63,12.582510,4.152001,0.123938,-0.334170,-2.215751,-6.513877,0.222202,-7.827708,18.697270
64,12.782233,4.034763,0.048319,-0.375841,-2.203962,-6.929156,1.078677,-7.216028,18.697270
65,12.981955,3.916331,-0.034447,-0.406363,-2.145215,-7.322155,1.964724,-6.636786,18.697270
66,13.181677,3.802372,-0.119149,-0.419749,-2.038174,-7.683738,2.906423,-6.099719,18.697270
67,13.381400,3.698987,-0.199326,-0.411746,-1.884992,-8.005221,3.916757,-5.547547,18.697270
68,13.581122,3.610518,-0.269514,-0.381766,-1.691204,-8.279695,4.954570,-4.868858,18.697270
69,13.780845,3.538310,-0.327020,-0.333614,-1.464461,-8.502516,5.930464,-3.969534,18.697270
70,13.980567,3.481569,-0.371574,-0.272267,-1.213114,-8.670754,6.726205,-2.802276,18.697270
71,14.180289,3.438604,-0.404092,-0.203117,-0.945344,-8.782312,7.157211,-1.358212,18.697270
72,14.380012,3.407439,-0.426278,-0.135405,-0.668997,-8.834754,7.147519,0.268664,18.697270
73,14.579734,3.386883,-0.440113,-0.077325,-0.392068,-8.824345,6.695702,0.121393,18.697270
74,14.779456,3.376625,-0.447175,-0.030525,-0.127859,-8.819555,6.478731,0.042895,18.697270
75,14.979179,3.376739,-0.448733,0.005825,0.133512,-8.817824,6.350406,0.017882,18.697270
76,15.178901,3.387570,-0.445848,0.034979,0.394179,-8.817090,6.615581,-0.396126,18.697270
77,15.378624,3.409207,-0.438905,0.066676,0.664581,-8.833281,6.704457,1.075449,18.697270
78,15.578346,3.440957,-0.426963,0.112008,0.931341,-8.790491,6.632476,2.510375,18.697270
79,15.778068,3.481858,-0.408018,0.175911,1.187414,-8.693568,6.255192,3.804089,18.697270
80,15.977791,3.531955,-0.379387,0.255281,1.427124,-8.547788,5.485189,4.801115,18.697270
81,16.177513,3.593011,-0.337794,0.340077,1.645140,-8.356962,4.404191,5.401900,18.697270
82,16.377236,3.668276,-0.279564,0.415729,1.835606,-8.123349,3.230384,5.686007,18.697270
83,16.576958,3.760811,-0.202405,0.465984,1.991807,-7.848410,2.164155,5.897913,18.697270
84,16.776680,3.869858,-0.109318,0.480126,2.106961,-7.534584,1.249023,6.252077,18.697270
85,16.976403,3.988875,-0.010017,0.458947,2.176372,-7.187142,0.419522,6.799780,18.697270
86,17.176125,4.109018,0.084190,0.413276,2.199409,-6.813747,-0.385343,7.441858,18.697270
87,17.375847,4.224153,0.166570,0.356673,2.179144,-6.422377,-1.171506,8.040781,18.697270
88,17.575570,4.331736,0.235459,0.298728,2.120518,-6.019994,-1.912763,8.519171,18.697270
89,17.775292,4.431030,0.291600,0.243952,2.028977,-5.612281,-2.579362,8.847792,18.697270
90,17.975015,4.521945,0.336446,0.194541,1.909906,-5.203841,-3.145839,9.017009,18.697270
91,18.174737,4.604626,0.371690,0.151959,1.768486,-4.798484,-3.601158,9.050278,18.697270
92,18.374459,4.679096,0.398954,0.116361,1.609714,-4.399467,-3.948159,8.988542,18.697270
93,18.574182,4.745196,0.419568,0.086495,1.438484,-4.009636,-4.198127,8.874967,18.697270
94,18.773904,4.802676,0.434413,0.059802,1.259612,-3.631496,-4.348873,8.712794,18.697270
95,18.973627,4.851537,0.443891,0.034233,1.077792,-3.267228,-4.376668,8.460439,18.697270
96,19.173349,4.892215,0.448304,0.010110,0.897535,-2.918776,-4.277759,8.116584,18.697270
97,19.373071,4.925244,0.448089,-0.011936,0.723184,-2.587963,-4.076663,7.730359,18.697270
98,19.572794,4.951073,0.443586,-0.033547,0.558927,-2.276492,-3.779232,7.312745,18.697270
99,19.772516,4.970300,0.434713,-0.056948,0.408747,-1.985897,-3.357759,6.820086,18.697270
100,19.972238,4.983799,0.421170,-0.081127,0.276448,-1.717178,-2.803953,6.272906,18.697270
101,20.171961,4.992525,0.403029,-0.102664,0.165787,-1.469612,-2.148291,5.732490,18.697270
102,20.371683,4.997413,0.380912,-0.120411,0.080538,-1.242133,-1.411647,5.242111,18.697270
103,20.571406,4.999499,0.355448,-0.136428,0.024396,-1.033651,-0.593337,4.806170,18.697270
104,20.771128,5.000000,0.326801,-0.154016,0.000857,-0.842980,-0.043262,4.395196,18.697270
105,20.970850,5.000000,0.294491,-0.173952,-0.000857,-0.668887,0.032167,3.978375,18.697270
106,21.170573,4.999991,0.258134,-0.191745,0.000426,-0.510204,-0.010579,3.571948,18.697270
107,21.370295,5.000000,0.218464,-0.201726,-0.000001,-0.365833,0.000068,3.209555,18.697270
108,21.570018,5.000000,0.177352,-0.201755,0.000001,-0.234658,-0.000071,2.903667,18.697270
109,21.769740,5.000000,0.136944,-0.193458,-0.000001,-0.115463,0.000075,2.650868,18.697270
110,21.969462,5.000000,0.098734,-0.182163,0.000002,-0.006929,-0.000081,2.437337,18.697270
111,22.169185,5.000000,0.062772,-0.173851,-0.000002,0.092312,0.000086,2.250691,18.697270
112,22.368907,5.000000,0.028115,-0.170274,0.000002,0.183614,-0.000092,2.089455,18.697270
113,22.568629,5.000000,-0.006263,-0.171593,-0.000002,0.268297,0.000098,1.955035,18.697270
114,22.768352,5.000000,-0.041356,-0.176129,0.000002,0.347652,-0.000103,1.851565,18.697270
115,22.968074,5.000000,-0.077422,-0.180119,-0.000002,0.422961,0.000109,1.782339,18.697270
116,23.167797,5.000000,-0.114050,-0.181202,0.000002,0.495501,-0.000116,1.749644,18.697270
117,23.367519,5.000000,-0.150350,-0.177279,-0.000002,0.566546,0.000123,1.750619,18.697270
118,23.567241,5.000000,-0.185254,-0.169326,0.000003,0.637354,-0.000130,1.777331,18.697270
119,23.766964,5.000000,-0.218476,-0.161459,-0.000003,0.709155,0.000137,1.829947,18.697270
120,23.966686,5.000000,-0.250339,-0.155222,0.000003,0.783160,-0.000145,1.914628,18.697270
121,24.166409,5.000000,-0.280980,-0.148885,-0.000003,0.860564,0.000153,2.034343,18.697270
122,24.366131,5.000000,-0.310063,-0.140363,0.000003,0.942531,-0.000162,2.186483,18.697270
123,24.565853,5.000000,-0.337025,-0.129032,-0.000003,1.030179,0.000172,2.360883,18.697270
124,24.765576,5.000000,-0.361525,-0.116773,0.000004,1.124596,-0.000180,2.549884,18.697270
125,24.965298,5.000000,-0.383789,-0.106161,-0.000004,1.226861,0.000189,2.762850,18.697270
126,25.165020,5.000000,-0.404189,-0.097023,0.000004,1.338054,-0.000199,3.011545,18.697270
127,25.364743,5.000000,-0.422722,-0.087184,-0.000004,1.459216,0.000209,3.295066,18.697270
