,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,3.500209,0.417200,-0.167336,1.019763,9.003719,5.779197,1.346632,15.672363
1,0.199722,3.550439,0.390825,-0.172622,1.272988,9.062724,5.899347,1.324010,15.672363
2,0.399445,3.613399,0.363564,-0.169161,1.537317,9.122049,6.115457,1.031426,15.672363
3,0.599167,3.687604,0.336179,-0.172887,1.808575,9.167798,6.171427,0.428648,15.672363
4,0.798890,3.772686,0.307090,-0.186662,2.078724,9.186562,5.803503,-0.625886,15.672363
5,0.998612,3.868938,0.274598,-0.206199,2.332014,9.159246,5.605384,-1.148505,15.672363
6,1.198334,3.976447,0.237546,-0.228988,2.577508,9.108946,5.348817,-1.577250,15.672363
7,1.398057,4.095513,0.195021,-0.252498,2.813766,9.039278,5.008284,-1.965260,15.672363
8,1.597779,4.226443,0.146644,-0.271997,3.037885,8.951334,4.643955,-2.293809,15.672363
9,1.797501,4.368807,0.093212,-0.282196,3.248231,8.847436,4.322043,-2.561439,15.672363
10,1.997224,4.520888,0.037076,-0.278470,3.444649,8.731030,3.844084,-3.008970,15.672363
11,2.196946,4.679448,-0.018148,-0.260961,3.617270,8.595911,3.172639,-3.626481,15.672363
12,2.396669,4.841200,-0.069886,-0.240852,3.756462,8.436807,2.462315,-4.185387,15.672363
13,2.596391,5.005002,-0.119198,-0.232184,3.862340,8.256838,1.721901,-4.676701,15.672363
14,2.796113,5.170172,-0.168881,-0.233691,3.935287,8.058714,0.987141,-5.172293,15.672363
15,2.995836,5.333697,-0.219070,-0.230760,3.976095,7.844896,0.255229,-5.724365,15.672363
16,3.195558,5.491698,-0.266742,-0.214395,3.986224,7.617712,-0.491107,-6.281313,15.672363
17,3.395281,5.642677,-0.309140,-0.188786,3.967580,7.379248,-1.243781,-6.776503,15.672363
18,3.595003,5.787031,-0.345552,-0.161290,3.922066,7.131274,-1.992650,-7.224464,15.672363
19,3.794725,5.924767,-0.376102,-0.134250,3.851451,6.875258,-2.731759,-7.635952,15.672363
20,3.994448,6.055720,-0.401016,-0.108259,3.757421,6.612420,-3.447301,-7.993356,15.672363
21,4.194170,6.180045,-0.420765,-0.084659,3.641572,6.343796,-4.137243,-8.311246,15.672363
22,4.393892,6.297649,-0.435945,-0.063684,3.505415,6.070273,-4.814133,-8.625034,15.672363
23,4.593615,6.407998,-0.446933,-0.043815,3.350441,5.792621,-5.483310,-8.946560,15.672363
24,4.793337,6.510564,-0.453766,-0.023260,3.178154,5.511518,-6.132576,-9.257369,15.672363
25,4.993060,6.605167,-0.456262,-0.001290,2.990041,5.227553,-6.736501,-9.525461,15.672363
26,5.192782,6.692014,-0.454257,0.021353,2.787517,4.941184,-7.270463,-9.730597,15.672363
27,5.392504,6.771487,-0.447811,0.042856,2.571894,4.652599,-7.745187,-9.896704,15.672363
28,5.592227,6.843693,-0.437266,0.062350,2.344385,4.361891,-8.193797,-10.070280,15.672363
29,5.791949,6.908387,-0.422957,0.080913,2.106170,4.069122,-8.618535,-10.254975,15.672363
30,5.991672,6.965372,-0.404971,0.099847,1.858415,3.774324,-9.001032,-10.429969,15.672363
31,6.191394,7.014614,-0.383199,0.119648,1.602265,3.477509,-9.285265,-10.532905,15.672363
32,6.391116,7.056337,-0.357501,0.137781,1.338817,3.178663,-9.465966,-10.562032,15.672363
33,6.590839,7.090639,-0.328422,0.150767,1.069120,2.877738,-9.615945,-10.601459,15.672363
34,6.790561,7.117274,-0.297052,0.158685,0.794219,2.574662,-9.759185,-10.678218,15.672363
35,6.990283,7.135993,-0.264341,0.163340,0.515185,2.269352,-9.899696,-10.797001,15.672363
36,7.190006,7.146654,-0.230836,0.167798,0.233115,1.961715,-10.008405,-10.926617,15.672363
37,7.389728,7.149239,-0.196350,0.174171,-0.050892,1.651653,-10.048260,-11.027249,15.672363
38,7.589451,7.143759,-0.160485,0.181893,-0.335741,1.339050,-10.019076,-11.098947,15.672363
39,7.789173,7.130180,-0.123005,0.189912,-0.620340,1.023778,-9.923546,-11.144612,15.672363
40,7.988895,7.108432,-0.083971,0.196069,-0.903581,0.705684,-9.781254,-11.186038,15.672363
41,8.188618,7.078467,-0.043938,0.199296,-1.184339,0.384604,-9.601152,-11.233648,15.672363
42,8.388340,7.040283,-0.003456,0.200368,-1.461462,0.060361,-9.377998,-11.281651,15.672363
43,8.588063,6.993892,0.037049,0.199508,-1.733778,-0.267233,-9.111066,-11.329199,15.672363
44,8.787785,6.939323,0.077153,0.196588,-2.000084,-0.598372,-8.800504,-11.376349,15.672363
45,8.987507,6.876633,0.116409,0.191542,-2.259149,-0.933264,-8.438891,-11.413063,15.672363
46,9.187230,6.805838,0.154468,0.185377,-2.509703,-1.272122,-8.018896,-11.427870,15.672363
