,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,5.000000,0.054894,0.128773,-0.000004,-4.638730,0.000210,4.208136,19.479877
1,0.199767,5.000000,0.078292,0.102067,0.000004,-4.468900,-0.000216,4.347066,19.479877
2,0.399534,5.000000,0.095707,0.071852,-0.000004,-4.294174,0.000218,4.413509,19.479877
3,0.599302,5.000000,0.107681,0.049397,0.000004,-4.116482,-0.000219,4.410413,19.479877
4,0.799069,5.000000,0.116618,0.041450,-0.000004,-3.937639,0.000220,4.362317,19.479877
5,0.998836,5.000000,0.125398,0.046041,0.000005,-3.759377,-0.000222,4.288909,19.479877
6,1.198603,5.000000,0.135807,0.055565,-0.000005,-3.583356,0.000224,4.197630,19.479877
7,1.398371,5.000000,0.147988,0.062200,0.000005,-3.411143,-0.000228,4.088189,19.479877
8,1.598138,5.000000,0.160729,0.061198,-0.000005,-3.244185,0.000232,3.954424,19.479877
9,1.797905,5.000000,0.172314,0.051770,0.000005,-3.083796,-0.000236,3.790916,19.479877
10,1.997672,5.000000,0.181172,0.035195,-0.000005,-2.931165,0.000241,3.589563,19.479877
11,2.197439,5.000000,0.186199,0.014756,0.000005,-2.787376,-0.000244,3.344597,19.479877
12,2.397207,5.000000,0.187149,-0.004689,-0.000005,-2.653451,0.000247,3.065036,19.479877
13,2.596974,5.000000,0.184579,-0.020147,0.000005,-2.530370,-0.000250,2.764716,19.479877
14,2.796741,5.000000,0.179284,-0.032026,-0.000005,-2.419061,0.000254,2.448659,19.479877
15,2.996508,5.000000,0.171806,-0.042017,0.000005,-2.320377,-0.000258,2.115281,19.479877
16,3.196275,5.000000,0.162434,-0.050775,-0.000005,-2.235092,0.000262,1.763614,19.479877
17,3.396043,5.000000,0.151464,-0.057567,0.000005,-2.163917,-0.000266,1.395731,19.479877
18,3.595810,5.000000,0.139392,-0.061460,-0.000005,-2.107510,0.000271,1.014769,19.479877
19,3.795577,5.000000,0.126805,-0.062765,0.000006,-2.066466,-0.000277,0.622232,19.479877
20,3.995344,5.000000,0.114104,-0.062946,-0.000006,-2.041310,0.000283,0.218331,19.479877
21,4.195112,5.000000,0.101404,-0.062863,0.000006,-2.032492,-0.000290,-0.195949,19.479877
22,4.394879,5.000000,0.088807,-0.061751,-0.000006,-2.040401,0.000297,-0.618766,19.479877
23,4.594646,5.000000,0.076688,-0.057747,0.000006,-2.065378,-0.000305,-1.048406,19.479877
24,4.794413,5.000000,0.065841,-0.048767,-0.000006,-2.107711,0.000313,-1.483800,19.479877
25,4.994180,5.000000,0.057393,-0.033999,0.000006,-2.167629,-0.000323,-1.924022,19.479877
26,5.193948,5.000000,0.052392,-0.015139,-0.000007,-2.245295,0.000333,-2.366650,19.479877
27,5.393715,5.000000,0.051395,0.005386,0.000007,-2.340806,-0.000345,-2.808877,19.479877
28,5.593482,5.000000,0.054511,0.025080,-0.000007,-2.454200,0.000358,-3.249745,19.479877
29,5.793249,5.000000,0.061238,0.040563,0.000007,-2.585453,-0.000374,-3.687849,19.479877
30,5.993016,5.000000,0.070516,0.050443,-0.000008,-2.734471,0.000391,-4.120159,19.479877
31,6.192784,5.000000,0.081325,0.055926,0.000008,-2.901089,-0.007131,-4.540754,19.479877
32,6.392551,4.999995,0.093059,0.060154,-0.000281,-3.085073,-0.015200,-4.942273,19.479877
33,6.592318,4.999971,0.105892,0.066691,-0.000899,-3.286128,0.079340,-5.327354,19.479877
34,6.792085,5.000000,0.120373,0.075192,0.002344,-3.503891,-0.114320,-5.706145,19.479877
35,6.991853,5.000000,0.136509,0.081623,-0.002344,-3.737884,-0.684355,-6.081538,19.479877
36,7.191620,4.999327,0.153451,0.082624,-0.030432,-3.987486,-1.239894,-6.445760,19.479877
37,7.391387,4.997035,0.169951,0.077481,-0.081300,-4.251934,-1.687791,-6.780207,19.479877
38,7.591154,4.992274,0.184926,0.068331,-0.150605,-4.530345,-2.024111,-7.071017,19.479877
39,7.790921,4.984349,0.197897,0.057855,-0.234016,-4.821732,-2.252104,-7.329130,19.479877
40,7.990689,4.972739,0.208614,0.045816,-0.327200,-5.124985,-2.375806,-7.561647,19.479877
41,8.190456,4.957112,0.216552,0.030607,-0.425807,-5.438829,-2.395636,-7.760987,19.479877
42,8.390223,4.937317,0.220938,0.011248,-0.525503,-5.761807,-2.308668,-7.905924,19.479877
43,8.589990,4.913334,0.220958,-0.011388,-0.622006,-6.092278,-2.115152,-7.979750,19.479877
44,8.789757,4.885258,0.216150,-0.035274,-0.711101,-6.428402,-1.825014,-7.987546,19.479877
45,8.989525,4.853391,0.206310,-0.060094,-0.788657,-6.767842,-1.449965,-7.914717,19.479877
46,9.189292,4.818274,0.191122,-0.087170,-0.850774,-7.106910,-1.000332,-7.745094,19.479877
