right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
-0.522541,-10.704532,0.128991,-0.213732,-12.036835,0.128991,-0.244581,-11.447832,0.128991
-0.678550,-10.736876,0.129029,-0.371144,-12.070291,0.129029,-0.488428,-11.503533,0.129029
-0.907256,-10.790551,0.128984,-0.604483,-12.123548,0.128984,-0.736194,-11.541650,0.128984
-1.144675,-10.843550,0.128999,-0.858490,-12.181499,0.128999,-0.984966,-11.566891,0.128999
-1.351261,-10.888446,0.128993,-1.131150,-12.234799,0.128993,-1.235306,-11.577244,0.128993
-1.564807,-10.917659,0.128992,-1.414888,-12.271930,0.128992,-1.485032,-11.591631,0.128992
-1.773460,-10.933047,0.128984,-1.693442,-12.289800,0.128984,-1.735009,-11.608372,0.128984
-2.007023,-10.946471,0.129009,-1.963729,-12.300341,0.129009,-1.985177,-11.625086,0.129009
-2.240775,-10.955167,0.128981,-2.227601,-12.303660,0.128981,-2.235435,-11.639758,0.128981
-2.493258,-10.957782,0.128992,-2.481159,-12.304970,0.128992,-2.486068,-11.653515,0.128992
-2.740518,-10.958614,0.129002,-2.727391,-12.307664,0.129002,-2.736215,-11.667772,0.129002
-2.987069,-10.958675,0.129020,-2.991033,-12.314235,0.129020,-2.986461,-11.682596,0.129020
-3.226093,-10.961380,0.128989,-3.244745,-12.318655,0.128989,-3.237213,-11.696748,0.128989
-3.470568,-10.955815,0.128995,-3.501998,-12.312215,0.128995,-3.487938,-11.706427,0.128995
-3.704084,-10.944010,0.129011,-3.748387,-12.299555,0.129011,-3.739275,-11.710187,0.129011
-3.952294,-10.929347,0.128992,-4.021160,-12.285289,0.128992,-3.990937,-11.694071,0.128992
-4.186801,-10.915875,0.128983,-4.287747,-12.269688,0.128983,-4.237423,-11.648348,0.128983
-4.426612,-10.895029,0.128990,-4.553656,-12.248267,0.128990,-4.480401,-11.584359,0.128990
-4.653588,-10.871122,0.129010,-4.807319,-12.221374,0.129010,-4.725671,-11.530805,0.129010
-4.887076,-10.837121,0.129018,-5.073738,-12.183610,0.129018,-4.971190,-11.477519,0.129018
-5.113022,-10.801646,0.128993,-5.343798,-12.139041,0.128993,-5.216157,-11.424403,0.128993
-5.327285,-10.755335,0.128982,-5.627218,-12.077972,0.128982,-5.461220,-11.370034,0.128982
-5.546720,-10.702607,0.128985,-5.900773,-12.005899,0.128985,-5.705448,-11.315822,0.128985
-5.748102,-10.644859,0.128991,-6.178403,-11.920280,0.128991,-5.950286,-11.262104,0.128991
-5.953732,-10.571502,0.128989,-6.425056,-11.831501,0.128989,-6.194872,-11.208920,0.128989
-6.147234,-10.486915,0.128987,-6.674140,-11.734646,0.128987,-6.440291,-11.155520,0.128987
-6.356857,-10.396635,0.128996,-6.911127,-11.626910,0.128996,-6.682650,-11.093473,0.128996
-6.557867,-10.300772,0.128991,-7.161591,-11.497295,0.128991,-6.921483,-11.017065,0.128991
-6.745354,-10.199393,0.129001,-7.412852,-11.359381,0.129001,-7.157044,-10.929024,0.129001
-6.922324,-10.094452,0.128993,-7.631659,-11.226620,0.128993,-7.386862,-10.830199,0.128993
-7.098072,-9.976876,0.128990,-7.857094,-11.084612,0.128990,-7.610851,-10.717807,0.128990
-7.281855,-9.849246,0.129000,-8.063482,-10.941961,0.129000,-7.827779,-10.592093,0.129000
-7.458560,-9.713799,0.129008,-8.293748,-10.777041,0.129008,-8.034026,-10.450747,0.129008
-7.629664,-9.574525,0.128998,-8.499596,-10.613266,0.128998,-8.230488,-10.295410,0.128998
-7.791126,-9.426112,0.128983,-8.703417,-10.430032,0.128983,-8.415601,-10.126397,0.128983
-7.953650,-9.269519,0.128985,-8.890017,-10.248613,0.128985,-8.584983,-9.940528,0.128985
-8.109623,-9.122087,0.129063,-9.076938,-10.053099,0.129063,-8.723299,-9.731151,0.129063
-8.252761,-8.973009,0.128985,-9.253546,-9.862647,0.128985,-8.850721,-9.514522,0.128985
-8.389889,-8.823708,0.129024,-9.425402,-9.658914,0.129024,-8.987411,-9.304385,0.129024
-8.525790,-8.647598,0.128985,-9.587937,-9.445444,0.128985,-9.124021,-9.094193,0.128985
-8.645296,-8.485725,0.128983,-9.745411,-9.217994,0.128983,-9.260569,-8.884390,0.128983
-8.756392,-8.311792,0.129007,-9.901045,-8.969776,0.129007,-9.396598,-8.673727,0.129007
-8.839670,-8.147422,0.129063,-10.041750,-8.709868,0.129063,-9.524410,-8.457457,0.129063
-8.910911,-7.984809,0.129008,-10.158881,-8.429908,0.129008,-9.638520,-8.234528,0.129008
-8.963758,-7.811124,0.128996,-10.247704,-8.127772,0.128996,-9.731156,-8.001916,0.128996
-8.997121,-7.666682,0.128981,-10.299748,-7.820558,0.128981,-9.787439,-7.758195,0.128981
-9.007587,-7.538154,0.128982,-10.309183,-7.488734,0.128982,-9.800925,-7.507978,0.128982
-8.990750,-7.440515,0.129054,-10.265879,-7.151864,0.129054,-9.748820,-7.262349,0.129054
-8.955223,-7.343172,0.129081,-10.160090,-6.817770,0.129081,-9.617932,-7.048556,0.129081
-8.888830,-7.227580,0.129021,-9.997132,-6.512040,0.129021,-9.429738,-6.882643,0.129021
-8.801986,-7.118262,0.128992,-9.782710,-6.246061,0.128992,-9.236990,-6.722982,0.128992
-8.675785,-7.006771,0.129023,-9.536864,-6.012528,0.129023,-9.057356,-6.548364,0.129023
-8.535044,-6.904826,0.128982,-9.261353,-5.808979,0.128982,-8.877571,-6.372621,0.128982
-8.356527,-6.794842,0.128988,-8.996898,-5.642157,0.128988,-8.693569,-6.201880,0.128988
-8.181777,-6.701811,0.129018,-8.712760,-5.493703,0.129018,-8.479030,-6.071294,0.129018
-7.964171,-6.604851,0.128997,-8.467661,-5.380671,0.128997,-8.244645,-5.983024,0.128997
-7.771889,-6.534670,0.128995,-8.216374,-5.278552,0.128995,-7.998579,-5.934867,0.128995
-7.552594,-6.460252,0.129114,-7.998145,-5.195106,0.129114,-7.747580,-5.924750,0.129114
-7.360522,-6.403977,0.128992,-7.730603,-5.104037,0.128992,-7.498836,-5.897246,0.128992
-7.127544,-6.345565,0.129036,-7.459838,-5.031860,0.129036,-7.248257,-5.867870,0.129036
-6.906322,-6.290707,0.128982,-7.186555,-4.966015,0.128982,-6.999380,-5.839396,0.128982
-6.667282,-6.244422,0.128989,-6.926142,-4.917355,0.128989,-6.750058,-5.811147,0.128989
-6.436261,-6.204403,0.128988,-6.630538,-4.868459,0.128988,-6.500597,-5.783188,0.128988
-6.203723,-6.176539,0.129031,-6.336595,-4.831578,0.129031,-6.251492,-5.754861,0.129031
-5.976185,-6.160118,0.129006,-6.041105,-4.810430,0.129006,-6.002747,-5.726880,0.129006
-5.733868,-6.146901,0.129007,-5.778174,-4.803264,0.129007,-5.755041,-5.686909,0.129007
-5.485910,-6.137379,0.128984,-5.516342,-4.797744,0.128984,-5.507855,-5.647070,0.128984
-5.232958,-6.122128,0.128993,-5.272539,-4.792609,0.128993,-5.259848,-5.609407,0.128993
-4.992936,-6.110219,0.128987,-5.017933,-4.785288,0.128987,-5.011949,-5.571663,0.128987
-4.743433,-6.099627,0.129065,-4.773520,-4.781204,0.129065,-4.761451,-5.565441,0.129065
-4.495947,-6.091530,0.128988,-4.526231,-4.773577,0.128988,-4.507550,-5.554949,0.128988
-4.241942,-6.080503,0.129004,-4.286936,-4.765468,0.129004,-4.256725,-5.543384,0.129004
-3.991994,-6.068285,0.128993,-4.040154,-4.756363,0.128993,-4.006366,-5.532415,0.128993
-3.738213,-6.055979,0.128980,-3.793033,-4.747583,0.128980,-3.756103,-5.521243,0.128980
-3.485385,-6.046631,0.129001,-3.546181,-4.737320,0.129001,-3.505522,-5.510365,0.129001
-3.215541,-6.035232,0.128989,-3.276593,-4.728405,0.128989,-3.252553,-5.499391,0.128989
-2.950206,-6.026774,0.128982,-3.017248,-4.721598,0.128982,-3.000749,-5.488639,0.128982
-2.696883,-6.015145,0.129074,-2.751319,-4.721455,0.129074,-2.750277,-5.478254,0.129074
-2.466343,-6.006399,0.128989,-2.480031,-4.720966,0.128989,-2.499589,-5.467775,0.128989
-2.235928,-5.995552,0.129007,-2.233264,-4.718010,0.129007,-2.248908,-5.457410,0.129007
-1.989635,-5.986407,0.128992,-1.986107,-4.709930,0.128992,-1.998968,-5.447380,0.128992
-1.743458,-5.977108,0.128985,-1.760816,-4.702489,0.128985,-1.749094,-5.436945,0.128985
-1.486650,-5.966417,0.128989,-1.507381,-4.695400,0.128989,-1.496799,-5.426681,0.128989
-1.233595,-5.954773,0.129004,-1.266795,-4.687575,0.129004,-1.246179,-5.416339,0.129004
-0.966609,-5.944438,0.129041,-1.026687,-4.680293,0.129041,-0.995272,-5.403417,0.129041
-0.726779,-5.932849,0.129000,-0.773178,-4.670837,0.129000,-0.748765,-5.360148,0.129000
-0.469347,-5.925072,0.129001,-0.538570,-4.664823,0.129001,-0.500821,-5.327911,0.129001
-0.202847,-5.908330,0.128985,-0.346301,-4.645550,0.128985,-0.252678,-5.296017,0.128985
0.054861,-5.890459,0.129025,-0.129714,-4.611305,0.129025,0.005472,-5.263254,0.129025
0.304169,-5.872291,0.129024,0.134702,-4.559646,0.129024,0.255683,-5.239501,0.129024
0.524113,-5.863105,0.128982,0.443588,-4.512584,0.128982,0.505828,-5.246491,0.128982
0.769821,-5.861508,0.128989,0.720885,-4.482610,0.128989,0.759862,-5.241100,0.128989
0.991148,-5.861260,0.129002,0.988031,-4.468120,0.129002,1.009854,-5.235682,0.129002
