s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-0.364709,-11.390686,0.128995,-2.921382,-0.000013,-0.000000,-0.077784,-0.000011,-0.000004,-0.704497,0.663167,-0.000005,-0.000011,-0.077784
0.199767,-0.559907,-11.433163,0.128997,-2.931432,-0.000010,-0.000000,-0.022830,0.000045,0.000001,-0.705357,0.662772,0.000001,0.000045,-0.022830
0.399534,-0.755379,-11.474363,0.128998,-2.936439,-0.000000,-0.000000,-0.027301,0.000047,0.000002,-0.700357,0.666260,0.000002,0.000047,-0.027301
0.599302,-0.951145,-11.514137,0.128997,-2.947846,0.000007,0.000000,-0.086905,0.000027,-0.000001,-0.697006,0.671063,-0.000001,0.000027,-0.086905
0.799069,-1.147586,-11.550414,0.128995,-2.972559,0.000010,-0.000000,-0.160512,0.000004,-0.000000,-0.690049,0.675624,0.000002,0.000004,-0.160512
0.998836,-1.345049,-11.580596,0.128993,-3.008603,0.000009,-0.000000,-0.200343,-0.000014,0.000000,-0.685823,0.677538,0.000002,-0.000014,-0.200343
1.198603,-1.543527,-11.603140,0.128992,-3.048263,0.000006,0.000000,-0.196721,-0.000023,0.000000,-0.685498,0.676448,0.000001,-0.000023,-0.196721
1.398371,-1.742722,-11.618108,0.128991,-3.083593,0.000001,-0.000000,-0.156996,-0.000022,-0.000000,-0.686373,0.672496,-0.000000,-0.000022,-0.156996
1.598138,-1.942290,-11.626904,0.128991,-3.109771,-0.000003,-0.000000,-0.105087,-0.000019,-0.000000,-0.683347,0.672137,-0.000000,-0.000019,-0.105087
1.797905,-2.142002,-11.631481,0.128992,-3.126009,-0.000008,-0.000000,-0.057479,-0.000029,0.000001,-0.679326,0.671210,0.000000,-0.000029,-0.057479
1.997672,-2.341757,-11.633702,0.128995,-3.133651,-0.000014,0.000000,-0.019036,-0.000031,0.000000,-0.677105,0.670482,-0.000000,-0.000031,-0.019036
2.197439,-2.541520,-11.634998,0.128998,-3.136120,-0.000017,0.000000,-0.005674,-0.000005,-0.000000,-0.677082,0.670438,-0.000000,-0.000005,-0.005674
2.397207,-2.741285,-11.635898,0.129001,-3.138460,-0.000014,0.000000,-0.017763,0.000034,-0.000000,-0.677282,0.671916,-0.000001,0.000034,-0.017763
2.596974,-2.941052,-11.636048,0.129003,-3.143818,-0.000005,0.000000,-0.035880,0.000056,-0.000000,-0.677792,0.676794,-0.000000,0.000056,-0.035880
2.796741,-3.140815,-11.634829,0.129003,-3.151867,0.000004,-0.000000,-0.044697,0.000042,-0.000001,-0.674281,0.682722,-0.000000,0.000042,-0.044697
2.996508,-3.340559,-11.631873,0.129001,-3.160976,0.000011,-0.000000,-0.046502,0.000019,0.000000,-0.672318,0.684927,0.000001,0.000019,-0.046502
3.196275,-3.540268,-11.627052,0.128999,-3.170585,0.000013,-0.000000,-0.049698,0.000008,0.000000,-0.673989,0.682609,0.000001,0.000008,-0.049698
3.396043,-3.739916,-11.620201,0.128996,-3.181547,0.000014,-0.000000,-0.060049,-0.000007,-0.000000,-0.677533,0.678718,0.000001,-0.000007,-0.060049
3.595810,-3.939467,-11.610934,0.128994,-3.194916,0.000009,-0.000000,-0.073795,-0.000041,0.000000,-0.680050,0.677487,0.000001,-0.000041,-0.073795
3.795577,-4.138861,-11.598761,0.128993,-3.210493,-0.000002,-0.000000,-0.082160,-0.000068,0.000000,-0.678928,0.678602,0.000000,-0.000068,-0.082160
3.995344,-4.338032,-11.583372,0.128995,-3.226920,-0.000014,0.000000,-0.082299,-0.000055,0.000000,-0.677803,0.680343,-0.000001,-0.000055,-0.082299
4.195112,-4.536923,-11.564706,0.128999,-3.243456,-0.000020,0.000000,-0.083258,0.000003,0.000000,-0.677682,0.681602,-0.000001,0.000003,-0.083258
4.394879,-4.735470,-11.542679,0.129002,-3.261009,-0.000012,0.000000,-0.092479,0.000071,-0.000000,-0.676912,0.681961,-0.000001,0.000071,-0.092479
4.594646,-4.933565,-11.516911,0.129003,-3.281586,0.000005,-0.000000,-0.113530,0.000097,-0.000001,-0.679885,0.679575,-0.000000,0.000097,-0.113530
4.794413,-5.131011,-11.486588,0.129000,-3.307417,0.000021,-0.000000,-0.145074,0.000062,-0.000000,-0.679069,0.678867,0.000003,0.000062,-0.145074
4.994180,-5.327495,-11.450564,0.128995,-3.339449,0.000026,-0.000000,-0.175620,-0.000003,0.000001,-0.679477,0.677319,0.000005,-0.000003,-0.175620
5.193948,-5.522612,-11.407765,0.128990,-3.376122,0.000021,-0.000000,-0.191540,-0.000050,0.000000,-0.680582,0.674908,0.000004,-0.000050,-0.191540
5.393715,-5.715962,-11.357587,0.128987,-3.415156,0.000010,-0.000000,-0.199251,-0.000060,0.000000,-0.677375,0.673188,0.000002,-0.000060,-0.199251
5.593482,-5.907191,-11.299852,0.128986,-3.454207,-0.000000,-0.000000,-0.191716,-0.000044,0.000000,-0.673907,0.673204,0.000000,-0.000044,-0.191716
5.793249,-6.096108,-11.234944,0.128987,-3.490044,-0.000007,0.000000,-0.167073,-0.000023,0.000000,-0.671704,0.672898,-0.000001,-0.000023,-0.167073
5.993016,-6.282745,-11.163739,0.128989,-3.521421,-0.000010,0.000000,-0.147065,-0.000008,-0.000000,-0.674682,0.674420,-0.000002,-0.000008,-0.147065
6.192784,-6.467189,-11.087026,0.128991,-3.549695,-0.000010,0.000000,-0.135998,0.000004,0.000000,-0.678344,0.675950,-0.000001,0.000004,-0.135998
6.392551,-6.649414,-11.005184,0.128993,-3.578177,-0.000009,0.000000,-0.149159,0.000012,0.000000,-0.675638,0.672976,-0.000001,0.000012,-0.149159
6.592318,-6.829080,-10.917870,0.128994,-3.610633,-0.000006,0.000000,-0.175777,0.000014,-0.000000,-0.674053,0.667047,-0.000001,0.000014,-0.175777
6.792085,-7.005615,-10.824393,0.128995,-3.646888,-0.000004,0.000000,-0.187201,0.000011,-0.000000,-0.673619,0.665371,-0.000001,0.000011,-0.187201
6.991853,-7.178611,-10.724519,0.128996,-3.683017,-0.000002,-0.000000,-0.174502,0.000004,0.000000,-0.672192,0.664503,-0.000000,0.000004,-0.174502
7.191620,-7.348055,-10.618726,0.128996,-3.715726,-0.000002,0.000000,-0.152971,-0.000003,0.000000,-0.672317,0.665575,-0.000000,-0.000003,-0.152971
7.391387,-7.514179,-10.507789,0.128997,-3.744398,-0.000002,0.000000,-0.134082,0.000002,-0.000000,-0.673782,0.669707,-0.000000,0.000002,-0.134082
7.591154,-7.677194,-10.392331,0.128997,-3.771347,-0.000001,0.000000,-0.135720,0.000011,0.000000,-0.672298,0.671056,-0.000000,0.000011,-0.135720
7.790921,-7.836984,-10.272450,0.128997,-3.799498,0.000000,0.000000,-0.146119,0.000003,0.000000,-0.674001,0.676824,0.000000,0.000003,-0.146119
7.990689,-7.993246,-10.148005,0.128997,-3.828790,-0.000002,0.000000,-0.147146,-0.000030,-0.000000,-0.673729,0.680330,-0.000000,-0.000030,-0.147146
8.190456,-8.145806,-10.019050,0.128998,-3.857733,-0.000011,0.000000,-0.142623,-0.000062,0.000000,-0.676400,0.679380,-0.000001,-0.000062,-0.142623
8.390223,-8.294644,-9.885815,0.129002,-3.885482,-0.000022,0.000000,-0.135185,-0.000045,0.000001,-0.680856,0.675520,-0.000002,-0.000045,-0.135185
8.589990,-8.439766,-9.748542,0.129006,-3.913144,-0.000023,0.000000,-0.141765,0.000032,-0.000002,-0.682802,0.671370,-0.000005,0.000032,-0.141765
8.789757,-8.580897,-9.607170,0.129010,-3.943081,-0.000010,-0.000000,-0.157947,0.000104,-0.000001,-0.676984,0.666150,-0.000002,0.000104,-0.157947
8.989525,-8.717517,-9.461436,0.129010,-3.975843,0.000009,-0.000000,-0.170063,0.000088,0.000002,-0.674231,0.666050,0.000003,0.000088,-0.170063
9.189292,-8.849147,-9.311181,0.129007,-4.010224,0.000020,0.000000,-0.174146,0.000013,0.000000,-0.667945,0.665425,0.000004,0.000013,-0.174146
9.389059,-8.975470,-9.156438,0.129003,-4.045453,0.000014,0.000000,-0.178553,-0.000072,-0.000000,-0.666272,0.662984,0.000002,-0.000072,-0.178553
9.588826,-9.096070,-8.997197,0.129002,-4.083863,-0.000005,0.000000,-0.205994,-0.000118,0.000000,-0.666926,0.660016,-0.000001,-0.000118,-0.205994
9.788594,-9.209931,-8.833076,0.129005,-4.129294,-0.000024,0.000000,-0.248848,-0.000070,-0.000000,-0.663399,0.657781,-0.000006,-0.000070,-0.248848
9.988361,-9.315458,-8.663485,0.129011,-4.183871,-0.000026,-0.000000,-0.297554,0.000051,-0.000000,-0.661421,0.658564,-0.000008,0.000051,-0.297554
10.188128,-9.410730,-8.487939,0.129014,-4.248002,-0.000006,-0.000000,-0.344505,0.000148,0.000000,-0.663857,0.661904,-0.000002,0.000148,-0.344505
10.387895,-9.493745,-8.306286,0.129013,-4.320775,0.000020,0.000000,-0.384075,0.000116,0.000001,-0.662932,0.663373,0.000009,0.000116,-0.384075
10.587662,-9.562530,-8.118793,0.129007,-4.402395,0.000029,0.000000,-0.433075,-0.000026,-0.000001,-0.662483,0.661686,0.000012,-0.000026,-0.433075
10.787430,-9.614615,-7.926014,0.129003,-4.497476,0.000010,0.000000,-0.518834,-0.000169,-0.000000,-0.661395,0.659427,0.000005,-0.000170,-0.518834
10.987197,-9.646258,-7.728881,0.129005,-4.612927,-0.000028,0.000000,-0.637023,-0.000211,0.000001,-0.654382,0.656592,-0.000017,-0.000211,-0.637023
11.186964,-9.652642,-7.529376,0.129014,-4.751722,-0.000059,0.000000,-0.752547,-0.000102,0.000001,-0.648175,0.654565,-0.000044,-0.000102,-0.752547
11.386731,-9.629432,-7.331167,0.129026,-4.908255,-0.000060,0.000000,-0.814612,0.000099,-0.000001,-0.650092,0.656260,-0.000049,0.000099,-0.814612
11.586499,-9.574947,-7.139197,0.129035,-5.068941,-0.000026,0.000000,-0.794121,0.000241,-0.000001,-0.653810,0.658635,-0.000021,0.000241,-0.794121
11.786266,-9.491134,-6.958072,0.129036,-5.220134,0.000021,-0.000000,-0.719571,0.000226,-0.000001,-0.657472,0.660659,0.000014,0.000226,-0.719571
11.986033,-9.382268,-6.790757,0.129028,-5.355562,0.000054,-0.000000,-0.636288,0.000105,-0.000000,-0.658815,0.657997,0.000034,0.000106,-0.636288
12.185800,-9.253032,-6.638580,0.129016,-5.474645,0.000064,-0.000000,-0.555925,-0.000012,-0.000001,-0.661267,0.650961,0.000034,-0.000012,-0.555925
12.385567,-9.107666,-6.501687,0.129004,-5.578572,0.000054,-0.000000,-0.484558,-0.000088,0.000001,-0.667086,0.648465,0.000027,-0.000088,-0.484558
12.585335,-8.949735,-6.379466,0.128995,-5.668180,0.000031,-0.000000,-0.412562,-0.000139,0.000003,-0.669902,0.644533,0.000016,-0.000139,-0.412562
12.785102,-8.782258,-6.270656,0.128992,-5.743488,0.000001,0.000000,-0.341393,-0.000156,-0.000001,-0.669637,0.647223,-0.000000,-0.000156,-0.341393
12.984869,-8.607703,-6.173575,0.128994,-5.805795,-0.000027,-0.000000,-0.282405,-0.000132,-0.000003,-0.666788,0.652333,-0.000011,-0.000131,-0.282405
