s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,294.362400,693.666700,0.000000,-2.441238,0.000000,-0.157100,0.000819,0.000000,0.000000,-7.741941,7.742143,0.000000,-0.000128,0.000809
0.253069,294.168900,693.503600,0.000000,-2.441031,0.000000,-0.157100,0.001009,0.000000,0.000000,-7.746497,7.745586,0.000000,-0.000158,0.000996
0.505920,293.975600,693.340600,0.000000,-2.440776,0.000000,-0.157100,-0.000187,0.000000,0.000000,-7.750547,7.748927,0.000000,0.000029,-0.000185
0.758695,293.782400,693.177600,0.000000,-2.440823,0.000000,-0.157100,0.002022,0.000000,0.000000,-7.754597,7.752369,0.000000,-0.000316,0.001997
1.011330,293.589300,693.014700,0.000000,-2.440313,0.000000,-0.157100,0.000826,0.000000,0.000000,-7.758140,7.755710,0.000000,-0.000129,0.000816
1.263811,293.396400,692.851800,0.000000,-2.440104,0.000000,-0.157100,0.000829,0.000000,0.000000,-7.761785,7.759052,0.000000,-0.000130,0.000818
1.516075,293.203700,692.689000,0.000000,-2.439895,0.000000,-0.157100,0.003236,0.000000,0.000000,-7.764924,7.762190,0.000000,-0.000506,0.003196
1.768122,293.011200,692.526300,0.000000,-2.439079,0.000000,-0.157100,0.002220,0.000000,0.000000,-7.768164,7.765430,0.000000,-0.000347,0.002193
2.020080,292.818900,692.363500,0.000000,-2.438520,0.000000,-0.157100,0.001019,0.000000,0.000000,-7.771100,7.768467,0.000000,-0.000159,0.001006
2.272027,292.626700,692.200600,0.000000,-2.438263,0.000000,-0.157100,0.003242,0.000000,0.000000,-7.774036,7.771404,0.000000,-0.000507,0.003202
2.523898,292.434600,692.037700,0.000000,-2.437447,0.000000,-0.157100,0.001382,0.000000,0.000000,-7.776668,7.774137,0.000000,-0.000216,0.001365
2.775681,292.242700,691.874700,0.000000,-2.437099,0.000000,-0.157100,0.003419,0.000000,0.000000,-7.779402,7.776871,0.000000,-0.000535,0.003377
3.027669,292.050700,691.711500,0.000000,-2.436237,0.000000,-0.157100,0.002396,0.000000,0.000000,-7.781832,7.779503,0.000000,-0.000375,0.002366
3.279711,291.858800,691.548100,0.000000,-2.435633,0.000000,-0.157100,0.002392,0.000000,0.000000,-7.784363,7.781933,0.000000,-0.000374,0.002363
3.531883,291.666900,691.384500,0.000000,-2.435030,0.000000,-0.157100,0.003582,0.000000,0.000000,-7.786591,7.784262,0.000000,-0.000560,0.003538
3.784184,291.475000,691.220700,0.000000,-2.434126,0.000000,-0.157100,0.001364,0.000000,0.000000,-7.788818,7.786489,0.000000,-0.000213,0.001347
4.036681,291.283100,691.056600,0.000000,-2.433782,0.000000,-0.157100,0.002378,0.000000,0.000000,-7.790944,7.788616,0.000000,-0.000372,0.002349
4.289383,291.091100,690.892300,0.000000,-2.433181,0.000000,-0.157100,0.002375,0.000000,0.000000,-7.792969,7.790539,0.000000,-0.000372,0.002345
4.542216,290.899100,690.727800,0.000000,-2.432580,0.000000,-0.157100,0.002371,0.000000,0.000000,-7.794893,7.792463,0.000000,-0.000371,0.002342
4.795178,290.707100,690.563100,0.000000,-2.431981,0.000000,-0.157100,0.001184,0.000000,0.000000,-7.796817,7.794285,0.000000,-0.000185,0.001169
5.048271,290.515100,690.398200,0.000000,-2.431681,0.000000,-0.157100,0.003383,0.000000,0.000000,-7.798538,7.795905,0.000000,-0.000529,0.003341
5.301429,290.323100,690.233200,0.000000,-2.430825,0.000000,-0.157100,0.002200,0.000000,0.000000,-7.800158,7.797525,0.000000,-0.000344,0.002173
