s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.0,-1.940937,4.679647,-0.021047,0.01993,0.023904,-8.8e-05,-0.080066,-1.23478,0.006543,-0.588069,0.588069,0.008457,-1.234773,-0.080151
0.066397,-1.874564,4.680483,-0.022634,0.014614,-0.058082,0.000347,0.075872,1.812253,-0.011014,-0.586063,0.586063,-0.00661,1.812279,0.075115
0.124027,-1.817032,4.680637,-0.019289,0.018986,0.046357,-0.000288,0.022281,-2.234726,0.01451,-0.586043,0.586043,0.013477,-2.234732,0.021614
0.177138,-1.763978,4.680986,-0.02175,0.02017,-0.072333,0.000483,0.066614,1.897678,-0.01243,-0.586028,0.586028,-0.007616,1.89771,0.065523
0.24045,-1.700833,4.681418,-0.017175,0.024387,0.047812,-0.000304,0.012505,-1.438862,0.009494,-0.585861,0.585861,0.008897,-1.438866,0.012054
0.307682,-1.633683,4.682202,-0.020388,0.025228,-0.048925,0.000334,-0.018696,1.351269,-0.007158,-0.585441,0.585441,-0.008072,1.351263,-0.019125
0.382813,-1.558647,4.683071,-0.016714,0.023823,0.052597,-0.000204,0.007189,-1.293057,0.00325,-0.584666,0.584666,0.002872,-1.293059,0.006916
0.457586,-1.483986,4.684272,-0.020645,0.024361,-0.044088,3.9e-05,-0.002229,1.092025,-0.001235,-0.583714,0.583714,-0.001333,1.092025,-0.00227
0.528602,-1.413057,4.685873,-0.017515,0.024203,0.033463,-4.8e-05,-0.032222,-0.898189,0.002194,-0.5827,0.5827,0.003272,-0.898188,-0.032248
0.599559,-1.342156,4.687385,-0.019889,0.021916,-0.03027,0.000107,0.185316,0.60482,-0.001462,-0.581597,0.581597,0.004146,0.604839,0.185166
0.673077,-1.26868,4.688474,-0.017664,0.03554,0.014195,-0.0,-0.077914,-0.304231,0.000135,-0.580124,0.580124,0.001241,-0.304231,-0.077906
0.756277,-1.185542,4.691428,-0.018845,0.029058,-0.011117,1.1e-05,-0.079968,-0.116716,0.000327,-0.577117,0.577117,-0.000562,-0.116717,-0.079962
0.848391,-1.093467,4.693922,-0.017821,0.021692,-0.021868,4.1e-05,-0.01447,0.462666,-0.001464,-0.574713,0.574713,-0.00178,0.462666,-0.014485
0.944749,-0.997148,4.695648,-0.015714,0.020297,0.022714,-0.0001,-0.040179,-0.351287,0.001841,-0.572084,0.572084,0.002754,-0.351283,-0.040204
1.053639,-0.888292,4.696901,-0.018187,0.015922,-0.015538,0.000101,0.013523,0.212743,-0.001249,-0.56944,0.56944,-0.001039,0.212745,0.013499
1.17214,-0.769806,4.697254,-0.016346,0.017525,0.009672,-4.7e-05,-0.022026,-0.317149,0.001263,-0.566429,0.566429,0.001476,-0.317148,-0.02204
1.299421,-0.642536,4.698239,-0.017577,0.014721,-0.030695,0.000113,-0.090654,0.279732,-0.001069,-0.563884,0.563884,-0.003851,0.279721,-0.090643
1.434225,-0.507798,4.699227,-0.01344,0.002501,0.007015,-3.1e-05,0.000224,-0.247457,0.000745,-0.560883,0.560883,0.000743,-0.247457,0.000216
1.567672,-0.374358,4.698391,-0.014376,0.002531,-0.026008,6.9e-05,0.070366,0.275558,-0.000364,-0.559178,0.559178,0.001466,0.275563,0.070323
1.70165,-0.240424,4.698023,-0.010892,0.011958,0.010911,2e-05,0.012888,-0.348055,-0.001618,-0.556838,0.556838,-0.001758,-0.348054,0.012894
1.834913,-0.107186,4.700102,-0.012346,0.013676,-0.035471,-0.000196,0.029596,0.324225,0.001776,-0.553327,0.553327,0.002826,0.324219,0.029641
1.957621,0.015407,4.703132,-0.007995,0.017307,0.004314,2.2e-05,-0.03448,-0.063808,-0.000221,-0.550372,0.550372,-7.2e-05,-0.063808,-0.034479
2.081661,0.139399,4.706558,-0.00853,0.01303,-0.003601,-5e-06,0.081595,-0.04702,-0.000331,-0.547877,0.547877,-3.7e-05,-0.04702,0.081594
2.209408,0.267128,4.708589,-0.00807,0.023454,-0.009608,-4.7e-05,0.052103,0.074216,0.000367,-0.545922,0.545922,0.000867,0.074214,0.052104
2.342867,0.400508,4.713035,-0.006788,0.030407,0.000297,2e-06,0.060896,-0.090927,-0.000291,-0.543098,0.543098,-0.00031,-0.090927,0.060896
2.467311,0.524847,4.718132,-0.006825,0.037985,-0.011018,-3.5e-05,0.090833,0.166019,0.000612,-0.541231,0.541231,0.001613,0.166016,0.090833
2.591033,0.64844,4.723609,-0.005462,0.049223,0.009522,4.1e-05,-0.093973,-0.128837,3.8e-05,-0.540335,0.540335,0.000933,-0.12884,-0.093963
2.714558,0.771753,4.73075,-0.006638,0.037615,-0.006392,4.6e-05,0.179027,0.03431,-0.000354,-0.544513,0.544513,0.00079,0.034318,0.179022
2.847071,0.904228,4.733841,-0.005791,0.061339,-0.001846,-1e-06,0.014369,-0.089108,-6.2e-05,-0.542716,0.542716,-3.5e-05,-0.089108,0.014369
2.976016,1.032919,4.741914,-0.005553,0.063192,-0.013336,-9e-06,-0.033172,0.055348,0.000483,-0.545579,0.545579,4e-05,0.055349,-0.033169
3.095851,1.152493,4.749645,-0.003955,0.059217,-0.006703,4.9e-05,-0.04321,0.019706,-0.000141,-0.54678,0.54678,-0.000431,0.019704,-0.04321
3.215496,1.272016,4.754994,-0.003153,0.054047,-0.004345,3.2e-05,0.168777,-0.010777,-0.000308,-0.552071,0.552071,0.000426,-0.010772,0.168776
3.336546,1.392972,4.759769,-0.002627,0.074477,-0.00565,-6e-06,-0.095222,-0.029631,0.000651,-0.556985,0.556985,0.000113,-0.029631,-0.095221
3.455136,1.511213,4.768824,-0.001957,0.063185,-0.009164,7.2e-05,0.191076,-0.137675,0.000164,-0.566144,0.566144,0.001915,-0.137661,0.191078
3.569607,1.62555,4.774267,-0.000908,0.085058,-0.024924,9e-05,-0.198266,0.225686,-0.000931,-0.57216,0.57216,-0.005872,0.225668,-0.198225
3.701329,1.756833,4.784503,0.002375,0.058942,0.004804,-3.2e-05,-0.019459,-0.225301,-1.9e-05,-0.582614,0.582614,7.4e-05,-0.2253,-0.019466
3.830385,1.885754,4.790381,0.001755,0.05643,-0.024273,-3.5e-05,-0.022977,0.439658,0.001474,-0.587969,0.587969,0.000916,0.439659,-0.022955
3.956843,2.011952,4.797872,0.004824,0.053525,0.031326,0.000152,0.030681,-0.421398,-0.002365,-0.595296,0.595296,-0.003326,-0.421393,0.03073
4.082795,2.13759,4.805825,0.00088,0.057389,-0.02175,-0.000146,-0.122077,0.28742,0.001363,-0.602453,0.602453,-0.001292,0.287438,-0.122006
4.212554,2.266994,4.815008,0.003701,0.041549,0.015545,3.1e-05,-0.005257,-0.23584,-0.000824,-0.610102,0.610102,-0.000743,-0.235841,-0.005249
4.34579,2.400075,4.821067,0.00163,0.040848,-0.015877,-7.9e-05,0.050168,0.235161,0.001782,-0.61356,0.61356,0.002578,0.235157,0.05018
4.482248,2.53634,4.827998,0.003796,0.047694,0.016213,0.000164,0.040557,-0.235339,-0.00139,-0.616845,0.616845,-0.002048,-0.235332,0.04059
4.604027,2.657822,4.836265,0.001823,0.052633,-0.012447,-5e-06,0.119017,0.238257,-0.00114,-0.62093,0.62093,0.000341,0.238257,0.11901
4.729286,2.782892,4.84296,0.003382,0.067541,0.017397,-0.000148,0.013348,-0.305516,0.001913,-0.617986,0.617986,0.001681,-0.305518,0.0133
4.854141,2.907569,4.849268,0.00121,0.069207,-0.020748,9.1e-05,-0.064606,0.422213,-0.00034,-0.617637,0.617637,-0.001681,0.422207,-0.064631
4.972368,3.025555,4.856412,0.003663,0.061569,0.029169,5.1e-05,-0.246168,-0.476508,-0.000489,-0.613188,0.613188,0.00669,-0.47652,-0.246039
5.080416,3.133329,4.86343,0.000512,0.034971,-0.022317,-2e-06,0.273057,0.225396,-2.7e-05,-0.6115,0.6115,0.006066,0.225395,0.27299
