,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,90.000000,6.124214,-0.000349,0.000000,17.441467,0.001544,-0.572885,27.116348
1,1.999777,90.000000,6.123667,-0.000197,0.000034,17.428898,-0.001147,-0.644890,27.116348
2,3.999553,90.000001,6.123469,0.000003,0.000009,17.414746,-0.000705,-0.715900,27.116348
3,5.999330,90.000001,6.123705,0.000243,-0.000007,17.399034,0.000028,-0.786018,27.116348
4,7.999106,90.000001,6.124453,0.000520,-0.000006,17.381781,0.000189,-0.855348,27.116348
5,9.998883,90.000000,6.125781,0.000829,-0.000002,17.363004,0.000104,-0.923994,27.116348
6,11.998659,90.000000,6.127746,0.001165,0.000000,17.342718,0.000024,-0.992062,27.116348
7,13.998436,90.000000,6.130400,0.001524,0.000001,17.320936,-0.000010,-1.059664,27.116348
8,15.998212,90.000001,6.133778,0.001897,0.000001,17.297669,-0.000016,-1.126911,27.116348
9,17.997989,90.000001,6.137902,0.002276,0.000000,17.272924,-0.000011,-1.193913,27.116348
10,19.997765,90.000001,6.142770,0.002649,0.000000,17.246708,-0.000005,-1.260775,27.116348
11,21.997542,90.000001,6.148363,0.003007,-0.000000,17.219025,-0.000001,-1.327608,27.116348
12,23.997319,90.000001,6.154637,0.003338,-0.000000,17.189877,0.000000,-1.394514,27.116348
13,25.997095,90.000001,6.161527,0.003630,-0.000000,17.159262,0.000001,-1.461585,27.116348
14,27.996872,90.000001,6.168952,0.003878,-0.000000,17.127180,0.000001,-1.528910,27.116348
15,29.996648,90.000001,6.176815,0.004076,-0.000000,17.093625,0.000000,-1.596577,27.116348
16,31.996425,90.000001,6.185018,0.004223,-0.000000,17.058589,0.000000,-1.664683,27.116348
17,33.996201,90.000001,6.193460,0.004318,-0.000000,17.022065,-0.000000,-1.733317,27.116348
18,35.995978,90.000001,6.202040,0.004364,-0.000000,16.984040,-0.000000,-1.802576,27.116348
19,37.995754,90.000001,6.210661,0.004362,-0.000000,16.944501,0.000000,-1.872561,27.116348
20,39.995531,90.000001,6.219232,0.004314,-0.000000,16.903432,0.000000,-1.943363,27.116348
21,41.995307,90.000001,6.227662,0.004222,-0.000000,16.860816,0.000000,-2.015086,27.116348
22,43.995084,90.000001,6.235868,0.004088,-0.000000,16.816632,0.000000,-2.087814,27.116348
23,45.994860,90.000001,6.243770,0.003915,-0.000000,16.770858,-0.000000,-2.161637,27.116348
24,47.994637,90.000001,6.251297,0.003709,-0.000000,16.723470,-0.000000,-2.236650,27.116348
25,49.994414,90.000001,6.258387,0.003474,-0.000000,16.674440,-0.000000,-2.312933,27.116348
26,51.994190,90.000001,6.264989,0.003216,-0.000000,16.623741,-0.000000,-2.390588,27.116348
27,53.993967,90.000001,6.271066,0.002942,-0.000000,16.571341,0.000001,-2.469716,27.116348
28,55.993743,90.000001,6.276589,0.002656,-0.000000,16.517208,0.000001,-2.549985,27.116348
29,57.993520,90.000001,6.281539,0.002361,0.000000,16.461314,-0.000000,-2.629774,27.116348
30,59.993296,90.000001,6.285901,0.002060,0.000000,16.403672,-0.000000,-2.708760,27.116348
31,61.993073,90.000001,6.289661,0.001751,0.000000,16.344297,-0.000000,-2.787031,27.116348
32,63.992849,90.000001,6.292805,0.001436,0.000000,16.283205,0.000000,-2.864664,27.116348
33,65.992626,90.000001,6.295324,0.001117,0.000000,16.220410,0.000000,-2.941751,27.116348
34,67.992402,90.000001,6.297211,0.000796,0.000000,16.155922,0.000000,-3.018359,27.116348
35,69.992179,90.000001,6.298469,0.000480,0.000000,16.089751,0.000000,-3.094560,27.116348
36,71.991956,90.000001,6.299113,0.000176,0.000000,16.021904,-0.000000,-3.170452,27.116348
37,73.991732,90.000001,6.299175,-0.000110,0.000000,15.952385,-0.000000,-3.246138,27.116348
