,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,2.766407,-0.025667,0.456549,0.887355,-8.057821,0.650310,1.343681,6.975405
1,0.198917,2.835884,0.050507,0.266178,0.936889,-7.955473,0.375354,1.860443,6.975405
2,0.397833,2.902532,0.083402,0.063511,0.963220,-7.824960,0.165411,2.280365,6.975405
3,0.596750,2.968195,0.077349,-0.119416,0.974431,-7.670406,0.049816,2.614043,6.975405
4,0.795667,3.034649,0.037215,-0.268749,0.977823,-7.492443,0.036671,2.969100,6.975405
5,0.994584,3.101672,-0.029639,-0.369546,0.980333,-7.289195,0.118385,3.519588,6.975405
6,1.193500,3.166399,-0.108447,-0.402364,0.988119,-7.057731,0.293526,4.477939,6.975405
7,1.392417,3.224647,-0.178619,-0.352876,1.005273,-6.796033,0.572985,5.995566,6.975405
8,1.591334,3.274289,-0.224619,-0.220114,1.033180,-6.504019,0.943274,7.911132,6.975405
9,1.790250,3.317053,-0.241387,-0.017044,1.071512,-6.182534,1.320263,9.082879,6.975405
10,1.989167,3.359349,-0.228608,0.212995,1.122417,-5.832324,1.850621,8.555518,6.975405
11,2.188084,3.412186,-0.181279,0.390467,1.206393,-5.444101,0.560899,7.788572,6.975405
12,2.387000,3.480946,-0.099164,0.464010,1.237949,-5.005912,-0.477390,7.754931,6.975405
13,2.585917,3.556601,-0.001691,0.455121,1.208423,-4.526265,-1.460624,8.212818,6.975405
14,2.784834,3.627937,0.090798,0.408367,1.118882,-4.022793,-2.423069,8.752797,6.975405
15,2.983751,3.688937,0.169213,0.342312,0.977894,-3.513508,-3.337590,9.212214,6.975405
16,3.182667,3.737105,0.229431,0.262385,0.796712,-3.013419,-4.055103,9.227195,6.975405
17,3.381584,3.772998,0.272703,0.188727,0.586219,-2.534453,-1.637182,6.914211,6.975405
18,3.580501,3.801123,0.304070,0.136984,0.501558,-2.176906,-2.454464,6.423595,6.975405
19,3.779417,3.823633,0.326822,0.095526,0.375581,-1.847213,-3.186421,6.009510,6.975405
20,3.978334,3.838368,0.340587,0.046863,0.217156,-1.548426,-3.758525,5.472351,6.975405
21,4.177251,3.844480,0.344248,-0.007589,0.034794,-1.282910,-4.013643,4.636712,6.975405
22,4.376167,3.841283,0.338484,-0.048059,-0.163932,-1.053335,-4.044150,3.731890,6.975405
23,4.575084,3.827504,0.326891,-0.066892,-0.371926,-0.861401,-4.032955,2.945454,6.975405
24,4.774001,3.802722,0.312338,-0.081037,-0.581560,-0.708295,-3.903702,2.182404,6.975405
25,4.972918,3.767118,0.294691,-0.098019,-0.784979,-0.594571,-3.549065,1.378371,6.975405
26,5.171834,3.720222,0.273994,-0.107121,-0.974198,-0.521083,-3.035609,0.579329,6.975405
27,5.370751,3.662196,0.252427,-0.105016,-1.140767,-0.489295,-2.421861,-0.203968,6.975405
28,5.569668,3.594821,0.231548,-0.102892,-1.275812,-0.500668,-1.668070,-0.986081,6.975405
29,5.768584,3.519927,0.210675,-0.104966,-1.370239,-0.556488,-0.753680,-1.748601,6.975405
30,5.967501,3.438759,0.189613,-0.100764,-1.414179,-0.658435,0.294333,-2.490065,6.975405
31,6.166418,3.353927,0.170458,-0.084764,-1.396412,-0.808749,1.487265,-3.261897,6.975405
32,6.365334,3.270820,0.154524,-0.075674,-1.304898,-1.009458,2.867531,-4.080948,6.975405
33,6.564251,3.195641,0.137957,-0.096473,-1.127656,-1.261702,4.390049,-4.844908,6.975405
34,6.763168,3.133431,0.114926,-0.135818,-0.851703,-1.566247,6.038188,-5.529885,6.975405
35,6.962085,3.090971,0.083865,-0.173392,-0.461118,-1.923952,0.006568,-9.517852,6.975405
36,7.161001,3.060600,0.044324,-0.224668,-0.460685,-2.551128,0.322909,-9.366847,6.975405
37,7.359918,3.030210,-0.009134,-0.305196,-0.438867,-3.184023,0.820748,-8.696003,6.975405
38,7.558835,3.001277,-0.082855,-0.403275,-0.380935,-3.797821,1.450785,-7.746507,6.975405
39,7.757751,2.977317,-0.177593,-0.488631,-0.274938,-4.363798,2.362284,-7.411332,6.975405
40,7.956668,2.964322,-0.271050,-0.478025,-0.119058,-4.852847,1.604162,-12.918556,6.975405
41,8.155585,2.960690,-0.321227,-0.280243,-0.050256,-5.406926,3.235954,-21.575722,6.975405
42,8.354501,2.960397,-0.329829,0.072874,0.025512,-5.912104,3.603990,-21.717529,6.975405
43,8.553418,2.961807,-0.312271,0.452060,0.103916,-6.384567,1.908536,-10.367690,6.975405
44,8.752335,2.967472,-0.244013,0.723292,0.179997,-6.797858,0.962642,-4.755116,6.975405
45,8.951252,2.983273,-0.090704,0.792319,0.250658,-7.146900,0.528278,-2.922291,6.975405
46,9.150168,3.007983,0.092878,0.683737,0.298223,-7.410018,0.154808,-2.382342,6.975405
47,9.349085,3.032284,0.227830,0.493255,0.310582,-7.600205,-0.305341,-2.162806,6.975405
48,9.548002,3.052400,0.305317,0.284633,0.290132,-7.745057,-0.754537,-1.869875,6.975405
49,9.746918,3.069006,0.340347,0.089309,0.243142,-7.861506,-1.058093,-1.528855,6.975405
50,9.945835,3.082352,0.340381,-0.083693,0.175710,-7.958939,-1.176735,-1.227491,6.975405
51,10.144752,3.091617,0.306505,-0.232025,0.095232,-8.042889,-1.123193,-0.935413,6.975405
