,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,2.343511,0.055209,0.318155,0.186171,-4.457951,5.092070,-2.450932,8.986954
1,0.099896,2.356729,0.085830,0.250870,0.413037,-4.566335,0.868402,0.909918,8.986954
2,0.199793,2.375155,0.107890,0.171275,0.450208,-4.525661,1.777107,4.126825,8.986954
3,0.299689,2.395388,0.121128,0.089418,0.524829,-4.350949,3.576885,9.325096,8.986954
4,0.399586,2.419818,0.126240,0.012847,0.671928,-3.965826,3.058640,8.346618,8.986954
5,0.499482,2.449563,0.124449,-0.054139,0.796463,-3.624533,1.546469,2.085720,8.986954
6,0.599379,2.482997,0.115744,-0.112306,0.859110,-3.538836,-0.650873,-2.969004,8.986954
7,0.699275,2.517153,0.101390,-0.163853,0.832595,-3.658420,-0.789925,-5.670325,8.986954
8,0.799172,2.550168,0.082266,-0.209406,0.800352,-3.888144,2.389572,-6.631315,8.986954
9,0.899068,2.584485,0.058435,-0.248274,0.897099,-4.157154,0.480246,-6.898968,8.986954
10,0.998965,2.620923,0.030633,-0.278858,0.916452,-4.435448,0.916395,-6.491131,8.986954
11,1.098861,2.657903,0.000630,-0.298802,0.952899,-4.693343,2.432978,-6.023333,8.986954
12,1.198758,2.696383,-0.030050,-0.305714,1.046930,-4.926102,3.920954,-5.819608,8.986954
13,1.298654,2.737700,-0.060313,-0.298052,1.192168,-5.141685,5.421389,-5.891547,8.986954
14,1.398551,2.782612,-0.087778,-0.274959,1.381887,-5.347916,7.339306,-6.299500,8.986954
15,1.498447,2.831639,-0.111343,-0.236061,1.621936,-5.554026,7.781506,-7.499774,8.986954
16,1.598344,2.884420,-0.129612,-0.181419,1.858277,-5.781844,4.443758,-10.929822,8.986954
17,1.698240,2.938622,-0.141537,-0.112339,1.983812,-6.090417,0.066236,-12.709246,8.986954
18,1.798137,2.991407,-0.146831,-0.032299,1.985620,-6.428420,-3.681834,-9.827530,8.986954
19,1.898033,3.041307,-0.145692,0.052805,1.890806,-6.681215,-6.408885,-4.577433,8.986954
20,1.997930,3.087965,-0.137860,0.134824,1.725367,-6.798968,-8.451802,0.176478,8.986954
21,2.097826,3.131121,-0.122762,0.203683,1.499054,-6.793813,-8.803660,1.342198,8.986954
22,2.197723,3.170083,-0.104366,0.249664,1.249389,-6.755357,-10.403105,3.990705,8.986954
