,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,2.133346,0.059592,0.299014,-0.410920,-3.460775,6.110953,0.821350,0.000000
1,0.099896,2.123579,0.088010,0.238460,-0.117054,-3.417199,5.416593,3.679346,0.000000
2,0.199793,2.124653,0.108909,0.166557,0.138440,-3.237083,4.355151,5.645764,0.000000
3,0.299689,2.135069,0.122061,0.094032,0.338944,-2.967570,2.029427,6.405370,0.000000
4,0.399586,2.151606,0.128028,0.027332,0.431587,-2.668756,0.903119,3.069435,0.000000
5,0.499482,2.171088,0.127798,-0.031738,0.470853,-2.525536,-0.454726,-0.781786,0.000000
6,0.599379,2.191108,0.121690,-0.084788,0.448467,-2.558733,-0.903727,-3.552135,0.000000
7,0.699275,2.209743,0.110540,-0.133298,0.405561,-2.719113,-0.240689,-5.095346,0.000000
8,0.799172,2.226799,0.094866,-0.177311,0.391635,-2.952159,1.258899,-5.843307,0.000000
9,0.899068,2.245841,0.074534,-0.216075,0.446354,-3.221395,2.756699,-6.092110,0.000000
10,0.998965,2.269382,0.050106,-0.248083,0.569905,-3.502524,3.613972,-5.663536,0.000000
11,1.098861,2.299402,0.023056,-0.270763,0.732236,-3.760603,4.579134,-5.258570,0.000000
12,1.198758,2.336851,-0.005298,-0.281198,0.932766,-3.994165,4.273669,-5.149610,0.000000
13,1.298654,2.381004,-0.033653,-0.277347,1.112467,-4.213567,4.002268,-4.987757,0.000000
14,1.398551,2.429799,-0.059934,-0.257924,1.272322,-4.414629,3.383162,-5.787001,0.000000
15,1.498447,2.481153,-0.082710,-0.222384,1.399869,-4.634288,2.602209,-6.441350,0.000000
16,1.598344,2.533095,-0.100539,-0.170504,1.491753,-4.863083,1.604985,-6.997141,0.000000
17,1.698240,2.584218,-0.112489,-0.104003,1.544068,-5.095888,0.952524,-7.122076,0.000000
18,1.798137,2.633531,-0.117743,-0.025841,1.572833,-5.320122,0.094498,-5.922233,0.000000
19,1.898033,2.681797,-0.116272,0.058091,1.574697,-5.500076,-0.948900,-3.135272,0.000000
20,1.997930,2.729643,-0.107644,0.139258,1.544984,-5.594153,-2.025236,-0.384393,0.000000
21,2.097826,2.777404,-0.091994,0.207227,1.480421,-5.604092,-2.203146,0.825098,0.000000
22,2.197723,2.825053,-0.071532,0.252307,1.407068,-5.574387,-2.517197,2.727595,0.000000
23,2.297619,2.871725,-0.046129,0.271476,1.320386,-5.478708,-2.945353,4.898412,0.000000
24,2.397516,2.915952,-0.018511,0.267883,1.217226,-5.305694,-3.456982,7.159905,0.000000
25,2.497412,2.956446,0.007448,0.247030,1.096147,-5.053509,-4.189245,9.456670,0.000000
26,2.597309,2.991913,0.031536,0.215918,0.951068,-4.725073,-4.847891,13.059294,0.000000
27,2.697205,3.021538,0.052184,0.180734,0.785807,-4.279464,-4.233125,15.405152,0.000000
28,2.797102,3.045532,0.068860,0.144506,0.643861,-3.762794,-3.552450,18.187310,0.000000
29,2.896998,3.064863,0.081513,0.107698,0.526752,-3.163199,-4.029597,19.404676,0.000000
30,2.996895,3.079861,0.090311,0.070216,0.396108,-2.533999,-7.445129,21.000380,0.000000
31,3.096791,3.088721,0.095280,0.032995,0.157867,-1.862473,-2.736227,20.140340,0.000000
32,3.196688,3.092278,0.096751,-0.001510,0.070775,-1.223569,-2.216965,16.193635,0.000000
33,3.296584,3.093358,0.095099,-0.030397,0.000299,-0.710411,-0.178464,11.730461,0.000000
34,3.396481,3.093254,0.091422,-0.051239,-0.005521,-0.337011,-0.538129,8.116388,0.000000
35,3.496377,3.092826,0.085896,-0.063731,-0.022820,-0.077096,-6.071486,6.826870,0.000000
36,3.596274,3.088973,0.079419,-0.069755,-0.218537,0.142642,-3.914473,7.088316,0.000000
37,3.696170,3.079927,0.072378,-0.072451,-0.344928,0.371801,-2.681001,7.417387,0.000000
38,3.796067,3.067409,0.064708,-0.075049,-0.431563,0.612413,-5.605849,6.299041,0.000000
39,3.895963,3.050500,0.057021,-0.079151,-0.613314,0.817567,-8.721301,5.816748,0.000000
40,3.995860,3.025867,0.049031,-0.084864,-0.897880,1.008083,-12.574890,5.108337,0.000000
41,4.095756,2.989423,0.040011,-0.091153,-1.312258,1.177095,-5.714599,3.615151,0.000000
42,4.195653,2.942318,0.030524,-0.095719,-1.504716,1.298493,-1.846665,2.331923,0.000000
43,4.295549,2.890194,0.021321,-0.094653,-1.567401,1.378176,2.073610,2.140554,0.000000
44,4.395446,2.837422,0.012592,-0.085578,-1.493703,1.452842,4.758479,1.465335,0.000000
45,4.495342,2.788219,0.004961,-0.069380,-1.323383,1.504205,7.472711,0.217334,0.000000
46,4.595239,2.746321,-0.001022,-0.049771,-1.052490,1.509512,10.670947,-1.763378,0.000000
47,4.695135,2.716204,-0.005208,-0.030725,-0.660366,1.439629,7.431521,-5.221666,0.000000
48,4.795032,2.698210,-0.007622,-0.015465,-0.389684,1.235670,5.290275,-8.960313,0.000000
49,4.894928,2.688411,-0.008772,-0.005901,-0.202331,0.884378,1.501935,-12.692846,0.000000
50,4.994825,2.682081,-0.009248,-0.002560,-0.160444,0.385671,-0.546727,-15.621314,0.000000
51,5.094721,2.675525,-0.009410,-0.005402,-0.197080,-0.228470,-4.452258,-16.415157,0.000000
52,5.194618,2.664224,-0.010186,-0.014328,-0.380022,-0.874135,-8.941752,-15.369136,0.000000
53,5.294514,2.642333,-0.012279,-0.029761,-0.738180,-1.478697,-12.413828,-11.065393,0.000000
54,5.394411,2.603598,-0.016269,-0.051943,-1.233361,-1.913909,-14.738654,-3.266066,0.000000
55,5.494307,2.543548,-0.022941,-0.079195,-1.822391,-2.040503,-16.260363,6.208723,0.000000
56,5.594204,2.457677,-0.032364,-0.106846,-2.475590,-1.788149,-17.304642,18.266017,0.000000
57,5.694100,2.343350,-0.044022,-0.127004,-3.176467,-1.047466,-16.445193,25.673610,0.000000
58,5.793997,2.199307,-0.057070,-0.130790,-3.849137,0.001325,-14.049640,28.605213,0.000000
59,5.893893,2.027080,-0.069334,-0.110828,-4.430399,1.180147,-12.229314,32.858998,0.000000
60,5.993790,1.829544,-0.077697,-0.059915,-4.948455,2.551327,-6.753835,33.062825,0.000000
61,6.093686,1.610708,-0.079795,0.027840,-5.230226,3.943913,-1.142935,30.203438,0.000000
62,6.193583,1.379017,-0.071056,0.155144,-5.288788,5.259251,5.783550,23.523783,0.000000
63,6.293479,1.134602,-0.045458,0.310507,-5.126845,6.320270,19.068041,0.487013,0.000000
64,6.393376,0.273989,0.145860,-1.536481,-4.769571,1.772159,44.296681,-11.328741,0.000000
65,6.493272,0.226452,0.125144,0.771835,2.102209,3.685670,52.132281,-17.997752,0.000000
66,6.593169,0.315609,0.051818,1.239897,4.117449,-2.259612,59.131375,-38.931523,0.000000
