,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,4.449971,0.355259,-0.064131,2.227387,-1.754119,-4.129909,8.985359,15.435434
1,0.199809,4.545441,0.341055,-0.077198,2.042716,-1.352335,-4.506906,8.676904,15.435434
2,0.399618,4.630298,0.324393,-0.089019,1.846025,-0.973656,-4.755194,8.306228,15.435434
3,0.599427,4.705123,0.305662,-0.097574,1.642007,-0.617284,-4.882872,7.891752,15.435434
4,0.799236,4.770368,0.285635,-0.101105,1.434931,-0.282605,-4.909795,7.465317,15.435434
5,0.999045,4.826293,0.265368,-0.099714,1.228765,0.030870,-4.849895,7.043706,15.435434
6,1.198854,4.873167,0.245725,-0.095109,1.027229,0.323568,-4.703608,6.622006,15.435434
7,1.398663,4.911430,0.227221,-0.088973,0.833813,0.595870,-4.473370,6.198567,15.435434
8,1.598473,4.941655,0.209998,-0.083313,0.651789,0.848094,-4.153484,5.760642,15.435434
9,1.798282,4.964570,0.193843,-0.078580,0.484233,1.080484,-3.742674,5.301625,15.435434
10,1.998091,4.980984,0.178658,-0.073692,0.334085,1.293174,-3.251013,4.830415,15.435434
11,2.197900,4.991738,0.164491,-0.068668,0.204177,1.486193,-2.682811,4.347889,15.435434
12,2.397709,4.997745,0.151338,-0.063451,0.097250,1.659485,-2.040618,3.852052,15.435434
13,2.597518,5.000000,0.139327,-0.056947,0.015975,1.812906,-2.004418,3.346496,15.435434
14,2.797327,4.999046,0.128783,-0.048717,-0.063878,1.946226,-2.575796,2.831300,15.435434
15,2.997136,4.994450,0.120059,-0.038438,-0.166604,2.059142,-3.080984,2.306188,15.435434
16,3.196945,4.985335,0.113587,-0.026308,-0.289691,2.151275,-3.519175,1.769649,15.435434
17,3.396754,4.970908,0.109679,-0.012538,-0.430655,2.222160,-3.884998,1.218742,15.435434
18,3.596563,4.950425,0.108821,0.004764,-0.587045,2.271220,-4.179156,0.654439,15.435434
19,3.796372,4.923199,0.111854,0.026046,-0.756428,2.297745,-4.406045,0.077075,15.435434
20,3.996181,4.888634,0.119352,0.048796,-0.936359,2.300892,-4.565436,-0.514901,15.435434
21,4.195990,4.846204,0.131338,0.070536,-1.124363,2.279689,-4.659082,-1.123411,15.435434
22,4.395799,4.795473,0.147371,0.088949,-1.317920,2.233018,-4.682672,-1.749323,15.435434
23,4.595608,4.736032,0.166670,0.103931,-1.514462,2.159595,-4.621711,-2.387404,15.435434
24,4.795418,4.667322,0.188910,0.118915,-1.711348,2.057891,-4.487310,-3.041301,15.435434
25,4.995227,4.588936,0.214220,0.133639,-1.905833,1.926077,-4.321854,-3.743654,15.435434
26,5.195036,4.501354,0.241580,0.139780,-2.095050,1.762176,-4.129117,-4.514982,15.435434
27,5.394845,4.405545,0.268202,0.131259,-2.276059,1.564251,-3.869643,-5.330215,15.435434
28,5.594654,4.301928,0.291361,0.109788,-2.445889,1.330320,-3.510367,-6.145617,15.435434
29,5.794463,4.190119,0.309315,0.080589,-2.601413,1.058043,-3.023148,-6.890095,15.435434
30,5.994272,4.068529,0.321679,0.051972,-2.739072,0.744302,-2.401561,-7.490319,15.435434
31,6.194081,3.934221,0.329726,0.034762,-2.854403,0.384593,-1.697972,-8.024461,15.435434
