x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
-0.713156,8.375356,0.5000,0.5000,0.0000
-0.724149,8.486677,0.5000,0.5000,0.0000
-0.729645,8.591188,0.5000,0.5000,0.0000
-0.730663,8.699527,0.5000,0.5000,0.0000
-0.732396,8.803650,0.5000,0.5000,0.0000
-0.736433,8.914173,0.5000,0.5000,0.0000
-0.728237,9.016483,0.5000,0.5000,0.0000
-0.727343,9.119207,0.5000,0.5000,0.0000
-0.721418,9.226970,0.5000,0.5000,0.0000
-0.713768,9.330378,0.5000,0.5000,0.0000
-0.699582,9.438790,0.5000,0.5000,0.0000
-0.689090,9.542948,0.5000,0.5000,0.0000
-0.662694,9.640034,0.5000,0.5000,0.0000
-0.622352,9.754100,0.5000,0.5000,0.0000
-0.571264,9.852487,0.5000,0.5000,0.0000
-0.509782,9.943246,0.5000,0.5000,0.0000
-0.443445,10.024575,0.5000,0.5000,0.0000
-0.369626,10.094569,0.5000,0.5000,0.0000
-0.279166,10.153025,0.5000,0.5000,0.0000
-0.176741,10.200366,0.5000,0.5000,0.0000
-0.079549,10.225000,0.5000,0.5000,0.0000
0.016524,10.195989,0.5000,0.5000,0.0000
0.117663,10.221428,0.5000,0.5000,0.0000
0.218094,10.202706,0.5000,0.5000,0.0000
0.318024,10.196914,0.5000,0.5000,0.0000
0.421080,10.191729,0.5000,0.5000,0.0000
0.530249,10.187304,0.5000,0.5000,0.0000
0.637917,10.175705,0.5000,0.5000,0.0000
0.738216,10.162233,0.5000,0.5000,0.0000
0.842951,10.148275,0.5000,0.5000,0.0000
0.953318,10.134187,0.5000,0.5000,0.0000
1.053979,10.132501,0.5000,0.5000,0.0000
1.162782,10.132754,0.5000,0.5000,0.0000
1.275123,10.133417,0.5000,0.5000,0.0000
1.391713,10.125142,0.5000,0.5000,0.0000
1.498088,10.115915,0.5000,0.5000,0.0000
1.603073,10.117461,0.5000,0.5000,0.0000
1.720181,10.112136,0.5000,0.5000,0.0000
1.821259,10.105008,0.5000,0.5000,0.0000
1.924643,10.113910,0.5000,0.5000,0.0000
2.025675,10.128527,0.5000,0.5000,0.0000
2.135708,10.142557,0.5000,0.5000,0.0000
2.243164,10.144934,0.5000,0.5000,0.0000
2.345193,10.144281,0.5000,0.5000,0.0000
2.448578,10.147724,0.5000,0.5000,0.0000
2.549032,10.151122,0.5000,0.5000,0.0000
2.666461,10.159702,0.5000,0.5000,0.0000
2.776355,10.174372,0.5000,0.5000,0.0000
