s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,294.347207,693.680852,-0.000412,-2.444866,-0.000020,-0.157107,0.002096,-0.000051,0.000001,-7.719189,7.764967,0.000001,-0.000379,0.002062
1.999777,292.816166,692.394378,-0.000273,-2.440702,-0.000118,-0.157104,0.002069,-0.000047,0.000002,-7.747459,7.793187,0.000002,-0.000370,0.002036
3.999553,291.290463,691.101579,0.000048,-2.436590,-0.000198,-0.157101,0.002043,-0.000032,0.000001,-7.761987,7.817857,0.000002,-0.000352,0.002013
5.999330,289.770055,689.802556,0.000496,-2.432528,-0.000244,-0.157099,0.002019,-0.000013,0.000001,-7.770322,7.836106,0.000002,-0.000329,0.001992
7.999106,288.254906,688.497403,0.000998,-2.428512,-0.000253,-0.157097,0.001997,0.000004,0.000001,-7.771964,7.849498,0.000001,-0.000309,0.001973
9.998883,286.744982,687.186208,0.001488,-2.424538,-0.000233,-0.157095,0.001978,0.000017,0.000001,-7.768706,7.858411,0.000001,-0.000293,0.001956
11.998659,285.240257,685.869051,0.001916,-2.420599,-0.000193,-0.157094,0.001962,0.000023,0.000001,-7.761627,7.863586,0.000001,-0.000284,0.001941
13.998436,283.740712,684.546000,0.002256,-2.416689,-0.000147,-0.157093,0.001950,0.000023,0.000000,-7.753525,7.867488,0.000001,-0.000282,0.001929
15.998212,282.246339,683.217110,0.002507,-2.412797,-0.000106,-0.157093,0.001942,0.000018,0.000000,-7.742463,7.868226,0.000000,-0.000286,0.001921
17.997989,280.757140,681.882422,0.002687,-2.408915,-0.000076,-0.157093,0.001940,0.000012,-0.000000,-7.729961,7.862055,-0.000000,-0.000292,0.001918
19.997765,279.273133,680.541966,0.002818,-2.405033,-0.000057,-0.157094,0.001942,0.000007,-0.000001,-7.719457,7.852050,-0.000001,-0.000297,0.001920
21.997542,277.794346,679.195752,0.002919,-2.401141,-0.000044,-0.157096,0.001950,0.000006,-0.000001,-7.718341,7.840987,-0.000001,-0.000299,0.001927
23.997319,276.320823,677.843780,0.002991,-2.397229,-0.000028,-0.157098,0.001962,0.000010,-0.000001,-7.728967,7.829747,-0.000001,-0.000297,0.001940
25.997095,274.852618,676.486033,0.003023,-2.393289,-0.000001,-0.157100,0.001979,0.000017,-0.000001,-7.746452,7.817224,-0.000001,-0.000293,0.001957
