s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-0.755365,8.382013,-0.201754,1.582527,-0.003336,0.000099,-0.306286,0.012614,-0.002424,-0.532783,0.453408,-0.003445,0.012584,-0.306286
0.198917,-0.753862,8.580917,-0.201440,1.555135,0.000669,-0.000240,0.030875,0.027652,-0.000985,-0.526150,0.475435,-0.001006,0.027645,0.030881
0.397833,-0.751595,8.779818,-0.202148,1.564862,0.006595,-0.000398,0.066923,0.031925,-0.000606,-0.517877,0.481177,-0.001047,0.031899,0.066934
0.596750,-0.751123,8.978725,-0.204085,1.568879,0.012845,-0.000336,-0.026535,0.030914,0.001234,-0.518596,0.481042,0.001575,0.030923,-0.026523
0.795667,-0.749065,9.177601,-0.207249,1.546227,0.018956,0.000439,-0.201217,0.030532,0.006560,-0.523342,0.476368,0.010374,0.030443,-0.201194
0.994584,-0.738608,9.376158,-0.211679,1.482099,0.025874,0.001186,-0.443560,0.039027,0.000943,-0.528923,0.470415,0.012419,0.038501,-0.443458
1.193500,-0.710357,9.572849,-0.217698,1.364325,0.035161,0.001347,-0.740593,0.054348,0.000682,-0.529544,0.470094,0.026716,0.053351,-0.740208
1.392417,-0.653636,9.763070,-0.225703,1.188003,0.045031,0.001261,-1.032227,0.044894,-0.001552,-0.532759,0.465231,0.044915,0.043594,-1.031236
1.591334,-0.559538,9.937560,-0.235109,0.955310,0.047392,0.000392,-1.307379,-0.021157,-0.007187,-0.538342,0.461194,0.054749,-0.021669,-1.305903
1.790250,-0.424123,10.082141,-0.243218,0.673823,0.029654,-0.001361,-1.522815,-0.157191,-0.010432,-0.528973,0.471358,0.034719,-0.155119,-1.522358
1.989167,-0.252517,10.181207,-0.244789,0.374498,-0.019980,-0.005508,-1.486735,-0.341855,-0.031264,-0.506660,0.492344,-0.060968,-0.333662,-1.488299
2.188084,-0.060261,10.228445,-0.232961,0.121364,-0.104588,-0.006725,-1.058387,-0.508832,0.019029,-0.508827,0.471710,-0.091464,-0.501742,-1.056002
2.387000,0.135797,10.234915,-0.201875,-0.039160,-0.211203,0.003671,-0.555597,-0.563120,0.085491,-0.528466,0.476794,-0.030983,-0.565110,-0.541181
2.585917,0.327068,10.218911,-0.150153,-0.117386,-0.311051,0.017933,-0.230928,-0.440799,0.057911,-0.517701,0.475378,-0.012767,-0.444670,-0.211906
2.784834,0.512426,10.193814,-0.082587,-0.146154,-0.373924,0.014446,-0.058312,-0.191362,-0.092967,-0.497682,0.502246,-0.114267,-0.192126,-0.051513
2.983751,0.694821,10.167000,-0.007889,-0.139794,-0.388025,0.001855,0.122259,0.049583,-0.033628,-0.499873,0.500048,0.012630,0.049793,0.113078
3.182667,0.878191,10.144119,0.065694,-0.105054,-0.365667,0.006691,0.227028,0.175222,0.082251,-0.506358,0.493387,0.163430,0.176637,0.210841
3.381584,1.064482,10.128283,0.133551,-0.067012,-0.330524,0.015707,0.155468,0.178115,0.008393,-0.495643,0.500571,0.058848,0.180403,0.144238
3.580501,1.253310,10.117918,0.195199,-0.045993,-0.302009,0.006816,0.055858,0.108588,-0.097781,-0.480653,0.519063,-0.081167,0.108949,0.052588
3.779417,1.443562,10.110473,0.252776,-0.030930,-0.287762,-0.007133,0.095601,0.034657,-0.042474,-0.487728,0.511280,-0.015342,0.034002,0.091915
3.978334,1.634440,10.106936,0.308621,-0.003239,-0.281627,-0.008704,0.182815,0.027032,0.026684,-0.490973,0.508429,0.077492,0.025502,0.175842
4.177251,1.825813,10.109902,0.362751,0.034743,-0.266257,0.001248,0.199071,0.127503,0.073373,-0.504492,0.494248,0.125753,0.127743,0.191897
4.376167,2.018397,10.119578,0.411506,0.061249,-0.223093,0.006670,0.067433,0.306485,-0.018858,-0.489782,0.508303,-0.003939,0.306917,0.063716
4.575084,2.213331,10.132389,0.448741,0.067642,-0.149320,0.000714,-0.003154,0.435267,-0.041022,-0.486328,0.512987,-0.041491,0.435265,-0.003430
4.774001,2.410583,10.145955,0.470016,0.071025,-0.066222,-0.002698,0.037165,0.400238,0.006715,-0.499535,0.499394,0.009175,0.400137,0.038163
4.972918,2.608807,10.160828,0.476396,0.078921,-0.003624,-0.000953,0.042230,0.229148,0.010828,-0.506383,0.493503,0.010981,0.229108,0.042448
5.171834,2.807054,10.176861,0.473826,0.080060,0.023221,0.000266,-0.030783,0.040770,0.001426,-0.499677,0.500158,0.002140,0.040762,-0.030785
5.370751,3.005342,10.191927,0.469121,0.070444,0.020469,0.000256,-0.065900,-0.068444,-0.001524,-0.496483,0.502840,-0.000176,-0.068460,-0.065868
5.569668,3.203818,10.204849,0.466433,0.060712,0.006413,-0.000221,-0.031945,-0.072888,-0.003268,-0.506420,0.493017,-0.003063,-0.072881,-0.031961
5.768584,3.402405,10.216289,0.466108,0.054376,-0.000673,-0.000648,-0.031762,0.001648,-0.001024,-0.510671,0.489373,-0.001045,0.001668,-0.031761
5.967501,3.601083,10.225937,0.465466,0.039984,0.010856,-0.000640,-0.112940,0.114264,0.001097,-0.508107,0.490772,0.002323,0.114337,-0.112860
6.166418,3.799844,10.231219,0.460239,0.010952,0.045777,0.001683,-0.178966,0.236852,0.022266,-0.497018,0.503157,0.030455,0.236551,-0.179177
6.365334,3.998201,10.230507,0.445792,-0.014893,0.102985,0.004952,-0.080885,0.338347,0.010598,-0.495468,0.500796,0.018913,0.337944,-0.082131
6.564251,4.195126,10.226996,0.418263,-0.015655,0.177008,-0.001846,0.073218,0.405909,-0.078942,-0.520248,0.478939,-0.091834,0.405775,0.072823
6.763168,4.389250,10.225134,0.375172,-0.004696,0.260888,-0.010091,0.036971,0.437457,-0.003959,-0.508963,0.486616,-0.013495,0.437074,0.040132
6.962085,4.578952,10.224537,0.315543,-0.003713,0.348360,0.004312,-0.027084,0.442030,0.148775,-0.490212,0.508851,0.158020,0.441916,-0.027363
7.161001,4.762785,10.223989,0.239719,0.001209,0.432912,0.021234,0.076565,0.408098,0.021367,-0.509971,0.484745,-0.010754,0.409482,0.060821
7.359918,4.940170,10.225879,0.149816,0.022112,0.500777,0.029684,0.133608,0.274247,0.063593,-0.521733,0.480792,-0.000553,0.277605,0.109011
7.558835,5.112825,10.231588,0.051216,0.041736,0.527098,0.040893,0.063695,-0.009604,0.049104,-0.517783,0.472717,0.017064,-0.007346,0.055397
7.757751,5.285913,10.238198,-0.046552,0.024805,0.488316,0.016357,-0.233922,-0.380327,-0.295804,-0.555154,0.443060,-0.186062,-0.383655,-0.200334
7.956668,5.465589,10.233878,-0.131331,-0.096958,0.382727,-0.025630,-0.990336,-0.681316,-0.126354,-0.538746,0.450283,0.243488,-0.657549,-0.935844
8.155585,5.649388,10.191913,-0.192321,-0.377789,0.238032,-0.023851,-1.833278,-0.773516,0.144251,-0.508539,0.488781,0.576520,-0.730808,-1.799527
8.354501,5.812959,10.086289,-0.225132,-0.779894,0.098399,-0.002999,-2.209664,-0.630413,0.065395,-0.512691,0.486862,0.282473,-0.623815,-2.200856
8.553418,5.920289,9.920923,-0.234020,-1.205203,0.000050,0.001932,-2.066586,-0.358431,-0.015810,-0.516132,0.483618,-0.015707,-0.362423,-2.065889
8.752335,5.955122,9.726262,-0.228661,-1.565298,-0.045294,-0.000904,-1.553975,-0.097478,-0.012706,-0.515737,0.483522,-0.083068,-0.096074,-1.552469
8.951252,5.930124,9.529657,-0.218808,-1.806615,-0.048374,-0.001884,-0.872337,0.066508,0.002850,-0.516778,0.482748,-0.039332,0.068150,-0.871190
9.150168,5.871129,9.339968,-0.210847,-1.916952,-0.029967,-0.000709,-0.237048,0.118567,0.008966,-0.522171,0.477576,0.001863,0.118735,-0.236857
9.349085,5.801693,9.153607,-0.207066,-1.924874,-0.008884,0.000384,0.157397,0.093403,0.002023,-0.523223,0.476742,0.003422,0.093463,0.157355
9.548002,5.736185,8.965803,-0.206813,-1.885143,0.004659,0.000254,0.242075,0.042771,-0.003328,-0.518023,0.479517,-0.004456,0.042833,0.242061
