s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-0.754931,8.381966,-0.201732,1.580963,-0.003461,0.000071,-0.312466,0.012875,-0.002164,-0.540888,0.455100,-0.003245,0.012853,-0.312465
0.099896,-0.754748,8.481860,-0.201465,1.560565,-0.001733,-0.000118,-0.095907,0.021718,-0.001613,-0.529952,0.466870,-0.001779,0.021729,-0.095904
0.199793,-0.753437,8.581748,-0.201411,1.556676,0.000748,-0.000243,0.018034,0.027948,-0.000905,-0.524135,0.475141,-0.000919,0.027944,0.018040
0.299689,-0.752187,8.681637,-0.201631,1.560621,0.003704,-0.000312,0.060957,0.031228,-0.000474,-0.521462,0.478248,-0.000699,0.031209,0.060967
0.399586,-0.751463,8.781529,-0.202158,1.566354,0.006868,-0.000363,0.053820,0.032124,-0.000552,-0.519869,0.479716,-0.000922,0.032104,0.053831
0.499482,-0.751226,8.881421,-0.203004,1.569879,0.010057,-0.000405,0.016741,0.031725,-0.000278,-0.515002,0.484637,-0.000446,0.031718,0.016753
0.599379,-0.751129,8.981311,-0.204165,1.568865,0.013181,-0.000359,-0.037026,0.030811,0.001198,-0.518887,0.480296,0.001686,0.030824,-0.037012
0.699275,-0.750625,9.081195,-0.205634,1.561386,0.016217,-0.000104,-0.112724,0.029973,0.003909,-0.523650,0.476343,0.005737,0.029985,-0.112706
0.799172,-0.748961,9.181061,-0.207403,1.545247,0.019205,0.000404,-0.210383,0.029856,0.006250,-0.522998,0.476959,0.010290,0.029771,-0.210356
0.899068,-0.745172,9.280861,-0.209474,1.518562,0.022295,0.000944,-0.323873,0.032008,0.004581,-0.523995,0.474837,0.011801,0.031703,-0.323822
0.998965,-0.738132,9.380474,-0.211870,1.479787,0.025779,0.001213,-0.452430,0.037748,0.000798,-0.529482,0.469971,0.012460,0.037199,-0.452326
1.098861,-0.726573,9.479649,-0.214647,1.427320,0.029949,0.001240,-0.597990,0.045739,-0.000260,-0.530802,0.469287,0.017646,0.044997,-0.597778
1.198758,-0.709109,9.577935,-0.217877,1.360052,0.034837,0.001263,-0.748768,0.052126,0.000715,-0.528024,0.471211,0.026795,0.051181,-0.748379
1.298654,-0.684361,9.674616,-0.221616,1.277906,0.040043,0.001339,-0.895859,0.052085,0.000815,-0.531596,0.467158,0.036678,0.050886,-0.895210
1.398551,-0.651091,9.768673,-0.225857,1.181347,0.044702,0.001288,-1.037306,0.041202,-0.001838,-0.532421,0.465911,0.044516,0.039867,-1.036322
1.498447,-0.608289,9.858760,-0.230484,1.070883,0.047554,0.000918,-1.174271,0.015898,-0.005563,-0.535553,0.462749,0.050257,0.014821,-1.172957
1.598344,-0.555253,9.943206,-0.235242,0.946914,0.047029,0.000266,-1.307687,-0.026411,-0.007489,-0.537941,0.461950,0.053988,-0.026759,-1.306234
1.698240,-0.491684,10.020036,-0.239707,0.810224,0.041383,-0.000489,-1.428943,-0.086624,-0.007640,-0.533926,0.465951,0.051477,-0.085926,-1.427762
1.798137,-0.417856,10.087102,-0.243280,0.663257,0.028893,-0.001380,-1.513443,-0.163444,-0.010197,-0.526190,0.474206,0.033524,-0.161356,-1.513036
1.898033,-0.334798,10.142396,-0.245202,0.511133,0.008104,-0.002816,-1.532186,-0.252758,-0.018541,-0.518711,0.479729,-0.006124,-0.248443,-1.532841
1.997930,-0.244326,10.184521,-0.244593,0.361558,-0.021873,-0.005061,-1.462413,-0.347406,-0.026410,-0.515931,0.489822,-0.058395,-0.340003,-1.463802
2.097826,-0.148804,10.213180,-0.240526,0.224296,-0.061071,-0.007162,-1.285682,-0.437358,-0.015657,-0.487330,0.488961,-0.094126,-0.428156,-1.286385
2.197723,-0.050667,10.229465,-0.232132,0.108868,-0.108412,-0.006746,-1.025263,-0.510452,0.023981,-0.516647,0.467341,-0.086953,-0.503565,-1.022664
2.297619,0.048090,10.235596,-0.218725,0.019323,-0.161580,-0.002872,-0.767497,-0.554008,0.053593,-0.530948,0.472730,-0.069881,-0.551830,-0.759088
2.397516,0.146161,10.234117,-0.199930,-0.045733,-0.217061,0.003796,-0.534962,-0.556761,0.079890,-0.516022,0.481949,-0.035320,-0.558740,-0.520292
2.497412,0.242843,10.227405,-0.175785,-0.089903,-0.270494,0.012466,-0.349354,-0.513004,0.093700,-0.528924,0.470871,0.000350,-0.517161,-0.330230
2.597309,0.337893,10.217363,-0.146776,-0.118606,-0.317383,0.019441,-0.225292,-0.425748,0.045931,-0.514825,0.478488,-0.024379,-0.429828,-0.205723
2.697205,0.431399,10.205292,-0.113778,-0.136744,-0.353975,0.019833,-0.137860,-0.306841,-0.038068,-0.503725,0.493233,-0.085854,-0.309345,-0.123202
2.797102,0.523696,10.192077,-0.077926,-0.146297,-0.377983,0.013579,-0.053394,-0.173819,-0.087155,-0.499202,0.500992,-0.106860,-0.174477,-0.047260
2.896998,0.615292,10.178474,-0.040453,-0.147047,-0.388948,0.005452,0.038370,-0.045715,-0.075547,-0.498895,0.500998,-0.060996,-0.045521,0.035753
2.996895,0.706756,10.165244,-0.002524,-0.138766,-0.388180,0.000562,0.127434,0.061097,-0.022348,-0.500335,0.499562,0.025886,0.061164,0.117918
3.096791,0.798584,10.153120,0.034889,-0.122651,-0.378323,0.001413,0.195198,0.136238,0.039372,-0.502796,0.496961,0.111471,0.136494,0.181202
3.196688,0.891099,10.142675,0.071091,-0.101758,-0.362674,0.007173,0.223086,0.177063,0.075956,-0.505030,0.495558,0.155101,0.178555,0.207299
3.296584,0.984423,10.134162,0.105688,-0.080572,-0.344478,0.013846,0.201090,0.187245,0.057651,-0.503312,0.492511,0.125561,0.189847,0.186666
3.396481,1.078511,10.127427,0.138565,-0.063324,-0.326489,0.016501,0.144227,0.172895,-0.004500,-0.492322,0.505222,0.041756,0.175126,0.133736
3.496377,1.173231,10.122015,0.169835,-0.051791,-0.310796,0.013134,0.086673,0.141308,-0.062906,-0.487475,0.510847,-0.036400,0.142379,0.080658
3.596274,1.268424,10.117442,0.199777,-0.044742,-0.298689,0.005443,0.054443,0.101073,-0.091073,-0.483272,0.516856,-0.075052,0.101355,0.051482
3.696170,1.363941,10.113441,0.228754,-0.038834,-0.290593,-0.002836,0.063845,0.061010,-0.074692,-0.479810,0.518465,-0.056399,0.060836,0.061341
3.796067,1.459663,10.110092,0.257134,-0.030436,-0.286028,-0.008099,0.104295,0.030400,-0.030668,-0.490139,0.509034,-0.001242,0.029589,0.100300
3.895963,1.555508,10.107745,0.285193,-0.017813,-0.283599,-0.009636,0.148416,0.018225,-0.000109,-0.492942,0.507477,0.041420,0.016852,0.142657
