s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-1.958299,4.677157,-0.022706,0.020820,-0.007964,0.000054,-0.023321,0.004747,0.000043,-0.585624,0.589800,-0.000143,0.004746,-0.023320
0.199809,-1.758532,4.681003,-0.021218,0.018439,-0.006897,0.000057,-0.000507,0.005935,-0.000021,-0.585904,0.585533,-0.000025,0.005935,-0.000508
0.399618,-1.558762,4.684734,-0.019953,0.019194,-0.005786,0.000042,0.008062,0.005191,-0.000126,-0.586407,0.582867,-0.000079,0.005191,0.008062
0.599427,-1.358995,4.688705,-0.018883,0.020433,-0.005016,0.000041,0.004340,0.002511,0.000114,-0.583789,0.579752,0.000136,0.002511,0.004340
0.799236,-1.159230,4.692783,-0.017910,0.019934,-0.004822,0.000034,-0.009336,-0.000564,-0.000178,-0.576569,0.575511,-0.000223,-0.000564,-0.009336
0.999045,-0.959459,4.696537,-0.016917,0.017439,-0.005221,0.000024,-0.015639,-0.003431,0.000073,-0.570954,0.570427,-0.000009,-0.003431,-0.015638
1.198854,-0.759678,4.699712,-0.015793,0.014350,-0.006092,0.000036,-0.015279,-0.005293,0.000047,-0.568553,0.563314,-0.000046,-0.005294,-0.015279
1.398663,-0.559891,4.702326,-0.014475,0.012076,-0.007075,0.000013,-0.007483,-0.004546,-0.000271,-0.564915,0.558225,-0.000324,-0.004546,-0.007483
1.598473,-0.360102,4.704709,-0.012989,0.012378,-0.007703,-0.000036,0.010500,-0.001737,-0.000226,-0.565521,0.551985,-0.000145,-0.001738,0.010500
1.798282,-0.160318,4.707459,-0.011438,0.015497,-0.007708,-0.000080,0.020724,0.001691,-0.000213,-0.563028,0.545800,-0.000053,0.001690,0.020724
1.998091,0.039454,4.711006,-0.009950,0.020182,-0.007094,-0.000092,0.026174,0.004455,0.000095,-0.556125,0.542555,0.000281,0.004453,0.026174
2.197900,0.239205,4.715619,-0.008626,0.026293,-0.006141,-0.000065,0.034992,0.005077,0.000169,-0.553573,0.538675,0.000384,0.005075,0.034992
2.397709,0.438922,4.721593,-0.007490,0.033627,-0.005273,-0.000022,0.038412,0.003609,0.000263,-0.549003,0.534646,0.000466,0.003608,0.038411
2.597518,0.638588,4.729053,-0.006488,0.040955,-0.004857,0.000026,0.034942,0.000564,0.000220,-0.546092,0.536148,0.000390,0.000564,0.034942
2.797327,0.838198,4.737915,-0.005507,0.047701,-0.005076,0.000057,0.032581,-0.002759,0.000088,-0.549870,0.537810,0.000253,-0.002757,0.032581
2.997136,1.037747,4.748039,-0.004428,0.053406,-0.005784,0.000061,0.024524,-0.004324,-0.000043,-0.550528,0.539276,0.000099,-0.004322,0.024523
3.196945,1.237241,4.759182,-0.003192,0.058129,-0.006558,0.000068,0.022756,-0.003431,0.000114,-0.556269,0.544627,0.000263,-0.003429,0.022756
3.396754,1.436684,4.771195,-0.001833,0.061953,-0.006940,0.000102,0.015521,-0.000392,0.000220,-0.569560,0.552973,0.000328,-0.000391,0.015520
3.596563,1.636095,4.783730,-0.000470,0.062881,-0.006544,0.000069,-0.006240,0.004356,-0.000544,-0.582660,0.567200,-0.000584,0.004355,-0.006240
3.796372,1.835519,4.796076,0.000724,0.060352,-0.005268,-0.000012,-0.019072,0.008417,-0.000276,-0.594927,0.579058,-0.000376,0.008417,-0.019072
3.996181,2.034984,4.807761,0.001604,0.056739,-0.003514,-0.000049,-0.017087,0.009142,-0.000094,-0.606000,0.588377,-0.000154,0.009142,-0.017087
4.195990,2.234486,4.818821,0.002137,0.054374,-0.001893,-0.000042,-0.006590,0.007085,0.000163,-0.615080,0.603731,0.000151,0.007086,-0.006590
4.395799,2.433998,4.829704,0.002391,0.055402,-0.000733,0.000002,0.016884,0.004525,0.000281,-0.621959,0.607445,0.000293,0.004525,0.016884
4.595608,2.633477,4.841171,0.002460,0.059759,-0.000032,0.000001,0.026731,0.002496,-0.000297,-0.626711,0.613900,-0.000296,0.002496,0.026731
4.795418,2.832902,4.853555,0.002424,0.063879,0.000357,0.000000,0.014504,0.001397,0.000296,-0.626519,0.609682,0.000291,0.001397,0.014504
4.995227,3.032280,4.866667,0.002324,0.067805,0.000649,0.000030,0.024794,0.001521,-0.000003,-0.622132,0.603538,-0.000019,0.001522,0.024793
5.195036,3.231563,4.881142,0.002158,0.079423,0.001048,0.000007,0.091494,0.002479,-0.000230,-0.624223,0.595123,-0.000326,0.002479,0.091494
5.394845,3.430544,4.899252,0.001897,0.104310,0.001571,-0.000001,0.157621,0.002751,0.000153,-0.622396,0.582941,-0.000095,0.002751,0.157621
5.594654,3.628868,4.923483,0.001537,0.140365,0.001996,0.000009,0.203269,0.001502,-0.000055,-0.616214,0.568894,-0.000461,0.001503,0.203268
5.794463,3.826077,4.955515,0.001121,0.182017,0.002100,-0.000046,0.213650,-0.000456,-0.000490,-0.611977,0.565971,-0.000938,-0.000466,0.213649
5.994272,4.021812,4.995596,0.000718,0.220562,0.001896,-0.000051,0.172172,-0.001584,0.000442,-0.617009,0.564315,0.000115,-0.001593,0.172172
6.194081,4.216157,5.041980,0.000368,0.244535,0.001614,0.000003,0.067778,-0.001243,0.000099,-0.597675,0.552015,-0.000011,-0.001243,0.067778
6.393890,4.409829,5.091121,0.000061,0.249620,0.001517,-0.000016,-0.016873,0.000279,-0.000294,-0.583050,0.557433,-0.000269,0.000279,-0.016873
6.593699,4.603565,5.140004,-0.000264,0.243926,0.001807,-0.000058,-0.040123,0.002618,-0.000127,-0.580845,0.559670,-0.000054,0.002621,-0.040123
6.793508,4.797627,5.187581,-0.000694,0.237424,0.002588,-0.000054,-0.024953,0.005196,0.000170,-0.577343,0.552926,0.000235,0.005197,-0.024953
6.993317,4.991909,5.234247,-0.001325,0.234846,0.003776,-0.000015,-0.000852,0.006704,0.000223,-0.577663,0.555302,0.000227,0.006704,-0.000852
7.193126,5.186171,5.280991,-0.002204,0.238794,0.004970,0.000038,0.040367,0.005244,0.000305,-0.581353,0.550454,0.000105,0.005245,0.040366
7.392935,5.380051,5.329290,-0.003270,0.250811,0.005545,0.000103,0.079920,0.000512,0.000343,-0.585481,0.546254,-0.000101,0.000520,0.079918
7.592744,5.573211,5.380385,-0.004352,0.266188,0.005105,0.000151,0.073997,-0.004919,0.000140,-0.592363,0.541524,-0.000238,-0.004907,0.073996
7.792553,5.765744,5.433807,-0.005249,0.272225,0.003757,0.000152,-0.013569,-0.008572,-0.000133,-0.595780,0.535653,-0.000082,-0.008574,-0.013568
7.992363,5.958589,5.486078,-0.005820,0.250977,0.001911,0.000112,-0.199117,-0.009905,-0.000262,-0.595768,0.532367,0.000119,-0.009928,-0.199115
8.192172,6.153420,5.530244,-0.006005,0.186700,-0.000061,0.000010,-0.444271,-0.009832,-0.000765,-0.588289,0.526952,-0.000792,-0.009836,-0.444271
8.391981,6.351313,5.557090,-0.005805,0.075485,-0.001892,-0.000264,-0.668933,-0.008496,-0.001975,-0.600782,0.547300,-0.003241,-0.008319,-0.668934
8.591790,6.550935,5.557794,-0.005276,-0.073556,-0.003308,-0.000706,-0.822906,-0.005684,-0.002449,-0.681847,0.621028,-0.005171,-0.005103,-0.822905
8.791599,6.747784,5.525296,-0.004528,-0.261529,-0.004046,-0.000671,-1.058622,-0.001697,0.002800,-0.800112,0.733266,-0.001483,-0.000987,-1.058614
8.991408,6.932906,5.451482,-0.003703,-0.509437,-0.004137,-0.000315,-1.422829,0.000781,0.000762,-0.859012,0.879624,-0.005124,0.001229,-1.422817
9.191217,7.091022,5.330468,-0.002891,-0.798744,-0.003986,-0.000258,-1.472997,0.000734,-0.000196,-0.873696,0.939849,-0.006067,0.001115,-1.472986
9.391026,7.208493,5.169627,-0.002098,-1.075312,-0.004014,-0.000022,-1.295326,-0.001021,0.002558,-0.882044,0.928797,-0.002642,-0.000992,-1.295316
9.590835,7.280615,4.983831,-0.001259,-1.321519,-0.004461,0.000017,-1.169098,-0.003454,-0.002161,-0.879254,0.912398,-0.007377,-0.003474,-1.169086
9.790644,7.306835,4.786217,-0.000276,-1.556818,-0.005498,0.000002,-1.186143,-0.006922,0.002012,-0.874740,0.890222,-0.004510,-0.006925,-1.186125
