# v_mps,ax_max_mps2,ay_max_mps2
0.000000,5.000000,4.500000
4.000000,5.000000,4.500000
8.000000,5.000000,4.500000
12.000000,5.000000,4.500000
16.000000,5.000000,4.500000
20.000000,5.000000,4.500000
24.000000,5.000000,4.500000
28.000000,5.000000,4.500000
32.000000,5.000000,4.500000
36.000000,5.000000,4.500000
40.000000,5.000000,4.500000
44.000000,5.000000,4.500000
48.000000,5.000000,4.500000
52.000000,5.000000,4.500000
56.000000,5.000000,4.500000
60.000000,5.000000,4.500000
66.000000,5.000000,4.500000
72.000000,5.000000,4.500000
