s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-0.713156,8.375356,-0.198815,1.669228,0.001922,0.000000,-0.303690,-0.087967,0.000408,-0.500000,0.500000,0.000992,-0.087967,-0.303689
0.111862,-0.724149,8.486676,-0.199030,1.635256,-0.007918,0.000046,-0.424324,0.246926,-0.001320,-0.500000,0.500000,-0.004680,0.246907,-0.424322
0.216521,-0.729645,8.591188,-0.198206,1.590847,0.017925,-0.000093,-0.048455,0.379338,0.001360,-0.500000,0.500000,0.002229,0.379343,-0.048412
0.324882,-0.730663,8.699527,-0.200138,1.585596,0.059030,0.000055,0.162046,-0.959098,-0.001484,-0.500000,0.500000,-0.011044,-0.959089,0.161816
0.429201,-0.732397,8.803649,-0.206298,1.602501,-0.041022,-0.000100,-0.739733,0.859255,-0.007021,-0.500000,0.500000,-0.037358,0.859328,-0.739025
0.539892,-0.736433,8.914172,-0.201748,1.520619,0.054089,-0.000877,0.228807,-1.563866,-0.000322,-0.500000,0.500000,-0.012692,-1.564066,0.227101
0.642684,-0.728236,9.016483,-0.207381,1.544139,-0.106665,-0.000910,0.023989,3.089505,0.003247,-0.500000,0.500000,0.005800,3.089482,0.026665
0.745990,-0.727343,9.119208,-0.196480,1.546617,0.212499,-0.000575,-0.394188,-1.706004,0.003373,-0.500000,0.500000,0.086509,-1.705782,-0.386302
0.846080,-0.724458,9.216993,-0.217642,1.507163,0.041743,-0.000237,-0.598990,-0.601773,0.003928,-0.500000,0.500000,0.028924,-0.601631,-0.598611
0.947811,-0.716878,9.318352,-0.221909,1.446227,-0.019476,0.000162,0.093026,-0.179488,-0.003055,-0.500000,0.500000,-0.001243,-0.179473,0.093037
1.054296,-0.701964,9.423766,-0.219821,1.456133,-0.038588,-0.000163,-0.935364,0.520201,-0.001461,-0.500000,0.500000,-0.037546,0.520353,-0.934583
1.161430,-0.690635,9.530220,-0.215704,1.355923,0.017143,-0.000320,-0.911394,0.327302,-0.002647,-0.500000,0.500000,0.012976,0.327593,-0.911155
1.274760,-0.662693,9.640034,-0.217672,1.252634,0.054236,-0.000620,-1.030953,-0.400665,0.004211,-0.500000,0.500000,0.060099,-0.400028,-1.029685
1.395931,-0.622351,9.754100,-0.224290,1.127713,0.005687,-0.000109,-1.111982,0.354350,-0.005200,-0.500000,0.500000,0.001125,0.354472,-1.111926
1.506793,-0.571263,9.852487,-0.224927,1.004437,0.044971,-0.000686,-0.868441,-0.414564,0.006304,-0.500000,0.500000,0.045346,-0.413969,-0.867847
1.616528,-0.509782,9.943246,-0.229896,0.909138,-0.000521,0.000006,-1.125357,0.201345,-0.003356,-0.500000,0.500000,-0.003942,0.201338,-1.125358
1.721481,-0.443445,10.024575,-0.229841,0.791029,0.020610,-0.000346,-1.697230,-0.298510,0.005641,-0.500000,0.500000,0.040619,-0.297922,-1.696973
1.823229,-0.369627,10.094569,-0.231950,0.618339,-0.009763,0.000228,-1.403359,-0.281378,0.004418,-0.500000,0.500000,-0.009282,-0.281698,-1.403228
1.930939,-0.279167,10.153026,-0.230893,0.467184,-0.040070,0.000704,-1.507348,0.084300,0.000524,-0.500000,0.500000,-0.059859,0.083240,-1.506197
2.043866,-0.176741,10.200367,-0.226356,0.296962,-0.030550,0.000763,-4.527764,0.134328,0.003831,-0.500000,0.500000,-0.134470,0.130876,-4.525752
2.144179,-0.079549,10.225001,-0.223288,-0.157230,-0.017075,0.001147,2.698755,-0.222607,-0.037407,-0.500000,0.500000,0.008673,-0.219511,2.698615
2.244551,0.016525,10.195989,-0.221615,0.113651,-0.039419,-0.002607,-1.810439,-1.127769,0.107280,-0.500000,0.500000,0.035933,-1.123048,-1.811967
2.348917,0.117663,10.221428,-0.217590,-0.075298,-0.157120,0.008589,-0.191886,-2.307875,-0.143811,-0.500000,0.500000,-0.173836,-2.309417,-0.169693
2.452318,0.218095,10.202706,-0.201631,-0.095139,-0.395755,-0.006281,0.926204,0.163383,0.022440,-0.500000,0.500000,0.379496,0.158011,0.855623
2.555130,0.312769,10.196642,-0.162003,0.000086,-0.378957,-0.003974,-0.234659,-0.990500,0.074791,-0.500000,0.500000,-0.012022,-0.989625,-0.221945
2.661951,0.411995,10.198706,-0.122499,-0.024980,-0.484764,0.004015,-0.854594,0.058470,0.012751,-0.500000,0.500000,-0.385489,0.055433,-0.756361
2.763951,0.502174,10.194986,-0.074981,-0.112149,-0.478800,0.005316,-0.350112,0.357658,-0.034259,-0.500000,0.500000,-0.195560,0.356001,-0.312638
2.878356,0.602827,10.181420,-0.022320,-0.152203,-0.437882,0.001396,-0.060233,1.030423,-0.013027,-0.500000,0.500000,-0.038567,1.030346,-0.055989
2.984977,0.698184,10.166180,0.022879,-0.158625,-0.328017,0.000008,0.192181,1.674501,-0.004575,-0.500000,0.500000,0.057339,1.674502,0.181922
3.093266,0.799411,10.149981,0.057766,-0.137814,-0.146687,-0.000488,0.429542,-1.952762,-0.018959,-0.500000,0.500000,0.043823,-1.952969,0.423976
3.204362,0.908370,10.135606,0.074007,-0.090094,-0.363632,-0.002594,1.086504,0.350186,-0.030292,-0.500000,0.500000,0.356146,0.347551,1.016364
3.317024,1.013359,10.127610,0.114082,0.032314,-0.324179,-0.006007,-0.299976,0.804792,0.081237,-0.500000,0.500000,-0.014315,0.806485,-0.279512
3.425274,1.115744,10.134691,0.148512,-0.000159,-0.237060,0.002787,0.115866,-1.770214,-0.052763,-0.500000,0.500000,-0.025553,-1.769893,0.117558
3.528694,1.216246,10.132324,0.172787,0.011824,-0.420134,-0.002670,-0.500149,2.011182,0.047945,-0.500000,0.500000,-0.156058,2.012394,-0.451282
3.629136,1.307929,10.134557,0.213749,-0.038413,-0.218127,0.002146,-0.773559,0.106772,-0.001701,-0.500000,0.500000,-0.169100,0.105151,-0.755456
3.732505,1.408682,10.128704,0.236106,-0.118375,-0.207090,0.001970,0.982906,-1.127709,-0.085993,-0.500000,0.500000,0.116105,-1.125811,0.964124
3.844739,1.517486,10.113661,0.259162,-0.008060,-0.333656,-0.007681,-0.203785,1.729966,0.087254,-0.500000,0.500000,0.020515,1.731394,-0.179252
3.951819,1.618613,10.117448,0.294169,-0.029882,-0.148410,0.001662,-0.349781,-0.112151,-0.012620,-0.500000,0.500000,-0.064340,-0.112726,-0.345749
4.054656,1.720181,10.112136,0.309365,-0.065852,-0.159943,0.000364,1.102118,-0.773368,-0.048749,-0.500000,0.500000,0.126776,-0.772972,1.088332
4.157295,1.821260,10.105009,0.325710,0.047269,-0.239321,-0.004639,0.766346,-1.856831,0.013162,-0.500000,0.500000,0.194819,-1.860265,0.735882
4.264093,1.924643,10.113910,0.350979,0.129113,-0.437627,-0.003234,0.022706,-0.287536,0.037404,-0.500000,0.500000,0.047027,-0.287601,0.019636
4.376784,2.025675,10.128528,0.398709,0.131672,-0.470029,0.000981,-0.697720,2.185346,0.015268,-0.500000,0.500000,-0.300739,2.184734,-0.624201
4.487422,2.123510,10.141077,0.448823,0.054478,-0.228249,0.002671,-0.418050,2.458099,-0.025917,-0.500000,0.500000,-0.120510,2.457002,-0.413771
4.595937,2.229161,10.144378,0.473372,0.009113,0.038494,-0.000142,0.117273,-0.733592,0.000173,-0.500000,0.500000,-0.004340,-0.733609,0.117082
4.701907,2.335052,10.144563,0.469294,0.021540,-0.039245,-0.000123,0.094049,1.524564,0.002024,-0.500000,0.500000,0.005714,1.524553,0.094164
4.815565,2.448578,10.147723,0.473753,0.032230,0.134033,0.000107,0.312531,-0.789100,0.001346,-0.500000,0.500000,-0.040418,-0.789067,0.309812
4.916986,2.549033,10.151122,0.460200,0.063927,0.054001,0.000243,0.452723,-0.125624,0.000491,-0.500000,0.500000,-0.023945,-0.125514,0.452093
5.034900,2.666461,10.159702,0.453837,0.117309,0.039189,0.000301,-0.123819,-1.267931,0.001663,-0.500000,0.500000,0.006515,-1.267968,-0.123342
5.145853,2.776355,10.174372,0.449493,0.103571,-0.101492,0.000486,-0.121038,0.893452,-0.004252,-0.500000,0.500000,-0.016516,0.893393,-0.120849
5.260159,2.889569,10.185049,0.461076,0.089736,0.000635,-0.000000,-0.483081,-0.155514,0.001291,-0.500000,0.500000,0.001598,-0.155514,-0.483081
5.368868,2.997856,10.194631,0.461007,0.037220,-0.016271,0.000140,-0.280000,0.462558,-0.001991,-0.500000,0.500000,-0.006547,0.462519,-0.280028
5.476009,3.104961,10.196778,0.462750,0.007221,0.033288,-0.000073,0.419823,-2.202599,-0.013322,-0.500000,0.500000,-0.027294,-2.202630,0.419429
5.578199,3.207094,10.197065,0.459349,0.050122,-0.191795,-0.001435,-0.168468,2.418402,0.008734,-0.500000,0.500000,-0.023380,2.418637,-0.161909
5.691091,3.317683,10.204269,0.480860,0.031103,0.081223,-0.000449,0.100063,1.087329,0.011202,-0.500000,0.500000,0.003084,1.087284,0.100221
5.806472,3.432661,10.206577,0.471499,0.042649,0.206681,0.000844,0.543771,-2.855510,-0.014606,-0.500000,0.500000,-0.126194,-2.855060,0.534607
5.910716,3.534555,10.211756,0.450110,0.099334,-0.090989,-0.000679,-0.347723,0.731464,0.006448,-0.500000,0.500000,-0.025147,0.731699,-0.345788
6.026023,3.648637,10.224850,0.460581,0.059239,-0.006646,0.000065,0.117948,0.895654,0.003710,-0.500000,0.500000,0.004494,0.895662,0.117887
6.131057,3.753585,10.229028,0.461279,0.071627,0.087428,0.000454,-0.762200,0.642394,-0.027366,-0.500000,0.500000,0.039187,0.642049,-0.759581
6.239728,3.861477,10.237898,0.451793,-0.011202,0.157238,-0.002519,-0.799408,-0.593227,0.016467,-0.500000,0.500000,0.141646,-0.591236,-0.791038
6.344791,3.965151,10.233420,0.435359,-0.095190,0.094911,-0.000789,-0.160244,0.178805,0.006932,-0.500000,0.500000,0.022118,0.178931,-0.159382
6.455555,4.074728,10.221114,0.424869,-0.112939,0.114717,-0.000022,0.543109,1.105138,0.022684,-0.500000,0.500000,-0.039483,1.105126,0.539563
6.562340,4.180130,10.209118,0.412646,-0.054943,0.232728,0.002401,1.248452,0.593275,0.024122,-0.500000,0.500000,-0.263812,0.596189,1.213367
6.663019,4.278038,10.205744,0.389429,0.070750,0.292459,0.004829,0.232605,0.597473,-0.046547,-0.500000,0.500000,-0.113609,0.598542,0.219840
6.775724,4.385394,10.216907,0.356985,0.096966,0.359797,-0.000417,-0.321843,-0.178878,-0.014232,-0.500000,0.500000,0.099084,-0.178753,-0.301309
