,Unnamed: 0,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0,0.000000,4.256521,0.253239,0.175941,1.760771,-15.386760,2.321004,-2.772179,6.611988
1,1,0.198917,4.350558,0.275435,0.028297,2.138591,-15.838022,3.120069,-2.968866,6.611988
2,2,0.397833,4.456722,0.264071,-0.144604,2.609487,-16.286099,3.256528,-1.000591,6.611988
3,3,0.596750,4.585350,0.217672,-0.311642,3.104329,-16.438142,2.898606,0.741070,6.611988
4,4,0.795667,4.742042,0.135124,-0.454129,3.564074,-16.320600,2.284372,2.203108,6.611988
5,5,0.994584,4.923007,0.021798,-0.551276,3.936121,-15.961788,1.593585,3.609437,6.611988
6,6,1.193500,5.109219,-0.102556,-0.577017,4.182829,-15.403005,0.858862,5.406989,6.611988
7,7,1.392417,5.273040,-0.208035,-0.512911,4.294854,-14.697736,-0.050104,8.069582,6.611988
8,8,1.591334,5.399457,-0.275852,-0.359383,4.289875,-13.895629,-1.288235,11.631005,6.611988
9,9,1.790250,5.310061,-0.306203,-0.132700,3.918898,-12.174354,-2.615267,14.070416,6.611988
10,10,1.989167,5.200952,-0.306660,0.122892,3.504921,-10.550984,-3.156241,12.325722,6.611988
11,11,2.188084,5.095269,-0.276400,0.328706,3.062325,-9.042589,-3.279241,9.705736,6.611988
12,12,2.387000,5.000986,-0.210679,0.431275,2.589050,-7.643349,-3.693940,8.557139,6.611988
13,13,2.585917,4.903652,-0.122057,0.447567,2.087805,-6.358039,-4.417877,8.358461,6.611988
14,14,2.784834,4.787460,-0.030403,0.420547,1.575276,-5.199568,-5.262454,8.452175,6.611988
15,15,2.983751,4.646748,0.052877,0.369230,1.073502,-4.175832,-6.130746,8.596122,6.611988
16,16,3.182667,4.481563,0.121277,0.299989,0.602764,-3.288613,-6.840523,8.520333,6.611988
17,17,3.381584,4.294892,0.174003,0.234467,0.178366,-2.534528,-4.678131,6.508136,6.611988
18,18,3.580501,4.092701,0.215616,0.189390,-0.066334,-1.981540,-5.110371,5.998038,6.611988
19,19,3.779417,3.879288,0.249525,0.153226,-0.283724,-1.525598,-5.489723,5.519988,6.611988
20,20,3.978334,3.656093,0.275009,0.108410,-0.465934,-1.156780,-5.707438,4.944924,6.611988
21,21,4.177251,3.424815,0.290626,0.056673,-0.608398,-0.864780,-5.569450,4.123301,6.611988
22,22,4.376167,3.186054,0.297336,0.018146,-0.709345,-0.639867,-5.193512,3.188302,6.611988
23,23,4.575084,2.940624,0.298930,0.000541,-0.769146,-0.472939,-4.798129,2.283843,6.611988
24,24,4.774001,2.691454,0.297798,-0.013178,-0.789802,-0.354963,-4.299812,1.340645,6.611988
25,25,4.972918,2.441286,0.293503,-0.030578,-0.774955,-0.276772,-3.583171,0.354015,6.611988
26,26,5.171834,2.191377,0.286147,-0.041083,-0.729501,-0.228994,-2.722651,-0.501060,6.611988
27,27,5.370751,1.943823,0.277707,-0.041630,-0.659229,-0.200929,-1.782688,-1.192805,6.611988
28,28,5.569668,1.702246,0.269256,-0.043617,-0.570731,-0.183396,-0.730327,-1.716575,6.611988
29,29,5.768584,1.796143,0.259764,-0.051464,-0.703887,-0.253174,0.435599,-2.030245,6.611988
30,30,5.967501,1.871230,0.248770,-0.055040,-0.827717,-0.347747,1.678782,-2.133718,6.611988
31,31,6.166418,1.928345,0.237905,-0.049154,-0.923328,-0.469243,3.041411,-2.076906,6.611988
32,32,6.365334,1.973469,0.227936,-0.052255,-0.965071,-0.616438,4.588777,-1.849812,6.611988
33,33,6.564251,2.016340,0.214746,-0.086278,-0.920635,-0.783120,6.187189,-1.360400,6.611988
34,34,6.763168,2.066331,0.192525,-0.138733,-0.749857,-0.956456,7.783643,-0.604737,6.611988
35,35,6.962085,2.137382,0.159698,-0.187227,-0.401497,-1.114325,3.212691,-4.341273,6.611988
36,36,7.161001,2.231972,0.116472,-0.246661,-0.238225,-1.535610,4.155255,-2.202465,6.611988
37,37,7.359918,2.346392,0.058133,-0.330516,0.046955,-1.876550,0.061323,-5.828270,6.611988
38,38,7.558835,2.474614,-0.020916,-0.428399,0.057330,-2.583214,0.537393,-3.553194,6.611988
39,39,7.757751,2.606003,-0.122251,-0.513149,0.116295,-3.199008,1.398133,-1.759445,6.611988
40,40,7.956668,2.744891,-0.224132,-0.498679,0.267072,-3.686402,-1.316515,-16.919108,6.611988
41,41,8.155585,2.881554,-0.282363,-0.305946,0.193848,-5.289300,3.414210,-20.100204,6.611988
42,42,8.354501,3.015047,-0.295254,0.033899,0.376142,-6.731058,4.821826,-15.832459,6.611988
43,43,8.553418,3.153816,-0.277576,0.397198,0.643455,-8.076316,2.633564,-5.051574,6.611988
44,44,8.752335,3.311283,-0.210958,0.651837,0.920110,-9.165298,1.084452,-1.577650,6.611988
45,45,8.951252,3.504319,-0.073778,0.716606,1.155452,-10.121305,0.864114,-3.792456,6.611988
46,46,9.150168,3.725677,0.085502,0.615531,1.406545,-11.604325,0.284251,-1.525249,6.611988
47,47,9.349085,3.949674,0.202301,0.432386,1.560162,-12.723569,-0.857658,-0.374724,6.611988
48,48,9.548002,4.163673,0.267864,0.231713,1.528787,-13.677714,-2.063844,-0.182586,6.611988
49,49,9.746918,4.225945,0.293868,0.046888,1.212305,-13.705713,-2.822255,-0.748115,6.611988
50,50,9.945835,4.271821,0.286921,-0.111972,0.771836,-13.822472,-3.025281,-1.249368,6.611988
51,51,10.144752,4.297392,0.249191,-0.242346,0.271247,-14.029202,-2.804374,-1.464973,6.611988
52,52,10.343668,4.298583,0.184007,-0.334884,-0.225916,-14.288915,-2.375004,-1.410432,6.611988
53,53,10.542585,4.274468,0.101323,-0.383139,-0.661543,-14.547618,-1.875567,-1.062252,6.611988
54,54,10.741502,4.230436,0.015385,-0.392261,-0.997531,-14.737910,-1.366835,-0.324982,6.611988
55,55,10.940419,4.175028,-0.063241,-0.373997,-1.227307,-14.792542,-0.925840,0.887801,6.611988
56,56,11.139335,4.114929,-0.130444,-0.340131,-1.371814,-14.653975,-0.651168,2.344636,6.611988
57,57,11.338252,4.053565,-0.185899,-0.296842,-1.466829,-14.311859,-0.507921,2.168930,6.611988
58,58,11.537169,3.992131,-0.230205,-0.247178,-1.536948,-14.012433,-0.207032,2.136974,6.611988
59,59,11.736085,3.931528,-0.264015,-0.191166,-1.564256,-13.730553,0.187507,2.634597,6.611988
60,60,11.935002,3.873271,-0.287253,-0.125095,-1.540507,-13.396860,0.585702,2.868039,6.611988
61,61,12.133919,3.817920,-0.299924,-0.054559,-1.467765,-13.040658,1.022448,2.577017,6.611988
62,62,12.332836,3.765505,-0.303036,0.008397,-1.338876,-12.715803,1.552512,2.353784,6.611988
63,63,12.531752,3.717540,-0.298056,0.057531,-1.135757,-12.407852,2.022159,3.810627,6.611988
64,64,12.730669,3.676869,-0.286750,0.088940,-0.857205,-11.882938,2.118134,6.420860,6.611988
65,65,12.929586,3.646584,-0.271338,0.105092,-0.549362,-10.949751,1.774352,8.599277,6.611988
66,66,13.128502,3.627897,-0.253346,0.114026,-0.279247,-9.640654,1.144541,10.324678,6.611988
67,67,13.327419,3.619032,-0.233365,0.120762,-0.097430,-8.000514,0.394564,11.543010,6.611988
68,68,13.526336,3.615849,-0.211484,0.124986,-0.031914,-6.083833,-0.305575,12.234279,6.611988
69,69,13.725252,3.612830,-0.188358,0.121946,-0.085144,-3.952629,-0.811331,12.470079,6.611988
70,70,13.924169,3.604221,-0.165791,0.107931,-0.233213,-1.676824,-1.028798,12.345700,6.611988
71,71,14.123086,3.585635,-0.146203,0.085567,-0.428324,0.664524,-0.922553,11.955249,6.611988
72,72,14.322003,3.555879,-0.130330,0.073428,-0.607250,2.983225,-0.506514,11.239392,6.611988
73,73,14.520919,3.517777,-0.113815,0.094717,-0.706415,5.183631,0.139255,10.034498,6.611988
74,74,14.719836,3.477279,-0.088676,0.159321,-0.678935,7.163685,0.843587,8.201722,6.611988
75,75,14.918753,3.441896,-0.046290,0.259524,-0.509387,8.812129,1.359924,5.773302,6.611988
76,76,15.117669,3.419306,0.018597,0.366106,-0.228263,10.005588,1.465079,2.990917,6.611988
77,77,15.316586,3.414586,0.100841,0.434462,0.073692,10.622020,1.048100,0.247728,6.611988
78,78,15.515503,3.424143,0.181150,0.422181,0.270236,10.668474,0.450644,0.937392,6.611988
79,79,15.714419,3.438316,0.240425,0.327546,0.340801,10.815255,0.032550,1.018558,6.611988
80,80,15.913336,3.451820,0.275499,0.190206,0.345125,10.950597,-0.283448,1.005793,6.611988
81,81,16.112253,3.463895,0.290760,0.053038,0.309852,11.075762,-0.467809,0.534871,6.611988
82,82,16.311170,3.474810,0.290833,-0.038260,0.248072,11.146399,-0.541103,0.267386,6.611988
83,83,16.510086,3.483950,0.282542,-0.058162,0.167812,11.186059,-0.539307,0.175461,6.611988
84,84,16.709003,3.489815,0.274677,-0.035875,0.082516,11.213809,-0.465352,0.092520,6.611988
85,85,16.907920,3.491949,0.270154,-0.027024,0.010069,11.228213,-0.297756,-0.137951,6.611988
86,86,17.106836,3.491437,0.263913,-0.064003,-0.033624,11.207970,-0.003282,-0.318553,6.611988
87,87,17.305753,3.490023,0.249446,-0.139066,-0.034087,11.163040,0.419641,-0.482588,6.611988
88,88,17.504670,3.489858,0.222425,-0.224177,0.026374,11.093508,0.993331,-0.081242,6.611988
89,89,17.703586,3.494687,0.180985,-0.285518,0.181849,11.080793,1.376540,-2.482933,6.611988
90,90,17.902503,3.510189,0.128503,-0.295767,0.420856,10.649686,1.274598,-4.926678,6.611988
91,91,18.101420,3.540021,0.075436,-0.246739,0.658622,9.730656,0.810732,-7.094017,6.611988
92,92,18.300337,3.581412,0.035304,-0.150969,0.812581,8.383493,0.133616,-9.030674,6.611988
93,93,18.499253,3.627152,0.016484,-0.037590,0.837580,6.693869,-0.594089,-10.547730,6.611988
94,94,18.698170,3.669907,0.019572,0.064816,0.728066,4.749534,-1.199979,-11.542939,6.611988
95,95,18.897087,3.703527,0.040599,0.139556,0.507708,2.629825,-1.564481,-12.093952,6.611988
96,96,19.096003,3.723348,0.073108,0.175895,0.220129,0.406748,-1.634769,-12.338638,6.611988
97,97,19.294920,3.727173,0.108333,0.166595,-0.079061,-1.851412,-1.390994,-12.257190,6.611988
98,98,19.493837,3.716118,0.137286,0.118246,-0.331731,-4.077909,-0.842445,-11.621441,6.611988
99,99,19.692753,3.693955,0.154378,0.051082,-0.485876,-6.204332,-0.082044,-10.305470,6.611988
100,100,19.891670,3.666287,0.158102,-0.012059,-0.501397,-8.153780,0.717457,-8.430982,6.611988
101,101,20.090587,3.640912,0.150699,-0.050569,-0.358490,-9.833112,1.361874,-6.233744,6.611988
102,102,20.289504,3.627541,0.138155,-0.056015,-0.074873,-11.131319,1.652270,-3.788682,6.611988
103,103,20.488420,3.633780,0.126787,-0.043452,0.274187,-11.931721,1.331222,-0.957979,6.611988
104,104,20.687337,3.659379,0.118554,-0.029806,0.552458,-12.131971,0.792558,-1.070357,6.611988
105,105,20.886254,3.697869,0.113021,-0.021031,0.714922,-12.351380,0.469171,-1.302085,6.611988
106,106,21.085170,3.743123,0.108485,-0.021944,0.808967,-12.612382,0.306702,-1.373574,6.611988
107,107,21.284087,3.791946,0.103003,-0.027805,0.869197,-12.882127,0.242305,-1.422642,6.611988
108,108,21.483004,3.843012,0.096677,-0.028805,0.915984,-13.156823,0.249585,-1.530344,6.611988
109,109,21.681920,3.896040,0.091401,-0.016440,0.963515,-13.448264,0.332739,-1.726613,6.611988
110,110,21.880837,3.951975,0.091768,0.026677,1.026641,-13.775830,0.493670,-1.891925,6.611988
111,111,22.079754,4.013268,0.106689,0.110383,1.121711,-14.140170,0.710918,-1.911927,6.611988
112,112,22.278671,4.083889,0.144748,0.205140,1.263775,-14.522238,1.018326,-2.040653,6.611988
113,113,22.477587,4.166460,0.202015,0.243392,1.471288,-14.938076,1.539098,-2.385514,6.611988
114,114,22.676504,4.256521,0.253239,0.175941,1.760771,-15.386760,0.000000,0.000000,6.611988
