,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,2.837681,0.253239,0.175941,0.782565,-6.838560,2.321004,-2.772179,7.958205
1,0.198917,2.900372,0.275435,0.028297,0.950485,-7.039121,3.120069,-2.968866,7.958205
2,0.397833,2.971148,0.264071,-0.144604,1.159772,-7.238266,3.256528,-1.000591,7.958205
3,0.596750,3.056900,0.217672,-0.311642,1.379702,-7.305841,2.898606,0.741070,7.958205
4,0.795667,3.161361,0.135124,-0.454129,1.584033,-7.253600,2.284372,2.203108,7.958205
5,0.994584,3.282005,0.021798,-0.551276,1.749387,-7.094128,1.593585,3.609437,7.958205
6,1.193500,3.406146,-0.102556,-0.577017,1.859035,-6.845780,0.858862,5.406989,7.958205
7,1.392417,3.515360,-0.208035,-0.512911,1.908824,-6.532327,-0.050104,8.069582,7.958205
8,1.591334,3.599638,-0.275852,-0.359383,1.906611,-6.175835,-1.288235,11.631005,7.958205
9,1.790250,3.662111,-0.306203,-0.132700,1.863923,-5.790418,-2.615267,14.070416,7.958205
10,1.989167,3.714966,-0.306660,0.122892,1.788225,-5.383155,-3.156241,12.325722,7.958205
11,2.188084,3.774273,-0.276400,0.328706,1.680288,-4.961640,-3.279241,9.705736,7.958205
12,2.387000,3.846912,-0.210679,0.431275,1.531982,-4.522692,-3.693940,8.557139,7.958205
13,2.585917,3.922922,-0.122057,0.447567,1.336195,-4.069145,-4.417877,8.358461,7.958205
14,2.784834,3.989550,-0.030403,0.420547,1.093942,-3.610811,-5.262454,8.452175,7.958205
15,2.983751,4.040650,0.052877,0.369230,0.811722,-3.157529,-6.130746,8.596122,7.958205
16,3.182667,4.074148,0.121277,0.299989,0.498152,-2.717862,-6.840523,8.520333,7.958205
17,3.381584,4.090373,0.174003,0.234467,0.161783,-2.298892,-4.678131,6.508136,7.958205
18,3.580501,4.092701,0.215616,0.189390,-0.066334,-1.981540,-5.110371,5.998038,7.958205
19,3.779417,4.083461,0.249525,0.153226,-0.314376,-1.690413,-5.489723,5.519988,7.958205
20,3.978334,4.062326,0.275009,0.108410,-0.575227,-1.428124,-5.707438,4.944924,7.958205
21,4.177251,4.029194,0.290626,0.056673,-0.842074,-1.196928,-5.569450,4.123301,7.958205
22,4.376167,3.982568,0.297336,0.018146,-1.108351,-0.999792,-5.193512,3.188302,7.958205
23,4.575084,3.920832,0.298930,0.000541,-1.367370,-0.840780,-4.798129,2.283843,7.958205
24,4.774001,3.844935,0.297798,-0.013178,-1.611841,-0.724415,-4.299812,1.340645,7.958205
25,4.972918,3.755825,0.293503,-0.030578,-1.834214,-0.655081,-3.583171,0.354015,7.958205
26,5.171834,3.652295,0.286147,-0.041083,-2.026393,-0.636094,-2.722651,-0.501060,7.958205
27,5.370751,3.534223,0.277707,-0.041630,-2.179268,-0.664228,-1.782688,-1.192805,7.958205
28,5.569668,3.404492,0.269256,-0.043617,-2.282925,-0.733585,-0.730327,-1.716575,7.958205
29,5.768584,3.265714,0.259764,-0.051464,-2.326898,-0.836940,0.435599,-2.030245,7.958205
30,5.967501,3.118717,0.248770,-0.055040,-2.299215,-0.965964,1.678782,-2.133718,7.958205
31,6.166418,2.966685,0.237905,-0.049154,-2.185391,-1.110634,3.041411,-2.076906,7.958205
32,6.365334,2.819242,0.227936,-0.052255,-1.969533,-1.258037,4.588777,-1.849812,7.958205
33,6.564251,2.688453,0.214746,-0.086278,-1.636685,-1.392214,6.187189,-1.360400,7.958205
34,6.763168,2.582914,0.192525,-0.138733,-1.171651,-1.494463,7.783643,-0.604737,7.958205
