s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-7.556432,-0.621009,0.139023,-1.577584,-0.000000,-0.000000,0.506943,0.000000,0.000000,-0.890014,0.890014,0.000000,0.000000,0.506943
0.187298,-7.538989,-0.807493,0.139015,-1.482635,-0.000000,-0.000000,0.521722,0.000000,0.000000,-0.863077,0.863077,0.000000,0.000000,0.521722
0.470051,-7.499943,-1.087537,0.139018,-1.335116,-0.000000,-0.000000,0.639165,0.000000,0.000000,-0.841383,0.841383,0.000000,0.000000,0.639165
0.793231,-7.382377,-1.388575,0.139022,-1.128551,-0.000000,-0.000000,0.615306,0.000000,0.000000,-0.809529,0.809529,0.000000,0.000000,0.615306
1.122904,-7.210249,-1.669744,0.139023,-0.925702,-0.000000,-0.000000,0.629543,0.000000,0.000000,-0.785897,0.785897,0.000000,0.000000,0.629543
1.445851,-7.000535,-1.915335,0.139032,-0.722393,-0.000000,-0.000000,0.535903,0.000000,0.000000,-0.777164,0.777164,0.000000,0.000000,0.535903
1.710290,-6.804214,-2.092496,0.139408,-0.580679,-0.000000,-0.000000,0.464783,0.000000,0.000000,-0.790653,0.790653,0.000000,0.000000,0.464783
1.930967,-6.619786,-2.213676,0.139501,-0.478112,-0.000000,-0.000000,0.364016,0.000000,0.000000,-0.802785,0.802785,0.000000,0.000000,0.364016
2.130582,-6.436989,-2.293872,0.139469,-0.405449,-0.000000,-0.000000,0.186000,0.000000,0.000000,-0.817675,0.817675,0.000000,0.000000,0.186000
2.330630,-6.245068,-2.350310,0.139670,-0.368240,-0.000000,-0.000000,0.259145,0.000000,0.000000,-0.842442,0.842442,0.000000,0.000000,0.259145
2.520318,-6.060277,-2.393135,0.139253,-0.319083,-0.000000,-0.000000,0.438102,0.000000,0.000000,-0.864360,0.864360,0.000000,0.000000,0.438102
2.709887,-5.875074,-2.433587,0.139219,-0.236033,-0.000000,-0.000000,0.389630,0.000000,0.000000,-0.880711,0.880711,0.000000,0.000000,0.389630
2.909304,-5.679720,-2.473636,0.139571,-0.158334,-0.000000,-0.000000,0.238876,0.000000,0.000000,-0.894705,0.894705,0.000000,0.000000,0.238876
3.116742,-5.474483,-2.503775,0.140016,-0.108782,-0.000000,-0.000000,0.099990,0.000000,0.000000,-0.909835,0.909835,0.000000,0.000000,0.099990
3.359633,-5.232703,-2.526944,0.139019,-0.084495,-0.000000,-0.000000,0.132151,0.000000,0.000000,-0.922482,0.922482,0.000000,0.000000,0.132151
3.606445,-4.986657,-2.546374,0.139036,-0.051879,-0.000000,-0.000000,0.072990,0.000000,0.000000,-0.932359,0.932359,0.000000,0.000000,0.072990
3.875660,-4.717850,-2.561198,0.139013,-0.032229,-0.000000,-0.000000,0.054647,0.000000,0.000000,-0.935507,0.935507,0.000000,0.000000,0.054647
4.121711,-4.471963,-2.570181,0.139014,-0.018783,-0.000000,-0.000000,0.067980,0.000000,0.000000,-0.932797,0.932797,0.000000,0.000000,0.067980
4.370470,-4.223204,-2.569825,0.138991,-0.001872,-0.000000,-0.000000,0.057623,0.000000,0.000000,-0.928897,0.928897,0.000000,0.000000,0.057623
4.617661,-3.976017,-2.568584,0.138988,0.012372,-0.000000,-0.000000,0.033766,0.000000,0.000000,-0.923698,0.923698,0.000000,0.000000,0.033766
4.878983,-3.714821,-2.560478,0.138988,0.021196,-0.000000,-0.000000,0.010477,0.000000,0.000000,-0.916701,0.916701,0.000000,0.000000,0.010477
5.131429,-3.462382,-2.558616,0.138990,0.023840,-0.000000,-0.000000,-0.011014,0.000000,0.000000,-0.912889,0.912889,0.000000,0.000000,-0.011014
5.375849,-3.217986,-2.555181,0.139016,0.021148,-0.000000,-0.000000,0.017854,0.000000,0.000000,-0.910094,0.910094,0.000000,0.000000,0.017854
5.631619,-2.962263,-2.550231,0.138996,0.025715,-0.000000,-0.000000,-0.012988,0.000000,0.000000,-0.905670,0.905670,0.000000,0.000000,-0.012988
5.879599,-2.714310,-2.546574,0.138986,0.022494,-0.000000,-0.000000,0.004156,0.000000,0.000000,-0.902802,0.902802,0.000000,0.000000,0.004156
6.132540,-2.461393,-2.543089,0.139014,0.023545,-0.000000,-0.000000,-0.071561,0.000000,0.000000,-0.899812,0.899812,0.000000,0.000000,-0.071561
6.365829,-2.228128,-2.546454,0.138994,0.006851,-0.000000,-0.000000,0.025535,0.000000,0.000000,-0.901543,0.901543,0.000000,0.000000,0.025535
6.624094,-1.969885,-2.543112,0.139003,0.013446,-0.000000,-0.000000,-0.002353,0.000000,0.000000,-0.898889,0.898889,0.000000,0.000000,-0.002353
6.871134,-1.722859,-2.540517,0.139000,0.012865,-0.000000,-0.000000,0.056377,0.000000,0.000000,-0.895231,0.895231,0.000000,0.000000,0.056377
7.137172,-1.456971,-2.531568,0.138996,0.027863,-0.000000,-0.000000,-0.020819,0.000000,0.000000,-0.887258,0.887258,0.000000,0.000000,-0.020819
7.379695,-1.214460,-2.529176,0.138999,0.022814,-0.000000,-0.000000,0.015506,0.000000,0.000000,-0.883419,0.883419,0.000000,0.000000,0.015506
7.635957,-0.958226,-2.525414,0.139021,0.026787,-0.000000,-0.000000,-0.048908,0.000000,0.000000,-0.880296,0.880296,0.000000,0.000000,-0.048908
7.872488,-0.721694,-2.525866,0.139052,0.015219,-0.000000,-0.000000,0.012466,0.000000,0.000000,-0.880799,0.880799,0.000000,0.000000,0.012466
8.127978,-0.466232,-2.522194,0.138990,0.018404,-0.000000,-0.000000,-0.011451,0.000000,0.000000,-0.878031,0.878031,0.000000,0.000000,-0.011451
8.372693,-0.221537,-2.519032,0.138993,0.015602,-0.000000,-0.000000,0.007925,0.000000,0.000000,-0.875316,0.875316,0.000000,0.000000,0.007925
