s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-7.546658,-0.619183,0.139069,-1.597905,0.000205,-0.000003,0.627057,-0.000081,0.000002,-0.899426,0.880248,-0.000127,-0.000083,0.627057
0.049986,-7.547240,-0.669163,0.139059,-1.567152,0.000200,-0.000002,0.603390,-0.000143,0.000006,-0.887146,0.878294,-0.000115,-0.000145,0.603390
0.099972,-7.546313,-0.719139,0.139049,-1.537512,0.000191,-0.000002,0.582551,-0.000192,0.000009,-0.876335,0.874919,-0.000103,-0.000193,0.582551
0.149958,-7.543929,-0.769067,0.139040,-1.508806,0.000181,-0.000002,0.566011,-0.000229,0.000009,-0.866879,0.869685,-0.000093,-0.000230,0.566011
0.199945,-7.540132,-0.818907,0.139031,-1.480801,0.000169,-0.000001,0.554491,-0.000255,0.000009,-0.859119,0.864561,-0.000085,-0.000255,0.554491
0.249931,-7.534953,-0.868622,0.139023,-1.453243,0.000156,-0.000001,0.548140,-0.000272,0.000008,-0.853706,0.862967,-0.000078,-0.000272,0.548140
0.299917,-7.528411,-0.918177,0.139016,-1.425879,0.000142,-0.000000,0.546730,-0.000284,0.000006,-0.849495,0.859334,-0.000072,-0.000284,0.546730
0.349903,-7.520517,-0.967534,0.139009,-1.398474,0.000127,-0.000000,0.549761,-0.000292,0.000004,-0.846815,0.854410,-0.000066,-0.000292,0.549761
0.399889,-7.511267,-1.016655,0.139003,-1.370826,0.000113,0.000000,0.556481,-0.000299,0.000003,-0.845032,0.848448,-0.000060,-0.000299,0.556481
0.449875,-7.500654,-1.065500,0.138998,-1.342775,0.000097,0.000000,0.565874,-0.000308,0.000002,-0.846386,0.839655,-0.000053,-0.000308,0.565874
0.499861,-7.488663,-1.114025,0.138993,-1.314220,0.000082,0.000000,0.576629,-0.000320,0.000001,-0.839935,0.837098,-0.000046,-0.000320,0.576629
0.549847,-7.475279,-1.162184,0.138989,-1.285129,0.000065,0.000000,0.587338,-0.000338,0.000001,-0.828889,0.838108,-0.000037,-0.000338,0.587338
0.599834,-7.460487,-1.209930,0.138987,-1.255529,0.000048,0.000000,0.597011,-0.000363,0.000002,-0.820681,0.836503,-0.000027,-0.000363,0.597011
0.649820,-7.444278,-1.257213,0.138985,-1.225484,0.000029,0.000000,0.605106,-0.000396,0.000003,-0.813611,0.833688,-0.000015,-0.000396,0.605106
0.699806,-7.426647,-1.303984,0.138984,-1.195079,0.000008,0.000001,0.611421,-0.000437,0.000003,-0.808094,0.829358,-0.000002,-0.000437,0.611421
0.749792,-7.407596,-1.350195,0.138984,-1.164402,-0.000015,0.000001,0.616006,-0.000485,0.000004,-0.804332,0.823180,0.000013,-0.000485,0.616006
