right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
-8.446425,-0.614968,0.139023,-6.666439,-0.627051,0.139023,-7.420541,-0.521890,0.139023
-8.398715,-0.883485,0.139015,-6.679264,-0.731502,0.139015,-7.273194,-0.724023,0.139015
-8.318067,-1.284004,0.139018,-6.681819,-0.891071,0.139018,-7.132079,-0.930409,0.139018
-8.114024,-1.735029,0.139022,-6.650730,-1.042121,0.139022,-6.992521,-1.137999,0.139022
-7.838214,-2.142283,0.139023,-6.582283,-1.197204,0.139023,-6.854192,-1.346378,0.139023
-7.514381,-2.498383,0.139032,-6.486688,-1.332286,0.139032,-6.722835,-1.559896,0.139032
-7.237960,-2.753553,0.139408,-6.370468,-1.431438,0.139408,-6.595245,-1.775201,0.139408
-6.989150,-2.926441,0.139501,-6.250421,-1.500911,0.139501,-6.468683,-1.992062,0.139501
-6.759505,-3.045254,0.139469,-6.114472,-1.542490,0.139469,-6.341425,-2.208895,0.139469
-6.548325,-3.136277,0.139670,-5.941810,-1.564343,0.139670,-6.215498,-2.424867,0.139670
-6.331423,-3.213865,0.139253,-5.789130,-1.572405,0.139253,-6.089321,-2.643096,0.139253
-6.081026,-3.289879,0.139219,-5.669122,-1.577295,0.139219,-5.924032,-2.831454,0.139219
-5.820791,-3.357149,0.139571,-5.538649,-1.590122,0.139571,-5.689610,-2.919283,0.139571
-5.573262,-3.408232,0.140016,-5.375705,-1.599317,0.140016,-5.470710,-2.797897,0.140016
-5.310555,-3.446135,0.139019,-5.154850,-1.607753,0.139019,-5.233335,-2.718396,0.139019
-5.035005,-3.477478,0.139036,-4.938309,-1.615269,0.139036,-4.983373,-2.694505,0.139036
-4.747995,-3.496219,0.139013,-4.687705,-1.626177,0.139013,-4.733092,-2.675695,0.139013
-4.489483,-3.502813,0.139014,-4.454444,-1.637549,0.139014,-4.483491,-2.655176,0.139014
-4.224943,-3.498720,0.138991,-4.221465,-1.640929,0.138991,-4.233973,-2.633704,0.138991
-3.964589,-3.492211,0.138988,-3.987444,-1.644957,0.138988,-3.984730,-2.612658,0.138988
-3.695392,-3.476973,0.138988,-3.734249,-1.643982,0.138988,-3.735260,-2.590641,0.138988
-3.440620,-3.471245,0.138990,-3.484143,-1.645986,0.138990,-3.485063,-2.568771,0.138990
-3.198740,-3.465071,0.139016,-3.237231,-1.645291,0.139016,-3.235155,-2.547130,0.139016
-2.938977,-3.455602,0.138996,-2.985550,-1.644861,0.138996,-2.985195,-2.524536,0.138996
-2.694004,-3.449148,0.138986,-2.734616,-1.644000,0.138986,-2.735378,-2.502707,0.138986
-2.440209,-3.442652,0.139014,-2.482578,-1.643527,0.139014,-2.485059,-2.480600,0.139014
-2.221952,-3.447975,0.138994,-2.234305,-1.644932,0.138994,-2.234226,-2.458544,0.138994
-1.957799,-3.441919,0.139003,-1.981971,-1.644304,0.139003,-1.984337,-2.435831,0.139003
-1.711342,-3.435674,0.139000,-1.734375,-1.645360,0.139000,-1.734552,-2.413075,0.139000
-1.432253,-3.418482,0.138996,-1.481690,-1.644654,0.138996,-1.485111,-2.390076,0.138996
-1.194307,-3.412365,0.138999,-1.234612,-1.645987,0.138999,-1.234595,-2.367071,0.138999
-0.934648,-3.405394,0.139021,-0.981804,-1.645434,0.139021,-0.984328,-2.344429,0.139021
-0.708290,-3.406563,0.139052,-0.735099,-1.645169,0.139052,-0.734640,-2.322404,0.139052
-0.450073,-3.400076,0.138990,-0.482390,-1.644312,0.138990,-0.484340,-2.300440,0.138990
-0.207881,-3.394241,0.138993,-0.235193,-1.643823,0.138993,-0.233681,-2.278166,0.138993
0.049095,-3.388790,0.138995,0.018354,-1.644800,0.138995,0.015885,-2.256077,0.138995
0.295015,-3.382763,0.140028,0.266142,-1.644250,0.140028,0.268381,-2.233793,0.140028
0.558162,-3.377309,0.139519,0.519084,-1.644521,0.139519,0.518700,-2.210969,0.139519
0.802812,-3.371069,0.139777,0.765855,-1.643927,0.139777,0.769088,-2.214136,0.139777
1.055529,-3.363479,0.139980,1.025121,-1.645290,0.139980,1.020605,-2.215326,0.139980
1.309973,-3.356271,0.139816,1.279015,-1.652407,0.139816,1.271901,-2.215151,0.139816
1.574548,-3.330080,0.139819,1.531685,-1.664303,0.139819,1.515024,-2.274912,0.139819
1.801987,-3.304877,0.139272,1.758348,-1.672857,0.139272,1.761032,-2.323577,0.139272
2.030159,-3.295907,0.138997,1.975623,-1.668031,0.138997,2.006934,-2.369410,0.138997
2.271722,-3.307122,0.139111,2.189342,-1.649269,0.139111,2.257768,-2.381670,0.139111
2.539467,-3.316169,0.138989,2.409145,-1.628001,0.138989,2.507889,-2.383367,0.138989
2.798521,-3.305788,0.138993,2.644205,-1.600214,0.138993,2.759151,-2.391791,0.138993
3.048028,-3.296275,0.139023,2.890559,-1.568451,0.139023,3.010107,-2.400447,0.139023
