s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-7.553993,-0.618043,0.139023,-1.606134,-0.000000,-0.000000,0.518514,0.000000,0.000000,-0.882482,0.882482,0.000000,0.000000,0.518514
0.171004,-7.548335,-0.788954,0.139015,-1.517466,-0.000000,-0.000000,0.639135,0.000000,0.000000,-0.866600,0.866600,0.000000,0.000000,0.639135
0.495320,-7.480110,-1.106013,0.139018,-1.310184,-0.000000,-0.000000,0.649176,0.000000,0.000000,-0.824366,0.824366,0.000000,0.000000,0.649176
0.819837,-7.372349,-1.412115,0.139022,-1.099516,-0.000000,-0.000000,0.624587,0.000000,0.000000,-0.811973,0.811973,0.000000,0.000000,0.624587
1.162796,-7.202805,-1.710236,0.139023,-0.885308,-0.000000,-0.000000,0.509499,0.000000,0.000000,-0.803219,0.803219,0.000000,0.000000,0.509499
1.438438,-7.022861,-1.919039,0.139032,-0.744869,-0.000000,-0.000000,0.584566,0.000000,0.000000,-0.794125,0.794125,0.000000,0.000000,0.584566
1.710056,-6.815869,-2.094908,0.139408,-0.586090,-0.000000,-0.000000,0.529356,0.000000,0.000000,-0.793349,0.793349,0.000000,0.000000,0.529356
1.938760,-6.620982,-2.214595,0.139501,-0.465024,-0.000000,-0.000000,0.371339,0.000000,0.000000,-0.798877,0.798877,0.000000,0.000000,0.371339
2.146049,-6.429933,-2.295027,0.139469,-0.388050,-0.000000,-0.000000,0.241170,0.000000,0.000000,-0.813784,0.813784,0.000000,0.000000,0.241170
2.351212,-6.233332,-2.353671,0.139670,-0.338570,-0.000000,-0.000000,0.335102,0.000000,0.000000,-0.836600,0.836600,0.000000,0.000000,0.335102
2.535812,-6.054479,-2.399379,0.139253,-0.276710,-0.000000,-0.000000,0.483567,0.000000,0.000000,-0.854889,0.854889,0.000000,0.000000,0.483567
2.713485,-5.881407,-2.439547,0.139219,-0.190794,-0.000000,-0.000000,0.288845,0.000000,0.000000,-0.871452,0.871452,0.000000,0.000000,0.288845
2.910704,-5.687600,-2.476068,0.139571,-0.133828,-0.000000,-0.000000,0.163703,0.000000,0.000000,-0.887458,0.887458,0.000000,0.000000,0.163703
3.120311,-5.479940,-2.504577,0.140016,-0.099515,-0.000000,-0.000000,0.044615,0.000000,0.000000,-0.904047,0.904047,0.000000,0.000000,0.044615
