,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,3.491585,0.443372,-0.164629,1.009380,9.025600,5.715265,1.392685,15.525149
1,0.199687,3.539889,0.417979,-0.174807,1.253393,9.085060,5.662091,0.688157,15.525149
2,0.399374,3.598997,0.390532,-0.185801,1.496777,9.114641,5.825642,0.578843,15.525149
3,0.599061,3.668731,0.360537,-0.201294,1.747236,9.139526,5.908359,0.388257,15.525149
4,0.798748,3.749831,0.327075,-0.219020,2.002790,9.156320,5.863670,0.081870,15.525149
5,0.998434,3.843182,0.289570,-0.235493,2.259630,9.159906,5.684370,-0.345858,15.525149
6,1.198121,3.949206,0.248019,-0.248634,2.512227,9.144537,5.345084,-0.940016,15.525149
7,1.397808,4.067217,0.202760,-0.260881,2.751880,9.102390,4.759816,-1.744194,15.525149
8,1.597495,4.195961,0.153478,-0.275954,2.966216,9.023849,4.291553,-2.261522,15.525149
9,1.797182,4.334957,0.099361,-0.289897,3.160927,8.921242,4.121106,-2.382499,15.525149
10,1.996869,4.483698,0.041202,-0.293311,3.349241,8.812374,3.756953,-2.712530,15.525149
11,2.196556,4.639827,-0.017980,-0.283858,3.520021,8.689070,3.102590,-3.313165,15.525149
12,2.396243,4.800293,-0.075729,-0.271429,3.658725,8.540952,2.420889,-3.867468,15.525149
13,2.595930,4.963553,-0.132548,-0.265722,3.765201,8.370852,1.726222,-4.389682,15.525149
14,2.795616,5.127722,-0.189378,-0.261083,3.839730,8.181330,1.042698,-4.952096,15.525149
15,2.995303,5.288753,-0.244057,-0.245243,3.883212,7.974818,0.353090,-5.566790,15.525149
16,3.194990,5.443337,-0.293022,-0.216357,3.897243,7.753613,-0.357057,-6.145224,15.525149
17,3.394677,5.591425,-0.334676,-0.183252,3.883652,7.519699,-1.071399,-6.633460,15.525149
18,3.594364,5.734133,-0.369639,-0.153468,3.844081,7.274699,-1.780751,-7.080956,15.525149
19,3.794051,5.871292,-0.398825,-0.127478,3.780008,7.019922,-2.483257,-7.509928,15.525149
20,3.993738,6.002371,-0.422858,-0.104274,3.692893,6.756466,-3.178978,-7.932295,15.525149
21,4.193425,6.126756,-0.442194,-0.082522,3.584218,6.485297,-3.876137,-8.373053,15.525149
22,4.393112,6.243640,-0.456851,-0.059992,3.455504,6.207255,-4.575276,-8.832715,15.525149
23,4.592798,6.352443,-0.466525,-0.034888,3.308307,5.923086,-5.260017,-9.281306,15.525149
24,4.792485,6.453131,-0.470747,-0.006942,3.144146,5.633424,-5.874187,-9.628908,15.525149
25,4.992172,6.546590,-0.469339,0.020571,2.964400,5.338786,-6.402243,-9.867449,15.525149
26,5.191859,6.633531,-0.462776,0.044372,2.770277,5.039594,-6.887187,-10.076247,15.525149
27,5.391546,6.713827,-0.451805,0.064276,2.562891,4.736180,-7.371099,-10.320402,15.525149
28,5.591233,6.786881,-0.437055,0.082679,2.343381,4.428840,-7.860871,-10.608381,15.525149
29,5.790920,6.852202,-0.418613,0.102470,2.112929,4.117841,-8.287782,-10.847795,15.525149
30,5.990607,6.909965,-0.396173,0.122799,1.872700,3.803408,-8.616467,-10.997615,15.525149
31,6.190294,6.960466,-0.369785,0.140797,1.623802,3.485727,-8.871333,-11.094592,15.525149
32,6.389980,7.003709,-0.339992,0.154537,1.367293,3.164934,-9.093371,-11.193062,15.525149
33,6.589667,7.039458,-0.307704,0.164201,1.104234,2.841134,-9.315236,-11.334216,15.525149
34,6.789354,7.067418,-0.273639,0.172494,0.835719,2.514421,-9.507231,-11.482340,15.525149
35,6.989041,7.087487,-0.237930,0.180891,0.562859,2.184874,-9.635717,-11.597927,15.525149
36,7.188728,7.099660,-0.200576,0.188477,0.286764,1.852556,-9.706281,-11.688910,15.525149
37,7.388415,7.103892,-0.161816,0.194312,0.008543,1.517505,-9.733132,-11.773271,15.525149
38,7.588102,7.100132,-0.122018,0.198679,-0.270687,1.179747,-9.716169,-11.851588,15.525149
39,7.787789,7.088347,-0.081412,0.202413,-0.549799,0.839291,-9.647220,-11.914385,15.525149
40,7.987476,7.068511,-0.040088,0.205662,-0.827654,0.496139,-9.524925,-11.960113,15.525149
41,8.187162,7.040594,0.001850,0.208321,-1.103094,0.150278,-9.351386,-11.991279,15.525149
42,8.386849,7.004576,0.044244,0.209646,-1.374940,-0.198311,-9.134781,-12.018170,15.525149
43,8.586536,6.960476,0.086650,0.208315,-1.641990,-0.549655,-8.879027,-12.045975,15.525149
44,8.786223,6.908368,0.128431,0.204011,-1.903018,-0.903785,-8.580423,-12.069717,15.525149
45,8.985910,6.848337,0.169000,0.197111,-2.156772,-1.260730,-8.225765,-12.070102,15.525149
46,9.185597,6.780392,0.207981,0.189088,-2.401970,-1.620522,-7.802311,-12.025777,15.525149
47,9.385284,6.704405,0.245454,0.181800,-2.637271,-1.983195,-7.325092,-11.955626,15.525149
48,9.584971,6.620334,0.281614,0.174976,-2.861268,-2.348790,-6.821459,-11.902159,15.525149
49,9.784658,6.528464,0.316236,0.166206,-3.072496,-2.717343,-6.309060,-11.899198,15.525149
50,9.984344,6.429459,0.348436,0.152360,-3.269479,-3.088863,-5.794667,-11.968021,15.525149
51,10.184031,6.324324,0.376715,0.130370,-3.450788,-3.463329,-5.258584,-12.079537,15.525149
52,10.383718,6.213958,0.399282,0.098969,-3.615063,-3.840687,-4.654134,-12.129407,15.525149
53,10.583405,6.098364,0.414732,0.060416,-3.760938,-4.220861,-3.942269,-11.989853,15.525149
54,10.783092,5.976247,0.422471,0.020268,-3.886835,-4.603759,-3.140324,-11.641209,15.525149
55,10.982779,5.845873,0.422774,-0.016123,-3.990780,-4.989083,-2.313487,-11.221069,15.525149
56,11.182466,5.707041,0.416265,-0.048994,-4.070466,-5.375585,-1.480771,-10.785462,15.525149
57,11.382153,5.560457,0.403175,-0.080810,-4.123446,-5.761474,-0.645422,-10.363434,15.525149
58,11.581840,5.407537,0.383407,-0.115558,-4.147313,-6.144699,0.197164,-9.943579,15.525149
59,11.781526,5.249963,0.355934,-0.157899,-4.139815,-6.522840,1.042637,-9.405320,15.525149
60,11.981213,5.087796,0.319037,-0.207819,-4.098769,-6.893106,1.869787,-8.732521,15.525149
61,12.180900,4.920820,0.270991,-0.264664,-4.021877,-7.252220,2.647338,-7.902432,15.525149
62,12.380587,4.748311,0.209848,-0.324826,-3.906675,-7.596102,3.354340,-6.953160,15.525149
63,12.580274,4.570132,0.134815,-0.380340,-3.750568,-7.919693,4.027279,-6.008408,15.525149
64,12.779961,4.389624,0.047831,-0.424664,-3.551458,-8.216751,4.728741,-5.135666,15.525149
65,12.979648,4.213696,-0.046137,-0.452364,-3.308931,-8.480149,5.524890,-4.336870,15.525149
66,13.179335,4.051108,-0.139886,-0.460011,-3.025303,-8.702788,6.446339,-3.550634,15.525149
67,13.379022,3.909073,-0.226646,-0.447631,-2.705779,-8.878781,7.474572,-2.691850,15.525149
68,13.578708,3.791135,-0.302021,-0.416742,-2.357576,-9.004181,8.551600,-1.687411,15.525149
69,13.778395,3.697388,-0.364117,-0.369529,-1.988669,-9.076974,9.249641,-1.196159,15.525149
70,13.978082,3.625623,-0.412704,-0.308001,-1.620863,-9.124539,9.757218,-0.913039,15.525149
71,14.177769,3.572516,-0.448408,-0.234784,-1.261292,-9.158186,9.890500,-0.753635,15.525149
72,14.377456,3.534201,-0.472876,-0.159098,-0.912660,-9.184751,9.668736,-0.239702,15.525149
73,14.577143,3.508045,-0.488265,-0.091814,-0.571972,-9.193197,9.185248,-0.178606,15.525149
74,14.776830,3.493427,-0.496144,-0.035456,-0.242116,-9.199611,8.803708,-0.084685,15.525149
75,14.976517,3.490474,-0.497582,0.011319,0.081376,-9.202723,8.608637,0.557370,15.525149
76,15.176204,3.499531,-0.493393,0.052410,0.403178,-9.181888,8.883409,0.429630,15.525149
77,15.375890,3.520595,-0.483725,0.098413,0.732656,-9.165953,9.333131,0.724829,15.525149
78,15.575577,3.553212,-0.467555,0.157648,1.070340,-9.139728,9.826012,0.674314,15.525149
79,15.775264,3.597714,-0.443097,0.229589,1.421334,-9.115641,10.057751,0.664714,15.525149
80,15.974951,3.655847,-0.408107,0.309817,1.785933,-9.091544,9.710254,1.086995,15.525149
81,16.174638,3.730966,-0.359659,0.391748,2.156015,-9.050116,8.864985,1.599674,15.525149
82,16.374325,3.828470,-0.294014,0.464752,2.525302,-8.983479,7.753466,2.074520,15.525149
83,16.574012,3.954880,-0.208127,0.513350,2.887450,-8.886583,6.647103,2.658840,15.525149
84,16.773699,4.112447,-0.104557,0.523085,3.229878,-8.749611,5.775516,3.443850,15.525149
85,16.973386,4.292819,0.004989,0.493607,3.537738,-8.566039,5.318276,4.223353,15.525149
86,17.173072,4.482510,0.107102,0.439615,3.812250,-8.348044,4.839298,5.170510,15.525149
87,17.372759,4.672906,0.195260,0.377806,4.046729,-8.097517,4.303865,6.083619,15.525149
88,17.572446,4.861086,0.268984,0.318169,4.242148,-7.821288,3.693347,6.924292,15.525149
89,17.772133,5.046018,0.329674,0.263194,4.400211,-7.524950,3.023617,7.686293,15.525149
90,17.971820,5.227101,0.378765,0.213108,4.522931,-7.212985,2.302688,8.341404,15.525149
91,18.171507,5.404499,0.417866,0.169099,4.612363,-6.889021,1.554196,8.901773,15.525149
92,18.371194,5.578113,0.448493,0.131133,4.670498,-6.556049,0.798560,9.405229,15.525149
93,18.570881,5.747209,0.471767,0.097711,4.699321,-6.216579,0.044600,9.887527,15.525149
