s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-7.546813,-0.618205,0.139071,-1.619283,0.000206,-0.000002,0.607966,-0.000073,0.000004,-0.889443,0.875364,-0.000121,-0.000074,0.607966
0.049977,-7.548480,-0.668152,0.139061,-1.589095,0.000200,-0.000001,0.600121,-0.000137,0.000006,-0.881610,0.874027,-0.000114,-0.000138,0.600121
0.099955,-7.548647,-0.718127,0.139051,-1.559219,0.000192,-0.000001,0.595439,-0.000188,0.000006,-0.874859,0.871436,-0.000108,-0.000189,0.595439
0.149932,-7.547325,-0.768085,0.139042,-1.529494,0.000182,-0.000001,0.594138,-0.000226,0.000005,-0.871040,0.866389,-0.000103,-0.000227,0.594138
0.199909,-7.544520,-0.817982,0.139033,-1.499762,0.000170,-0.000001,0.595666,-0.000253,0.000003,-0.861153,0.864780,-0.000099,-0.000254,0.595666
0.249886,-7.540230,-0.867773,0.139025,-1.469909,0.000157,-0.000001,0.598993,-0.000272,0.000001,-0.847381,0.865197,-0.000093,-0.000272,0.598993
0.299864,-7.534452,-0.917413,0.139017,-1.439867,0.000143,-0.000001,0.603249,-0.000284,0.000001,-0.836303,0.863338,-0.000086,-0.000285,0.603249
0.349841,-7.527179,-0.966856,0.139010,-1.409603,0.000129,-0.000000,0.607834,-0.000293,0.000001,-0.826409,0.860164,-0.000077,-0.000293,0.607834
0.399818,-7.518408,-1.016056,0.139004,-1.379113,0.000114,-0.000000,0.612341,-0.000300,0.000002,-0.818122,0.855466,-0.000068,-0.000301,0.612341
0.449795,-7.508136,-1.064964,0.138999,-1.348406,0.000098,-0.000000,0.616485,-0.000309,0.000003,-0.811395,0.848998,-0.000058,-0.000309,0.616485
0.499773,-7.496362,-1.113533,0.138994,-1.317507,0.000083,-0.000000,0.620047,-0.000322,0.000004,-0.806092,0.841864,-0.000047,-0.000322,0.620047
0.549750,-7.483090,-1.161713,0.138991,-1.286449,0.000066,0.000000,0.622837,-0.000340,0.000005,-0.800651,0.843907,-0.000037,-0.000340,0.622837
0.599727,-7.468325,-1.209457,0.138988,-1.255275,0.000049,0.000000,0.624710,-0.000364,0.000005,-0.796893,0.843703,-0.000025,-0.000364,0.624710
0.649704,-7.452077,-1.256718,0.138986,-1.224032,0.000030,0.000001,0.625570,-0.000397,0.000006,-0.794666,0.842121,-0.000013,-0.000397,0.625570
0.699682,-7.434360,-1.303447,0.138985,-1.192773,0.000009,0.000001,0.625349,-0.000437,0.000006,-0.794113,0.838811,0.000001,-0.000437,0.625349
