right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
-8.435924,-0.586865,0.139023,-6.672062,-0.649222,0.139023,-7.420541,-0.521890,0.139023
-8.413702,-0.835148,0.139015,-6.682967,-0.742760,0.139015,-7.273194,-0.724023,0.139015
-8.276639,-1.318429,0.139018,-6.683581,-0.893597,0.139018,-7.132079,-0.930409,0.139018
-8.095807,-1.780773,0.139022,-6.648891,-1.043457,0.139022,-6.992521,-1.137999,0.139022
-7.824585,-2.218714,0.139023,-6.581025,-1.201757,0.139023,-6.854192,-1.346378,0.139023
-7.561179,-2.502861,0.139032,-6.484544,-1.335217,0.139032,-6.722835,-1.559896,0.139032
-7.254676,-2.755855,0.139408,-6.377061,-1.433962,0.139408,-6.595245,-1.775201,0.139408
-6.979234,-2.928640,0.139501,-6.262730,-1.500550,0.139501,-6.468683,-1.992062,0.139501
-6.737856,-3.048305,0.139469,-6.122011,-1.541749,0.139469,-6.341425,-2.208895,0.139469
-6.511199,-3.142778,0.139670,-5.955464,-1.564565,0.139670,-6.215498,-2.424867,0.139670
-6.288029,-3.221747,0.139253,-5.820930,-1.577010,0.139253,-6.089321,-2.643096,0.139253
-6.046667,-3.295185,0.139219,-5.716146,-1.583908,0.139219,-5.924032,-2.831454,0.139219
-5.806012,-3.355590,0.139571,-5.569187,-1.596545,0.139571,-5.689610,-2.919283,0.139571
-5.569758,-3.404152,0.140016,-5.390123,-1.605003,0.140016,-5.470710,-2.797897,0.140016
-5.316896,-3.442974,0.139019,-5.154851,-1.618067,0.139019,-5.233335,-2.718396,0.139019
-5.042683,-3.475143,0.139036,-4.942580,-1.625367,0.139036,-4.983373,-2.694505,0.139036
-4.754072,-3.495209,0.139013,-4.685982,-1.637227,0.139013,-4.733092,-2.675695,0.139013
-4.481057,-3.495982,0.139014,-4.459115,-1.642597,0.139014,-4.483491,-2.655176,0.139014
-4.223839,-3.487262,0.138991,-4.223654,-1.648236,0.138991,-4.233973,-2.633704,0.138991
-3.964707,-3.480922,0.138988,-3.988106,-1.647453,0.138988,-3.984730,-2.612658,0.138988
-3.724355,-3.478334,0.138988,-3.728434,-1.646890,0.138988,-3.735260,-2.590641,0.138988
-3.467867,-3.477176,0.138990,-3.475439,-1.646160,0.138990,-3.485063,-2.568771,0.138990
-3.222478,-3.470861,0.139016,-3.228700,-1.646528,0.139016,-3.235155,-2.547130,0.139016
-2.962976,-3.464899,0.138996,-2.988144,-1.646636,0.138996,-2.985195,-2.524536,0.138996
-2.735927,-3.455620,0.138986,-2.740997,-1.646881,0.138986,-2.735378,-2.502707,0.138986
-2.487089,-3.448923,0.139014,-2.488917,-1.646348,0.139014,-2.485059,-2.480600,0.139014
