x_m,y_m
0.780174,0.741797
0.824111,0.741753
0.867099,0.741626
0.907469,0.741461
0.957285,0.745216
1.013173,0.749103
1.068746,0.752754
1.121115,0.756577
1.178826,0.760254
1.237347,0.763956
1.299486,0.767435
1.361901,0.767838
1.429833,0.771057
1.485399,0.767610
1.535130,0.763337
1.580763,0.759155
1.629172,0.755320
1.672121,0.753607
1.726850,0.754663
1.781822,0.755931
1.837476,0.760838
1.893437,0.763034
1.949706,0.768013
2.010965,0.773811
2.076283,0.779469
2.141609,0.784724
2.208648,0.788011
2.296072,0.776813
2.377245,0.765601
2.453885,0.756375
2.531145,0.747091
2.603427,0.737716
2.665024,0.725692
2.724952,0.716379
2.775775,0.707075
2.823037,0.697929
2.832557,0.700501
2.841133,0.703024
2.869739,0.711695
2.871625,0.711695
2.898525,0.721354
2.936653,0.733380
2.979382,0.743049
3.033422,0.754220
3.092896,0.763964
3.155635,0.775086
3.221564,0.784878
3.276498,0.788946
3.355387,0.802008
3.421987,0.807440
3.488682,0.813138
3.550137,0.818747
3.611774,0.823007
3.672765,0.829328
3.738927,0.834355
3.811131,0.840868
3.878650,0.843441
3.943227,0.845609
3.999265,0.845761
4.054064,0.845804
4.109557,0.845804
4.165832,0.845773
4.221522,0.847387
4.280049,0.846256
4.330288,0.845153
4.383881,0.845052
4.444297,0.845242
4.505414,0.847326
4.569196,0.847163
4.628176,0.846963
4.683208,0.846692
4.738788,0.844195
4.786290,0.843938
4.838484,0.843427
4.884723,0.842889
4.928965,0.842555
4.970331,0.843314
5.009984,0.846467
5.056467,0.850237
5.103733,0.854757
5.153655,0.859459
5.205934,0.864990
5.254249,0.871371
5.305136,0.878416
5.355439,0.885071
5.408345,0.889285
5.466310,0.891529
5.524453,0.893154
5.585160,0.894043
5.637514,0.894647
5.689220,0.894971
5.744190,0.898310
5.800299,0.901000
5.855725,0.904340
5.916820,0.907287
5.972931,0.912357
6.025722,0.917482
6.072912,0.922969
6.126255,0.928478
6.185503,0.933958
6.244197,0.935693
