x_m,y_m
0.769295,-0.690858
0.833366,-0.690746
0.895441,-0.683412
0.951758,-0.676128
1.003439,-0.669249
1.056592,-0.661879
1.109509,-0.655430
1.161201,-0.649684
1.209591,-0.644304
1.257513,-0.638335
1.301868,-0.638043
1.350692,-0.639779
1.405180,-0.641537
1.458695,-0.642976
1.511106,-0.644913
1.563303,-0.645965
1.605704,-0.647026
1.649681,-0.647745
1.685024,-0.648476
1.715750,-0.648591
1.795628,-0.645214
1.872928,-0.640371
1.950713,-0.638458
2.025339,-0.633178
2.098174,-0.627887
2.175860,-0.622571
2.253064,-0.617185
2.336528,-0.611788
2.419722,-0.606558
2.457964,-0.599224
2.499271,-0.593374
2.538974,-0.584492
2.589827,-0.579010
2.644830,-0.573557
2.700367,-0.568104
2.758447,-0.562458
2.819897,-0.556103
2.883987,-0.549292
2.939750,-0.542958
2.995119,-0.536586
3.048087,-0.530241
3.101230,-0.523793
3.162086,-0.510037
3.220038,-0.498230
3.273275,-0.486829
3.322608,-0.476354
3.370076,-0.466089
3.424779,-0.460837
3.477801,-0.455553
3.535474,-0.450220
3.590533,-0.444891
3.642265,-0.441069
3.691751,-0.435336
3.746546,-0.429533
3.801523,-0.423513
3.859083,-0.417831
3.908976,-0.415751
3.959991,-0.412061
4.009740,-0.407032
4.065652,-0.400571
4.115945,-0.399630
4.173285,-0.398444
4.226782,-0.396844
4.280242,-0.394928
4.328279,-0.393935
4.376201,-0.389404
4.432536,-0.387167
4.492064,-0.386916
4.542399,-0.392079
4.587862,-0.393722
4.631209,-0.395701
4.686298,-0.398037
4.741985,-0.404369
4.802381,-0.406298
4.864993,-0.407742
4.920890,-0.408532
4.972587,-0.408376
5.021508,-0.404407
5.080051,-0.407351
5.142102,-0.407383
5.194039,-0.407323
5.249753,-0.403538
5.303228,-0.403142
5.353804,-0.403214
5.403623,-0.403103
5.453061,-0.403292
5.508487,-0.403868
5.561361,-0.400761
5.613239,-0.400367
5.661477,-0.400629
5.711212,-0.400852
5.758636,-0.400957
5.812879,-0.401173
5.865107,-0.401607
5.915583,-0.401905
5.964867,-0.401609
6.003295,-0.401765
6.038086,-0.402014
6.074120,-0.401541
6.110834,-0.406801
6.148783,-0.412268
6.181119,-0.417729
6.209845,-0.423156
6.242020,-0.431684
6.275074,-0.441854
6.311936,-0.452913
6.347759,-0.464604
6.378467,-0.477159
6.405823,-0.485225
6.428271,-0.493980
6.449135,-0.502658
6.471947,-0.513546
6.491595,-0.524536
6.506554,-0.534876
6.520127,-0.544640
6.532062,-0.553788
6.550003,-0.566185
6.562847,-0.577197
6.577115,-0.589523
6.589234,-0.604022
6.599008,-0.616227
6.606716,-0.627556
6.614860,-0.638349
6.622595,-0.648889
6.629188,-0.664554
6.636286,-0.676223
6.643133,-0.688911
6.648937,-0.700559
6.654136,-0.713991
6.659962,-0.727386
6.665302,-0.739044
6.669105,-0.755521
6.672721,-0.775189
6.674974,-0.790768
6.674255,-0.807484
6.674440,-0.823516
6.674083,-0.838506
6.674412,-0.854556
6.674677,-0.876527
6.674770,-0.897663
6.674544,-0.915955
6.675233,-0.928786
6.672843,-0.945336
6.672032,-0.960929
6.668545,-0.976233
6.664555,-0.992421
6.659750,-1.008893
6.654264,-1.019568
6.648679,-1.030721
6.643241,-1.041879
6.634236,-1.053466
6.628408,-1.062667
6.622169,-1.075936
6.610830,-1.088730
6.600005,-1.104314
6.584807,-1.115827
6.569989,-1.127897
6.549839,-1.142652
6.524045,-1.156847
6.496176,-1.172939
6.468997,-1.190415
6.440650,-1.203771
6.411931,-1.217955
6.376124,-1.228245
6.342694,-1.237709
6.306419,-1.243817
6.270217,-1.249821
6.231963,-1.253896
6.192818,-1.255541
6.148409,-1.255904
6.098140,-1.256084
6.048004,-1.256082
5.998350,-1.256366
5.948504,-1.256225
5.902859,-1.258883
5.855476,-1.258712
5.808955,-1.259529
5.768648,-1.263054
5.722708,-1.264910
5.655476,-1.276942
5.600844,-1.288983
5.540977,-1.305967
5.480028,-1.321601
5.417501,-1.338560
5.361428,-1.355766
5.311133,-1.377061
5.255829,-1.398820
5.211109,-1.419722
5.193301,-1.430584
5.160292,-1.441693
5.132768,-1.452507
5.118213,-1.464751
5.086560,-1.476166
5.048788,-1.487885
5.006295,-1.499216
4.957189,-1.511208
4.897734,-1.529000
4.836491,-1.551095
4.784766,-1.572941
4.735367,-1.590016
4.671902,-1.607469
4.619893,-1.625210
4.575204,-1.645871
4.530183,-1.663092
4.485987,-1.679700
4.452334,-1.691458
4.414992,-1.702673
4.377465,-1.713674
4.340316,-1.726989
4.303791,-1.742469
4.270224,-1.754427
4.229958,-1.767254
4.186068,-1.783472
4.152973,-1.798904
4.120165,-1.812654
4.086916,-1.824118
4.041486,-1.847626
4.007400,-1.858035
3.979632,-1.867379
3.943042,-1.886156
3.912210,-1.903282
3.888602,-1.910719
3.857461,-1.922371
3.836533,-1.935797
3.808915,-1.947709
3.784686,-1.947764
3.745374,-1.963489
3.702496,-1.979793
3.672762,-1.987273
3.632145,-1.993150
3.592859,-2.008136
3.551458,-2.019916
3.499740,-2.034830
3.454984,-2.050370
3.418638,-2.066324
3.380260,-2.078262
3.341899,-2.091649
3.302642,-2.104112
3.266572,-2.118741
3.225730,-2.133146
3.197658,-2.144423
3.152970,-2.157307
3.119439,-2.168897
3.081204,-2.180670
3.046686,-2.195532
3.019140,-2.204734
2.980601,-2.218339
2.947174,-2.230830
2.925164,-2.239446
2.888911,-2.251404
2.861590,-2.261981
2.827546,-2.272686
2.792624,-2.287345
2.758410,-2.297091
2.719964,-2.310969
2.680647,-2.324099
2.638561,-2.340333
2.585911,-2.356371
2.544116,-2.371342
2.501425,-2.387680
2.457508,-2.400254
2.419991,-2.408366
2.382346,-2.421811
2.338183,-2.433709
2.291493,-2.445983
2.246839,-2.457350
2.202864,-2.469504
2.152699,-2.488521
2.106251,-2.500376
2.062353,-2.520434
