,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,6.518435,0.276881,-0.034475,0.692941,-0.118419,-8.476319,7.231350,16.732976
1,0.199544,6.535377,0.268305,-0.050554,0.439270,0.097994,-8.500979,5.873102,16.732976
2,0.399089,6.544843,0.258116,-0.047628,0.178909,0.277871,-8.550900,4.594294,16.732976
3,0.598633,6.546273,0.250023,-0.030969,-0.086923,0.420699,-8.716711,3.412046,16.732976
4,0.798177,6.539400,0.245394,-0.016338,-0.356901,0.526379,-8.939407,2.259318,16.732976
5,0.997721,6.524346,0.242572,-0.014608,-0.629701,0.595325,-9.085231,1.082984,16.732976
6,1.197266,6.501187,0.238899,-0.023724,-0.904069,0.628031,-9.007302,-0.115815,16.732976
7,1.396810,6.469424,0.233502,-0.028374,-1.178784,0.624498,-8.771776,-1.294993,16.732976
8,1.596354,6.428352,0.228585,-0.017933,-1.452609,0.584073,-8.659991,-2.486224,16.732976
9,1.795898,6.378532,0.226150,-0.009538,-1.724229,0.506093,-8.803943,-3.785466,16.732976
10,1.995443,6.321935,0.222650,-0.034862,-1.992364,0.390802,-8.821446,-5.073228,16.732976
11,2.194987,6.258466,0.211218,-0.088257,-2.255946,0.239216,-8.305472,-6.014286,16.732976
12,2.394531,6.184533,0.189925,-0.126089,-2.513442,0.052754,-7.627630,-6.745991,16.732976
13,2.594075,6.098130,0.164005,-0.126398,-2.763240,-0.168171,-7.094255,-7.523823,16.732976
14,2.793620,6.000528,0.140419,-0.102290,-3.003383,-0.422856,-6.638315,-8.336131,16.732976
15,2.993164,5.893263,0.122570,-0.072724,-3.231784,-0.709673,-6.159399,-9.099342,16.732976
16,3.192708,5.776980,0.110338,-0.049414,-3.446289,-1.026562,-5.614183,-9.759141,16.732976
17,3.392252,5.651729,0.101850,-0.036407,-3.644621,-1.371324,-4.990216,-10.287016,16.732976
18,3.591797,5.517272,0.095091,-0.031952,-3.824292,-1.741703,-4.300126,-10.696640,16.732976
19,3.791341,5.373605,0.088415,-0.036581,-3.982559,-2.135397,-3.557227,-11.012269,16.732976
20,3.990885,5.221176,0.079400,-0.057376,-4.116458,-2.549913,-2.748921,-11.185666,16.732976
21,4.190429,5.059922,0.064385,-0.096417,-4.222769,-2.982504,-1.868905,-11.141774,16.732976
22,4.389974,4.888755,0.040476,-0.143429,-4.297856,-3.430148,-0.942088,-10.908394,16.732976
23,4.589518,4.706966,0.007118,-0.187116,-4.337521,-3.889427,0.010047,-10.560538,16.732976
24,4.789062,4.515249,-0.034662,-0.225015,-4.337077,-4.356224,0.980499,-10.120581,16.732976
25,4.988606,4.315214,-0.083820,-0.259709,-4.291616,-4.825465,1.965934,-9.604756,16.732976
26,5.188151,4.109547,-0.139353,-0.290415,-4.196345,-5.290919,2.976776,-9.059575,16.732976
27,5.387695,3.902951,-0.199192,-0.313387,-4.047139,-5.745017,4.022102,-8.479012,16.732976
28,5.587239,3.701095,-0.260672,-0.328900,-3.841297,-6.178952,5.124800,-7.878206,16.732976
29,5.786783,3.510775,-0.321135,-0.335054,-3.578387,-6.583116,6.482136,-7.478094,16.732976
30,5.986328,3.343777,-0.375066,-0.314022,-3.261877,-6.948257,8.424495,-7.458082,16.732976
31,6.185872,3.211449,-0.414639,-0.244773,-2.900043,-7.268583,10.759113,-7.431765,16.732976
32,6.385416,3.111520,-0.437021,-0.132970,-2.501991,-7.543535,12.298034,-6.594791,16.732976
33,6.584960,3.032200,-0.444505,-0.007888,-2.075813,-7.772071,12.203911,-4.836847,16.732976
34,6.784505,2.964236,-0.439129,0.098474,-1.627920,-7.949587,11.020170,-2.860058,16.732976
35,6.984049,2.905349,-0.422474,0.161309,-1.162850,-8.070287,9.848207,-1.165982,16.732976
36,7.183593,2.860576,-0.398536,0.176090,-0.685825,-8.126764,9.211818,0.248279,16.732976
37,7.383137,2.837354,-0.373216,0.166264,-0.206224,-8.113838,9.108104,1.583692,16.732976
38,7.582682,2.838857,-0.349009,0.171700,0.264402,-8.032007,9.208839,2.961168,16.732976
39,7.782226,2.862926,-0.322376,0.220131,0.716383,-7.886669,9.447573,2.374021,16.732976
40,7.981770,2.908267,-0.286653,0.304777,1.170441,-7.772572,8.146899,3.286805,16.732976
41,8.181314,2.978134,-0.235060,0.399174,1.583766,-7.605819,6.366676,3.822103,16.732976
42,8.380859,3.078662,-0.161491,0.475608,1.946374,-7.388135,4.655900,4.150580,16.732976
43,8.580403,3.213802,-0.064749,0.510229,2.246503,-7.120580,3.309365,4.555819,16.732976
44,8.779947,3.376023,0.045470,0.500538,2.473959,-6.807453,2.228062,5.177042,16.732976
45,8.979491,3.548788,0.154115,0.457857,2.624944,-6.456630,1.255455,6.054034,16.732976
46,9.179036,3.715520,0.247935,0.388300,2.703513,-6.077757,0.270516,7.153588,16.732976
47,9.378580,3.866803,0.319622,0.300349,2.718608,-5.678571,-0.779494,8.307694,16.732976
48,9.578124,4.001091,0.368530,0.202192,2.679828,-5.265258,-1.881171,9.455489,16.732976
49,9.777668,4.119168,0.395655,0.094733,2.595618,-4.841987,-2.884961,10.049610,16.732976
50,9.977213,4.227762,0.403245,-0.004937,2.471974,-4.411279,-3.581561,9.763559,16.732976
