s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,0.776208,0.103695,-0.143553,0.009608,-0.060727,-0.000802,0.119233,0.005983,0.005497,-0.796299,0.637891,0.012734,0.005888,0.119018
0.199544,0.975354,0.107465,-0.131568,0.025669,-0.059430,0.000144,0.041741,0.007018,0.003989,-0.778741,0.636825,0.006468,0.007024,0.041666
0.399089,1.174484,0.112718,-0.119848,0.023619,-0.058141,0.000168,-0.062282,0.005898,-0.003756,-0.756485,0.646504,-0.007375,0.005887,-0.062178
0.598633,1.373670,0.116013,-0.108383,0.008595,-0.056778,-0.000489,-0.088308,0.007765,-0.002827,-0.754585,0.655510,-0.007839,0.007808,-0.088162
0.798177,1.572902,0.116316,-0.097248,-0.003817,-0.054715,-0.000982,-0.036090,0.012911,-0.002106,-0.763426,0.642049,-0.004080,0.012947,-0.036023
0.997721,1.772160,0.115375,-0.086614,-0.002929,-0.051804,-0.001120,0.044989,0.016264,0.000722,-0.763549,0.640413,0.003052,0.016214,0.044947
1.197266,1.971450,0.115884,-0.076577,0.009037,-0.048974,-0.000396,0.074936,0.012110,0.006535,-0.752286,0.653544,0.010203,0.012080,0.074851
1.396810,2.170743,0.118687,-0.066976,0.016640,-0.047666,0.000717,0.001266,0.000999,0.004617,-0.740230,0.669943,0.004678,0.001000,0.001264
1.596354,2.370037,0.121512,-0.057409,0.009114,-0.048655,0.000348,-0.076693,-0.010914,-0.008313,-0.730808,0.649796,-0.012043,-0.010940,-0.076598
1.795898,2.569330,0.122439,-0.047457,0.003385,-0.051281,-0.001943,0.019268,-0.015406,-0.014658,-0.708607,0.616920,-0.013671,-0.015444,0.019212
1.995443,2.768574,0.125069,-0.036958,0.030904,-0.053824,-0.002393,0.256556,-0.010088,0.010153,-0.688465,0.572650,0.023956,-0.010701,0.256160
2.194987,2.967465,0.136570,-0.026089,0.085878,-0.054824,0.000109,0.294439,0.000072,0.014925,-0.671525,0.586540,0.031059,0.000104,0.293997
2.394531,3.165527,0.158153,-0.015212,0.124496,-0.053966,0.001025,0.092618,0.008523,-0.005750,-0.653841,0.612415,-0.000755,0.008617,0.092474
2.594075,3.363172,0.183506,-0.004651,0.124497,-0.051781,-0.000194,-0.092601,0.013380,-0.006467,-0.645389,0.613901,-0.011260,0.013398,-0.092475
2.793620,3.561191,0.205941,0.005389,0.098700,-0.048778,-0.000856,-0.165965,0.016717,-0.000161,-0.652300,0.610993,-0.008254,0.016859,-0.165753
2.993164,3.759833,0.222310,0.014767,0.065816,-0.045153,-0.000816,-0.163624,0.019617,0.000557,-0.648010,0.612266,-0.006828,0.019750,-0.163441
3.192708,3.958926,0.232446,0.023385,0.037292,-0.041262,-0.000653,-0.122265,0.019377,0.001078,-0.642752,0.613570,-0.003966,0.019457,-0.122148
3.392252,4.158242,0.237712,0.031260,0.016852,-0.037826,-0.000335,-0.082602,0.015068,0.002107,-0.636094,0.608362,-0.001017,0.015096,-0.082538
3.591797,4.357642,0.239560,0.038550,0.002346,-0.035486,-0.000170,-0.062786,0.008381,-0.000450,-0.630629,0.605396,-0.002677,0.008392,-0.062745
3.791341,4.557064,0.239047,0.045509,-0.006138,-0.034503,-0.000541,-0.022255,0.001470,-0.003266,-0.627794,0.608555,-0.004034,0.001482,-0.022241
3.990885,4.756486,0.237951,0.052401,-0.001993,-0.034782,-0.000856,0.063798,-0.004264,0.000104,-0.641402,0.606611,0.002323,-0.004319,0.063756
4.190429,4.955898,0.239189,0.059464,0.016241,-0.036218,-0.000551,0.118965,-0.010130,0.002952,-0.647185,0.603457,0.007259,-0.010195,0.118881
4.389974,5.155225,0.244619,0.066944,0.037360,-0.039038,-0.000196,0.092703,-0.018132,0.000614,-0.650573,0.612132,0.004232,-0.018150,0.092629
4.589518,5.354403,0.253448,0.075156,0.048925,-0.043611,-0.000351,0.023217,-0.027707,-0.002172,-0.656823,0.629671,-0.001160,-0.027715,0.023185
4.789062,5.553489,0.263241,0.084463,0.047283,-0.049977,-0.000760,-0.039683,-0.036097,-0.001925,-0.664816,0.631105,-0.003907,-0.036067,-0.039660
