right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
0.769295,-0.690858,-0.138526,0.780174,0.741797,-0.138526,0.775306,0.100782,-0.138526
0.833366,-0.690746,-0.134861,0.824111,0.741753,-0.134861,0.828253,0.100626,-0.134861
0.895441,-0.683412,-0.134306,0.867099,0.741626,-0.134306,0.879812,0.102415,-0.134306
0.951758,-0.676128,-0.135497,0.907469,0.741461,-0.135497,0.927389,0.103863,-0.135497
1.003439,-0.669249,-0.131270,0.957285,0.745216,-0.131270,0.978126,0.106506,-0.131270
1.056592,-0.661879,-0.130656,1.013173,0.749103,-0.130656,1.032884,0.108565,-0.130656
1.109509,-0.655430,-0.124806,1.068746,0.752754,-0.124806,1.087325,0.110937,-0.124806
1.161201,-0.649684,-0.122842,1.121115,0.756577,-0.122842,1.139463,0.112914,-0.122842
1.209591,-0.644304,-0.119894,1.178826,0.760254,-0.119894,1.192958,0.115051,-0.119894
1.257513,-0.638335,-0.118087,1.237347,0.763956,-0.118087,1.246657,0.116534,-0.118087
1.301868,-0.638043,-0.112536,1.299486,0.767435,-0.112536,1.300587,0.117733,-0.112536
1.350692,-0.639779,-0.110629,1.361901,0.767838,-0.110629,1.356726,0.118001,-0.110629
1.405180,-0.641537,-0.107278,1.429833,0.771057,-0.107278,1.418435,0.117959,-0.107278
1.458695,-0.642976,-0.104967,1.485399,0.767610,-0.104967,1.473087,0.117259,-0.104967
1.511106,-0.644913,-0.100051,1.535130,0.763337,-0.100051,1.524107,0.117161,-0.100051
1.563303,-0.645965,-0.098138,1.580763,0.759155,-0.098138,1.572782,0.116843,-0.098138
1.605704,-0.647026,-0.094729,1.629172,0.755320,-0.094729,1.618494,0.117227,-0.094729
1.649681,-0.647745,-0.091838,1.672121,0.753607,-0.091838,1.661921,0.116632,-0.091838
1.685024,-0.648476,-0.088010,1.726850,0.754663,-0.088010,1.707845,0.117095,-0.088010
1.715750,-0.648591,-0.084396,1.781822,0.755931,-0.084396,1.751681,0.115204,-0.084396
1.795628,-0.645214,-0.083497,1.837476,0.760838,-0.083497,1.818203,0.113293,-0.083497
1.872928,-0.640371,-0.080315,1.893437,0.763034,-0.080315,1.883930,0.112502,-0.080315
1.950713,-0.638458,-0.076157,1.949706,0.768013,-0.076157,1.950175,0.112766,-0.076157
2.025339,-0.633178,-0.073462,2.010965,0.773811,-0.073462,2.017707,0.113847,-0.073462
2.098174,-0.627887,-0.069690,2.076283,0.779469,-0.069690,2.086610,0.115579,-0.069690
2.175860,-0.622571,-0.066220,2.141609,0.784724,-0.066220,2.157853,0.117286,-0.066220
2.253064,-0.617185,-0.064397,2.208648,0.788011,-0.064397,2.229746,0.120518,-0.064397
2.336528,-0.611788,-0.061006,2.296072,0.776813,-0.061006,2.315106,0.123492,-0.061006
2.419722,-0.606558,-0.057610,2.377245,0.765601,-0.057610,2.397017,0.126893,-0.057610
2.457964,-0.599224,-0.055601,2.453885,0.756375,-0.055601,2.455773,0.129074,-0.055601
2.499271,-0.593374,-0.052171,2.531145,0.747091,-0.052171,2.516442,0.128761,-0.052171
2.538974,-0.584492,-0.048562,2.603427,0.737716,-0.048562,2.573683,0.127546,-0.048562
2.589827,-0.579010,-0.044927,2.665024,0.725692,-0.044927,2.630387,0.124716,-0.044927
2.644830,-0.573557,-0.042169,2.724952,0.716379,-0.042169,2.688051,0.122278,-0.042169
2.700367,-0.568104,-0.039568,2.775775,0.707075,-0.039568,2.741019,0.119341,-0.039568
2.758447,-0.562458,-0.036770,2.823037,0.697929,-0.036770,2.793289,0.117429,-0.036770
2.819897,-0.556103,-0.034395,2.832557,0.700501,-0.034395,2.826673,0.116440,-0.034395
2.883987,-0.549292,-0.030928,2.841133,0.703024,-0.030928,2.861146,0.118179,-0.030928
2.939750,-0.542958,-0.029270,2.869739,0.711695,-0.029270,2.902728,0.120508,-0.029270
2.995119,-0.536586,-0.026821,2.871625,0.711695,-0.026821,2.929816,0.123495,-0.026821
3.048087,-0.530241,-0.024198,2.898525,0.721354,-0.024198,2.969360,0.128575,-0.024198
3.101230,-0.523793,-0.021764,2.936653,0.733380,-0.021764,3.014962,0.135189,-0.021764
3.162086,-0.510037,-0.019583,2.979382,0.743049,-0.019583,3.066896,0.142831,-0.019583
3.220038,-0.498230,-0.016292,3.033422,0.754220,-0.016292,3.123077,0.152509,-0.016292
3.273275,-0.486829,-0.014068,3.092896,0.763964,-0.014068,3.179833,0.161122,-0.014068
3.322608,-0.476354,-0.010802,3.155635,0.775086,-0.010802,3.236308,0.170449,-0.010802
3.370076,-0.466089,-0.008157,3.221564,0.784878,-0.008157,3.293643,0.177729,-0.008157
3.424779,-0.460837,-0.004487,3.276498,0.788946,-0.004487,3.348107,0.185395,-0.004487
3.477801,-0.455553,-0.002991,3.355387,0.802008,-0.002991,3.414624,0.193463,-0.002991
3.535474,-0.450220,-0.000116,3.421987,0.807440,-0.000116,3.476835,0.199619,-0.000116
3.590533,-0.444891,0.001989,3.488682,0.813138,0.001989,3.537837,0.205992,0.001989
3.642265,-0.441069,0.006508,3.550137,0.818747,0.006508,3.594594,0.210819,0.006508
3.691751,-0.435336,0.009038,3.611774,0.823007,0.009038,3.650375,0.215668,0.009038
3.746546,-0.429533,0.013001,3.672765,0.829328,0.013001,3.708494,0.219708,0.013001
3.801523,-0.423513,0.016515,3.738927,0.834355,0.016515,3.769295,0.224113,0.016515
3.859083,-0.417831,0.019121,3.811131,0.840868,0.019121,3.834494,0.227610,0.019121
3.908976,-0.415751,0.020866,3.878650,0.843441,0.020866,3.893416,0.230345,0.020866
3.959991,-0.412061,0.024204,3.943227,0.845609,0.024204,3.951405,0.232052,0.024204
4.009740,-0.407032,0.025518,3.999265,0.845761,0.025518,4.004386,0.233344,0.025518
4.065652,-0.400571,0.027710,4.054064,0.845804,0.027710,4.059747,0.234587,0.027710
4.115945,-0.399630,0.030207,4.109557,0.845804,0.030207,4.112685,0.235876,0.030207
4.173285,-0.398444,0.031382,4.165832,0.845773,0.031382,4.169480,0.236778,0.031382
4.226782,-0.396844,0.033556,4.221522,0.847387,0.033556,4.224098,0.238086,0.033556
4.280242,-0.394928,0.035424,4.280049,0.846256,0.035424,4.280143,0.238862,0.035424
4.328279,-0.393935,0.037611,4.330288,0.845153,0.037611,4.329306,0.239667,0.037611
4.376201,-0.389404,0.040008,4.383881,0.845052,0.040008,4.380119,0.240315,0.040008
4.432536,-0.387167,0.040923,4.444297,0.845242,0.040923,4.438526,0.240557,0.040923
4.492064,-0.386916,0.042735,4.505414,0.847326,0.042735,4.498854,0.240807,0.042735
4.542399,-0.392079,0.045138,4.569196,0.847163,0.045138,4.556085,0.240854,0.045138
4.587862,-0.393722,0.046190,4.628176,0.846963,0.046190,4.608456,0.240065,0.046190
4.631209,-0.395701,0.047190,4.683208,0.846692,0.047190,4.657780,0.239140,0.047190
4.686298,-0.398037,0.051211,4.738788,0.844195,0.051211,4.713144,0.237305,0.051211
4.741985,-0.404369,0.053068,4.786290,0.843938,0.053068,4.764721,0.236234,0.053068
4.802381,-0.406298,0.055004,4.838484,0.843427,0.055004,4.820910,0.235091,0.055004
4.864993,-0.407742,0.055384,4.884723,0.842889,0.055384,4.875128,0.234674,0.055384
4.920890,-0.408532,0.059941,4.928965,0.842555,0.059941,4.925044,0.235059,0.059941
4.972587,-0.408376,0.061282,4.970331,0.843314,0.061282,4.971426,0.235684,0.061282
5.021508,-0.404407,0.062126,5.009984,0.846467,0.062126,5.015600,0.236849,0.062126
5.080051,-0.407351,0.063825,5.056467,0.850237,0.063825,5.067945,0.238206,0.063825
5.142102,-0.407383,0.066520,5.103733,0.854757,0.066520,5.122406,0.240499,0.066520
5.194039,-0.407323,0.067168,5.153655,0.859459,0.067168,5.173306,0.243034,0.067168
5.249753,-0.403538,0.070027,5.205934,0.864990,0.070027,5.227333,0.245499,0.070027
5.303228,-0.403142,0.072681,5.254249,0.871371,0.072681,5.278193,0.248302,0.072681
5.353804,-0.403214,0.074023,5.305136,0.878416,0.074023,5.328959,0.251054,0.074023
5.403623,-0.403103,0.076150,5.355439,0.885071,0.076150,5.379052,0.253789,0.076150
5.453061,-0.403292,0.077985,5.408345,0.889285,0.077985,5.430236,0.256497,0.077985
5.508487,-0.403868,0.081188,5.466310,0.891529,0.081188,5.486899,0.259180,0.081188
5.561361,-0.400761,0.083318,5.524453,0.893154,0.083318,5.542462,0.261814,0.083318
5.613239,-0.400367,0.085123,5.585160,0.894043,0.085123,5.598826,0.264033,0.085123
5.661477,-0.400629,0.088196,5.637514,0.894647,0.088196,5.649148,0.265803,0.088196
5.711212,-0.400852,0.091472,5.689220,0.894971,0.091472,5.699868,0.267571,0.091472
5.758636,-0.400957,0.094956,5.744190,0.898310,0.094956,5.751185,0.269212,0.094956
5.812879,-0.401173,0.098048,5.800299,0.901000,0.098048,5.806391,0.270430,0.098048
5.865107,-0.401607,0.100525,5.855725,0.904340,0.100525,5.860268,0.271962,0.100525
5.915583,-0.401905,0.104910,5.916820,0.907287,0.104910,5.916221,0.272885,0.104910
5.964867,-0.401609,0.107871,5.972931,0.912357,0.107871,5.969011,0.273578,0.107871
6.003295,-0.401765,0.110782,6.025722,0.917482,0.110782,6.014782,0.273949,0.110782
6.038086,-0.402014,0.114727,6.072912,0.922969,0.114727,6.055850,0.273828,0.114727
6.074120,-0.401541,0.117620,6.126255,0.928478,0.117620,6.100576,0.273374,0.117620
6.110834,-0.406801,0.121594,6.185503,0.933958,0.121594,6.148633,0.271913,0.121594
6.148783,-0.412268,0.124241,6.244197,0.935693,0.124241,6.197055,0.269695,0.124241
6.181119,-0.417729,0.127210,6.304318,0.937427,0.127210,6.243363,0.266935,0.127210
6.209845,-0.423156,0.130564,6.370962,0.940104,0.130564,6.290921,0.262857,0.130564
6.242020,-0.431684,0.133902,6.431968,0.942429,0.133902,6.337298,0.257575,0.133902
6.275074,-0.441854,0.137989,6.492513,0.944288,0.137989,6.383873,0.251724,0.137989
6.311936,-0.452913,0.139790,6.553849,0.944952,0.139790,6.432606,0.244361,0.139790
6.347759,-0.464604,0.142692,6.615648,0.945070,0.142692,6.481023,0.236650,0.142692
6.378467,-0.477159,0.146284,6.676833,0.946355,0.146284,6.526326,0.228281,0.146284
6.405823,-0.485225,0.149381,6.732089,0.947135,0.149381,6.566571,0.220486,0.149381
6.428271,-0.493980,0.154259,6.784422,0.947439,0.154259,6.602850,0.212579,0.154259
6.449135,-0.502658,0.156927,6.839761,0.948660,0.156927,6.639408,0.204277,0.156927
6.471947,-0.513546,0.160179,6.889634,0.948184,0.160179,6.674424,0.195038,0.160179
6.491595,-0.524536,0.165755,6.940900,0.949508,0.165755,6.708302,0.186418,0.165755
6.506554,-0.534876,0.171540,6.994066,0.950219,0.171540,6.740143,0.176701,0.171540
6.520127,-0.544640,0.175544,7.049983,0.953135,0.175544,6.772014,0.167385,0.175544
6.532062,-0.553788,0.179349,7.110986,0.956362,0.179349,6.804067,0.155749,0.179349
6.550003,-0.566185,0.182611,7.172727,0.955627,0.182611,6.840273,0.143176,0.182611
6.562847,-0.577197,0.185826,7.308359,0.918705,0.185826,6.907775,0.114917,0.185826
6.577115,-0.589523,0.189423,7.453234,0.869456,0.189423,6.977299,0.076894,0.189423
6.589234,-0.604022,0.193577,7.595881,0.805631,0.193577,7.045074,0.034311,0.193577
6.599008,-0.616227,0.197684,7.742468,0.713408,0.197684,7.113347,-0.018145,0.197684
6.606716,-0.627556,0.200826,7.885772,0.608453,0.200826,7.176682,-0.076772,0.200826
6.614860,-0.638349,0.204850,8.022912,0.488852,0.204850,7.235177,-0.141761,0.204850
6.622595,-0.648889,0.212209,8.151572,0.361072,0.212209,7.285925,-0.210729,0.212209
6.629188,-0.664554,0.217180,8.269425,0.216634,0.217180,7.332845,-0.286527,0.217180
6.636286,-0.676223,0.221694,8.381227,0.069374,0.221694,7.369417,-0.362963,0.221694
6.643133,-0.688911,0.225949,8.414375,-0.046703,0.225949,7.390864,-0.417802,0.225949
6.648937,-0.700559,0.229885,8.437611,-0.161009,0.229885,7.410131,-0.470946,0.229885
6.654136,-0.713991,0.239624,8.451538,-0.267183,0.239624,7.424199,-0.522565,0.239624
6.659962,-0.727386,0.244608,8.456706,-0.347867,0.244608,7.434754,-0.563730,0.244608
6.665302,-0.739044,0.249953,8.457416,-0.425662,0.249953,7.442824,-0.603081,0.249953
6.669105,-0.755521,0.253277,8.457323,-0.493599,0.253277,7.449825,-0.641168,0.253277
6.672721,-0.775189,0.258748,8.457097,-0.559950,0.258748,7.455756,-0.680736,0.258748
6.674974,-0.790768,0.261364,8.456765,-0.615538,0.261364,7.460062,-0.713559,0.261364
6.674255,-0.807484,0.264025,8.456046,-0.676653,0.264025,7.464039,-0.749493,0.264025
6.674440,-0.823516,0.268702,8.451130,-0.748979,0.268702,7.467158,-0.790259,0.268702
6.674083,-0.838506,0.269572,8.446366,-0.812034,0.269572,7.468776,-0.826636,0.269572
6.674412,-0.854556,0.274251,8.441973,-0.874222,0.274251,7.469700,-0.863404,0.274251
6.674677,-0.876527,0.278689,8.437087,-0.930962,0.278689,7.469415,-0.901074,0.278689
6.674770,-0.897663,0.280360,8.432957,-0.992254,0.280360,7.468765,-0.940380,0.280360
6.674544,-0.915955,0.283097,8.428367,-1.053678,0.283097,7.466698,-0.978161,0.283097
6.675233,-0.928786,0.282719,8.421605,-1.126015,0.282719,7.464131,-1.017881,0.282719
6.672843,-0.945336,0.286956,8.410879,-1.198411,0.286956,7.458864,-1.059788,0.286956
6.672032,-0.960929,0.289113,8.400950,-1.262732,0.289113,7.454036,-1.097437,0.289113
6.668545,-0.976233,0.288345,8.394911,-1.321957,0.288345,7.447554,-1.132238,0.288345
6.664555,-0.992421,0.290615,8.383430,-1.392527,0.290615,7.440428,-1.173023,0.290615
6.659750,-1.008893,0.293287,8.298424,-1.533225,0.293287,7.420831,-1.252419,0.293287
6.654264,-1.019568,0.291413,8.186946,-1.688163,0.291413,7.388563,-1.339888,0.291413
6.648679,-1.030721,0.294344,8.070797,-1.832987,0.294344,7.347091,-1.424719,0.294344
