,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
0,0.000000,4.360138,0.265603,-0.101601,2.382517,-1.244127,-3.978375,8.232556,16.287393
1,0.199809,4.464801,0.244305,-0.110158,2.200820,-0.868138,-4.380926,7.882041,16.287393
2,0.399618,4.558464,0.221422,-0.117755,2.005729,-0.517135,-4.663092,7.493420,16.287393
3,0.599427,4.641641,0.197282,-0.122355,1.802004,-0.189756,-4.833184,7.082665,16.287393
4,0.799236,4.714733,0.172623,-0.122203,1.593953,0.115127,-4.905814,6.670143,16.287393
5,0.999045,4.778019,0.148458,-0.117412,1.385551,0.398478,-4.889449,6.263479,16.287393
6,1.198854,4.831825,0.125586,-0.109702,1.180502,0.661150,-4.783590,5.857653,16.287393
7,1.398663,4.876638,0.104448,-0.100750,0.982271,0.903891,-4.589032,5.449784,16.287393
8,1.598473,4.913055,0.085110,-0.092547,0.794115,1.127338,-4.303894,5.033994,16.287393
9,1.798282,4.941785,0.067301,-0.085522,0.619123,1.332016,-3.930433,4.609340,16.287393
10,1.998091,4.963599,0.050887,-0.078578,0.460256,1.518324,-3.475411,4.179882,16.287393
11,2.197900,4.979309,0.035872,-0.071717,0.320376,1.686557,-2.942838,3.746340,16.287393
12,2.397709,4.989797,0.022212,-0.064867,0.202269,1.836912,-2.336406,3.309098,16.287393
13,2.597518,4.996025,0.010008,-0.056923,0.108656,1.969499,-1.660042,2.869172,16.287393
14,2.797327,4.999045,-0.000449,-0.047435,0.042207,2.084347,-0.916389,2.426446,16.287393
15,2.997136,5.000000,-0.008837,-0.036073,0.005547,2.181417,-0.277394,1.980270,16.287393
16,3.196945,5.000000,-0.014762,-0.023033,-0.005547,2.260610,-0.405225,1.529571,16.287393
17,3.396754,4.999454,-0.017949,-0.008535,-0.021748,2.321765,-1.130675,1.073188,16.287393
18,3.596563,4.997682,-0.017953,0.009277,-0.066948,2.364666,-1.792356,0.609307,16.287393
19,3.796372,4.993570,-0.013993,0.030834,-0.138634,2.389036,-2.388097,0.136647,16.287393
20,3.996181,4.986098,-0.005544,0.053652,-0.234325,2.394511,-2.916192,-0.345204,16.287393
21,4.195990,4.974321,0.007392,0.075290,-0.351562,2.380633,-3.376527,-0.836990,16.287393
22,4.395799,4.957375,0.024371,0.093477,-0.487885,2.346841,-3.769422,-1.340180,16.287393
23,4.595608,4.934479,0.044605,0.108146,-0.640814,2.292469,-4.090082,-1.854680,16.287393
24,4.795418,4.904902,0.067714,0.122738,-0.807832,2.216733,-4.337145,-2.381115,16.287393
25,4.995227,4.867969,0.093819,0.137072,-0.986385,2.118706,-4.530344,-2.932719,16.287393
26,5.195036,4.823278,0.122044,0.143025,-1.173835,1.997361,-4.683368,-3.524635,16.287393
27,5.394845,4.770750,0.149735,0.134719,-1.367445,1.851652,-4.777718,-4.150828,16.287393
28,5.594654,4.710311,0.174157,0.114021,-1.564424,1.680519,-4.783689,-4.789369,16.287393
29,5.794463,4.641634,0.193530,0.086332,-1.761954,1.482755,-4.665361,-5.400656,16.287393
30,5.994272,4.563839,0.207521,0.060233,-1.957133,1.256814,-4.397334,-5.940721,16.287393
31,6.194081,4.475322,0.217660,0.047028,-2.146822,1.000547,-4.019055,-6.441383,16.287393
32,6.393890,4.374771,0.227129,0.050628,-2.327462,0.711033,-3.590370,-6.993641,16.287393
33,6.593699,4.262307,0.238468,0.062232,-2.494927,0.384831,-3.113499,-7.629151,16.287393
34,6.793508,4.138838,0.252027,0.071028,-2.644523,0.018270,-2.561927,-8.324909,16.287393
35,6.993317,4.005202,0.266487,0.071325,-2.770962,-0.392591,-1.921061,-9.077041,16.287393
36,7.193126,3.862466,0.279735,0.059350,-2.868212,-0.852099,-1.176244,-9.881988,16.287393
37,7.392935,3.711996,0.288990,0.032114,-2.929269,-1.365062,-0.303732,-10.637646,16.287393
38,7.592744,3.554038,0.291524,-0.007735,-2.945602,-1.937091,0.697371,-11.170467,16.287393
39,7.792553,3.386980,0.285653,-0.050941,-2.905782,-2.574928,1.796467,-11.223280,16.287393
40,7.992363,3.208772,0.271337,-0.085260,-2.793435,-3.276807,2.942878,-10.370751,16.287393
41,8.192172,3.020798,0.250571,-0.102743,-2.587839,-4.001331,4.071181,-8.680562,16.287393
42,8.391981,2.831759,0.226588,-0.107124,-2.271055,-4.676777,5.035401,-6.165370,16.287393
43,8.591790,2.656902,0.201314,-0.111366,-1.843026,-5.200857,5.440089,-2.607622,16.287393
44,8.791599,2.510784,0.174605,-0.112558,-1.344235,-5.439945,4.714637,2.100590,16.287393
45,8.991408,2.401435,0.150479,-0.078548,-0.880848,-5.233485,3.068578,2.595733,16.287393
46,9.191217,2.327371,0.139549,-0.010211,-0.566879,-4.967896,1.699960,1.759534,16.287393
47,9.391026,2.277685,0.144513,0.046366,-0.390416,-4.785249,0.751918,1.283395,16.287393
48,9.590835,2.240788,0.159186,0.072920,-0.311348,-4.650293,0.215217,1.144094,16.287393
49,9.790644,2.208422,0.178233,0.085466,-0.288108,-4.526748,-0.142869,1.089693,16.287393
50,9.990453,2.174829,0.201631,0.105700,-0.304310,-4.403166,-0.334300,1.257257,16.287393
51,10.190262,2.135367,0.233502,0.139489,-0.344948,-4.250334,-0.358538,1.438372,16.287393
52,10.390071,2.087862,0.274977,0.160161,-0.391221,-4.064699,-0.222449,1.467132,16.287393
53,10.589880,2.034776,0.315854,0.134580,-0.420324,-3.872755,0.448796,1.343554,16.287393
54,10.789689,1.984886,0.341722,0.060396,-0.363168,-3.701650,1.187892,4.455898,16.287393
55,10.989498,1.949316,0.344936,-0.034940,-0.217681,-3.155913,1.150494,8.429471,16.287393
56,11.189308,1.931685,0.327320,-0.115601,-0.082550,-2.165831,0.720995,11.061278,16.287393
57,11.389117,1.926961,0.296951,-0.158360,-0.001492,-0.922272,0.530785,12.337039,16.287393
